"epoch","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.downsample.0","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.downsample.0__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.downsample.0__MAX"
"53","156","156","156","249","249","249","211","211","211","209","209","209","210","210","210","253","253","253","466","466","466","465","465","465","276","276","276","458","458","458","457","457","457","280","280","280","465","465","465","454","454","454","277","277","277","532","532","532"
"54","159","159","159","249","249","249","211","211","211","209","209","209","210","210","210","253","253","253","465","465","465","464","464","464","276","276","276","458","458","458","457","457","457","280","280","280","464","464","464","454","454","454","276","276","276","531","531","531"
"55","162","162","162","249","249","249","211","211","211","208","208","208","209","209","209","252","252","252","465","465","465","462","462","462","275","275","275","458","458","458","456","456","456","277","277","277","464","464","464","454","454","454","276","276","276","530","530","530"
"56","165","165","165","249","249","249","211","211","211","208","208","208","209","209","209","252","252","252","465","465","465","460","460","460","274","274","274","458","458","458","456","456","456","277","277","277","464","464","464","453","453","453","276","276","276","530","530","530"
"57","168","168","168","248","248","248","211","211","211","208","208","208","209","209","209","252","252","252","465","465","465","460","460","460","274","274","274","457","457","457","456","456","456","277","277","277","463","463","463","453","453","453","276","276","276","528","528","528"
"58","171","171","171","248","248","248","211","211","211","208","208","208","208","208","208","252","252","252","465","465","465","460","460","460","274","274","274","457","457","457","456","456","456","275","275","275","463","463","463","453","453","453","276","276","276","527","527","527"
"59","174","174","174","248","248","248","211","211","211","208","208","208","208","208","208","252","252","252","465","465","465","460","460","460","274","274","274","455","455","455","456","456","456","275","275","275","463","463","463","452","452","452","276","276","276","525","525","525"
"60","177","177","177","248","248","248","211","211","211","208","208","208","208","208","208","252","252","252","464","464","464","460","460","460","273","273","273","454","454","454","455","455","455","274","274","274","463","463","463","451","451","451","276","276","276","525","525","525"
"61","180","180","180","248","248","248","211","211","211","208","208","208","208","208","208","251","251","251","464","464","464","460","460","460","273","273","273","453","453","453","455","455","455","274","274","274","462","462","462","451","451","451","275","275","275","523","523","523"
"62","183","183","183","247","247","247","211","211","211","207","207","207","208","208","208","251","251","251","464","464","464","460","460","460","273","273","273","453","453","453","454","454","454","273","273","273","462","462","462","451","451","451","275","275","275","523","523","523"
"63","186","186","186","247","247","247","211","211","211","206","206","206","208","208","208","251","251","251","463","463","463","460","460","460","273","273","273","453","453","453","454","454","454","272","272","272","462","462","462","451","451","451","274","274","274","523","523","523"
"64","189","189","189","247","247","247","210","210","210","206","206","206","208","208","208","251","251","251","461","461","461","459","459","459","273","273","273","452","452","452","454","454","454","272","272","272","462","462","462","451","451","451","274","274","274","523","523","523"
"65","192","192","192","247","247","247","210","210","210","206","206","206","208","208","208","251","251","251","461","461","461","458","458","458","273","273","273","452","452","452","454","454","454","272","272","272","462","462","462","451","451","451","274","274","274","522","522","522"
"66","195","195","195","247","247","247","209","209","209","206","206","206","208","208","208","251","251","251","460","460","460","458","458","458","273","273","273","452","452","452","454","454","454","272","272","272","460","460","460","450","450","450","274","274","274","522","522","522"
"67","198","198","198","246","246","246","209","209","209","206","206","206","208","208","208","251","251","251","460","460","460","458","458","458","273","273","273","451","451","451","454","454","454","272","272","272","460","460","460","450","450","450","274","274","274","522","522","522"
"68","201","201","201","246","246","246","209","209","209","205","205","205","208","208","208","251","251","251","460","460","460","458","458","458","273","273","273","449","449","449","454","454","454","272","272","272","458","458","458","450","450","450","274","274","274","522","522","522"
"69","204","204","204","246","246","246","209","209","209","205","205","205","208","208","208","251","251","251","460","460","460","458","458","458","273","273","273","448","448","448","453","453","453","272","272","272","458","458","458","450","450","450","274","274","274","522","522","522"
"70","207","207","207","246","246","246","209","209","209","205","205","205","208","208","208","250","250","250","459","459","459","458","458","458","273","273","273","448","448","448","453","453","453","272","272","272","457","457","457","449","449","449","274","274","274","521","521","521"
"71","210","210","210","246","246","246","209","209","209","205","205","205","208","208","208","250","250","250","458","458","458","458","458","458","273","273","273","448","448","448","452","452","452","272","272","272","457","457","457","449","449","449","274","274","274","521","521","521"
"72","213","213","213","245","245","245","209","209","209","203","203","203","208","208","208","250","250","250","458","458","458","458","458","458","273","273","273","448","448","448","452","452","452","272","272","272","457","457","457","449","449","449","274","274","274","521","521","521"
"73","216","216","216","245","245","245","209","209","209","203","203","203","208","208","208","250","250","250","455","455","455","457","457","457","273","273","273","447","447","447","452","452","452","272","272","272","456","456","456","448","448","448","274","274","274","521","521","521"
"74","219","219","219","245","245","245","209","209","209","202","202","202","208","208","208","250","250","250","455","455","455","455","455","455","273","273","273","446","446","446","452","452","452","272","272","272","456","456","456","447","447","447","274","274","274","520","520","520"
"75","222","222","222","245","245","245","209","209","209","202","202","202","207","207","207","250","250","250","455","455","455","455","455","455","273","273","273","444","444","444","451","451","451","272","272","272","456","456","456","446","446","446","274","274","274","519","519","519"
"76","225","225","225","244","244","244","209","209","209","201","201","201","206","206","206","250","250","250","454","454","454","454","454","454","273","273","273","442","442","442","451","451","451","271","271","271","456","456","456","445","445","445","274","274","274","519","519","519"
"77","228","228","228","244","244","244","209","209","209","201","201","201","206","206","206","250","250","250","454","454","454","453","453","453","273","273","273","442","442","442","451","451","451","270","270","270","456","456","456","445","445","445","274","274","274","519","519","519"
"78","231","231","231","244","244","244","208","208","208","201","201","201","206","206","206","250","250","250","453","453","453","452","452","452","272","272","272","442","442","442","451","451","451","270","270","270","455","455","455","444","444","444","273","273","273","518","518","518"
"79","234","234","234","243","243","243","208","208","208","201","201","201","206","206","206","249","249","249","453","453","453","451","451","451","272","272","272","442","442","442","451","451","451","269","269","269","454","454","454","443","443","443","273","273","273","518","518","518"
"80","237","237","237","243","243","243","208","208","208","200","200","200","205","205","205","248","248","248","452","452","452","451","451","451","272","272","272","442","442","442","451","451","451","266","266","266","451","451","451","443","443","443","273","273","273","518","518","518"
"81","240","240","240","243","243","243","208","208","208","200","200","200","204","204","204","248","248","248","452","452","452","451","451","451","272","272","272","440","440","440","451","451","451","266","266","266","449","449","449","440","440","440","273","273","273","518","518","518"
"82","243","243","243","243","243","243","206","206","206","200","200","200","204","204","204","246","246","246","452","452","452","451","451","451","272","272","272","440","440","440","449","449","449","266","266","266","449","449","449","440","440","440","273","273","273","517","517","517"
"83","246","246","246","243","243","243","206","206","206","199","199","199","203","203","203","245","245","245","452","452","452","451","451","451","270","270","270","437","437","437","449","449","449","266","266","266","449","449","449","439","439","439","273","273","273","516","516","516"
"84","249","249","249","243","243","243","206","206","206","199","199","199","203","203","203","245","245","245","452","452","452","450","450","450","270","270","270","436","436","436","449","449","449","266","266","266","448","448","448","439","439","439","273","273","273","516","516","516"
"85","252","252","252","242","242","242","205","205","205","199","199","199","203","203","203","245","245","245","452","452","452","450","450","450","269","269","269","435","435","435","448","448","448","266","266","266","446","446","446","439","439","439","273","273","273","516","516","516"
"86","255","255","255","242","242","242","205","205","205","199","199","199","203","203","203","244","244","244","452","452","452","447","447","447","267","267","267","435","435","435","448","448","448","265","265","265","446","446","446","437","437","437","273","273","273","516","516","516"
"87","258","258","258","242","242","242","205","205","205","199","199","199","203","203","203","244","244","244","450","450","450","447","447","447","267","267","267","435","435","435","447","447","447","264","264","264","445","445","445","437","437","437","272","272","272","516","516","516"
"88","261","261","261","242","242","242","205","205","205","198","198","198","203","203","203","244","244","244","450","450","450","444","444","444","266","266","266","435","435","435","446","446","446","263","263","263","444","444","444","437","437","437","271","271","271","516","516","516"
"89","264","264","264","242","242","242","204","204","204","198","198","198","203","203","203","244","244","244","450","450","450","444","444","444","266","266","266","434","434","434","445","445","445","263","263","263","443","443","443","437","437","437","271","271","271","515","515","515"
"90","267","267","267","241","241","241","204","204","204","198","198","198","203","203","203","244","244","244","450","450","450","443","443","443","266","266","266","434","434","434","445","445","445","263","263","263","442","442","442","436","436","436","270","270","270","514","514","514"
"91","270","270","270","240","240","240","204","204","204","198","198","198","203","203","203","244","244","244","450","450","450","443","443","443","266","266","266","434","434","434","445","445","445","263","263","263","442","442","442","436","436","436","269","269","269","513","513","513"
"92","273","273","273","240","240","240","204","204","204","197","197","197","202","202","202","244","244","244","450","450","450","440","440","440","266","266","266","433","433","433","445","445","445","263","263","263","441","441","441","435","435","435","269","269","269","513","513","513"
"93","276","276","276","239","239","239","203","203","203","197","197","197","200","200","200","244","244","244","450","450","450","440","440","440","266","266","266","432","432","432","445","445","445","262","262","262","440","440","440","434","434","434","269","269","269","512","512","512"
"94","279","279","279","239","239","239","203","203","203","197","197","197","200","200","200","244","244","244","450","450","450","439","439","439","266","266","266","432","432","432","445","445","445","261","261","261","439","439","439","434","434","434","268","268","268","512","512","512"
"95","282","282","282","239","239","239","203","203","203","197","197","197","198","198","198","244","244","244","449","449","449","438","438","438","265","265","265","432","432","432","445","445","445","261","261","261","439","439","439","434","434","434","268","268","268","512","512","512"
"96","285","285","285","239","239","239","203","203","203","197","197","197","198","198","198","244","244","244","449","449","449","438","438","438","265","265","265","432","432","432","445","445","445","261","261","261","439","439","439","433","433","433","266","266","266","512","512","512"
"97","288","288","288","239","239","239","202","202","202","197","197","197","198","198","198","244","244","244","447","447","447","438","438","438","264","264","264","431","431","431","445","445","445","260","260","260","439","439","439","432","432","432","266","266","266","512","512","512"
"98","291","291","291","238","238","238","201","201","201","197","197","197","198","198","198","244","244","244","447","447","447","438","438","438","264","264","264","431","431","431","445","445","445","260","260","260","439","439","439","432","432","432","266","266","266","512","512","512"
"99","294","294","294","238","238","238","201","201","201","197","197","197","196","196","196","244","244","244","447","447","447","438","438","438","264","264","264","431","431","431","445","445","445","260","260","260","439","439","439","432","432","432","266","266","266","511","511","511"
"100","297","297","297","238","238","238","201","201","201","197","197","197","196","196","196","243","243","243","445","445","445","438","438","438","264","264","264","431","431","431","443","443","443","260","260","260","439","439","439","430","430","430","266","266","266","511","511","511"
"101","300","300","300","238","238","238","201","201","201","196","196","196","196","196","196","243","243","243","444","444","444","437","437","437","264","264","264","431","431","431","443","443","443","260","260","260","439","439","439","429","429","429","265","265","265","509","509","509"
"102","303","303","303","238","238","238","200","200","200","196","196","196","196","196","196","243","243","243","444","444","444","437","437","437","264","264","264","431","431","431","443","443","443","260","260","260","439","439","439","429","429","429","265","265","265","509","509","509"
"103","306","306","306","238","238","238","200","200","200","196","196","196","196","196","196","243","243","243","443","443","443","437","437","437","263","263","263","430","430","430","442","442","442","260","260","260","438","438","438","429","429","429","265","265","265","509","509","509"
"104","309","309","309","237","237","237","200","200","200","196","196","196","196","196","196","243","243","243","443","443","443","435","435","435","263","263","263","430","430","430","442","442","442","260","260","260","437","437","437","429","429","429","265","265","265","509","509","509"
"105","312","312","312","237","237","237","200","200","200","196","196","196","196","196","196","242","242","242","442","442","442","434","434","434","261","261","261","429","429","429","442","442","442","260","260","260","437","437","437","429","429","429","265","265","265","509","509","509"
"106","315","315","315","237","237","237","200","200","200","196","196","196","196","196","196","242","242","242","442","442","442","434","434","434","260","260","260","428","428","428","442","442","442","260","260","260","437","437","437","428","428","428","265","265","265","509","509","509"
"107","318","318","318","237","237","237","200","200","200","196","196","196","195","195","195","242","242","242","440","440","440","433","433","433","260","260","260","427","427","427","441","441","441","259","259","259","437","437","437","427","427","427","265","265","265","509","509","509"
"108","321","321","321","237","237","237","199","199","199","195","195","195","195","195","195","242","242","242","438","438","438","433","433","433","260","260","260","427","427","427","441","441","441","259","259","259","437","437","437","427","427","427","265","265","265","509","509","509"
"109","324","324","324","237","237","237","198","198","198","195","195","195","195","195","195","242","242","242","438","438","438","431","431","431","260","260","260","427","427","427","439","439","439","259","259","259","436","436","436","426","426","426","265","265","265","509","509","509"
"110","327","327","327","237","237","237","198","198","198","195","195","195","195","195","195","242","242","242","436","436","436","431","431","431","260","260","260","427","427","427","439","439","439","258","258","258","436","436","436","426","426","426","265","265","265","508","508","508"
"111","330","330","330","236","236","236","198","198","198","195","195","195","195","195","195","242","242","242","436","436","436","431","431","431","260","260","260","427","427","427","439","439","439","257","257","257","436","436","436","425","425","425","265","265","265","508","508","508"
"112","333","333","333","236","236","236","198","198","198","194","194","194","195","195","195","241","241","241","435","435","435","431","431","431","259","259","259","427","427","427","438","438","438","257","257","257","435","435","435","425","425","425","265","265","265","508","508","508"
"113","336","336","336","236","236","236","198","198","198","193","193","193","195","195","195","240","240","240","434","434","434","431","431","431","259","259","259","426","426","426","438","438","438","257","257","257","434","434","434","424","424","424","265","265","265","508","508","508"
"114","339","339","339","236","236","236","198","198","198","193","193","193","193","193","193","240","240","240","434","434","434","431","431","431","259","259","259","425","425","425","438","438","438","257","257","257","434","434","434","423","423","423","265","265","265","507","507","507"
"115","342","342","342","235","235","235","197","197","197","193","193","193","191","191","191","239","239","239","432","432","432","430","430","430","258","258","258","425","425","425","438","438","438","257","257","257","434","434","434","423","423","423","265","265","265","505","505","505"
"116","345","345","345","234","234","234","197","197","197","192","192","192","191","191","191","239","239","239","431","431","431","429","429","429","258","258","258","424","424","424","437","437","437","257","257","257","434","434","434","423","423","423","265","265","265","504","504","504"
"117","348","348","348","234","234","234","197","197","197","192","192","192","191","191","191","239","239","239","431","431","431","429","429","429","258","258","258","424","424","424","437","437","437","256","256","256","434","434","434","423","423","423","265","265","265","504","504","504"
"118","351","351","351","234","234","234","197","197","197","192","192","192","191","191","191","239","239","239","431","431","431","427","427","427","258","258","258","423","423","423","436","436","436","255","255","255","433","433","433","422","422","422","265","265","265","504","504","504"
"119","354","354","354","234","234","234","197","197","197","192","192","192","191","191","191","239","239","239","431","431","431","425","425","425","258","258","258","423","423","423","435","435","435","254","254","254","433","433","433","421","421","421","265","265","265","504","504","504"
"120","357","357","357","234","234","234","197","197","197","192","192","192","191","191","191","239","239","239","430","430","430","425","425","425","258","258","258","422","422","422","435","435","435","254","254","254","433","433","433","421","421","421","265","265","265","504","504","504"
"121","360","360","360","234","234","234","197","197","197","192","192","192","191","191","191","238","238","238","430","430","430","423","423","423","257","257","257","422","422","422","435","435","435","254","254","254","433","433","433","421","421","421","265","265","265","504","504","504"
"122","363","363","363","234","234","234","196","196","196","192","192","192","191","191","191","238","238","238","430","430","430","423","423","423","256","256","256","422","422","422","434","434","434","254","254","254","433","433","433","421","421","421","265","265","265","504","504","504"
"123","366","366","366","234","234","234","196","196","196","192","192","192","191","191","191","238","238","238","430","430","430","423","423","423","256","256","256","421","421","421","434","434","434","254","254","254","432","432","432","419","419","419","265","265","265","504","504","504"
"124","369","369","369","234","234","234","195","195","195","191","191","191","191","191","191","238","238","238","429","429","429","423","423","423","256","256","256","421","421","421","431","431","431","254","254","254","432","432","432","418","418","418","265","265","265","504","504","504"
"125","372","372","372","234","234","234","195","195","195","191","191","191","191","191","191","237","237","237","428","428","428","422","422","422","255","255","255","419","419","419","431","431","431","254","254","254","432","432","432","417","417","417","265","265","265","504","504","504"
"126","375","375","375","233","233","233","195","195","195","191","191","191","191","191","191","237","237","237","428","428","428","422","422","422","255","255","255","419","419","419","431","431","431","254","254","254","432","432","432","414","414","414","265","265","265","504","504","504"
"127","378","378","378","233","233","233","195","195","195","191","191","191","191","191","191","237","237","237","427","427","427","421","421","421","255","255","255","419","419","419","430","430","430","254","254","254","432","432","432","414","414","414","265","265","265","504","504","504"
"128","381","381","381","233","233","233","195","195","195","191","191","191","191","191","191","237","237","237","427","427","427","419","419","419","255","255","255","418","418","418","430","430","430","254","254","254","432","432","432","414","414","414","265","265","265","504","504","504"
"129","384","384","384","232","232","232","195","195","195","191","191","191","191","191","191","237","237","237","427","427","427","417","417","417","255","255","255","417","417","417","430","430","430","254","254","254","432","432","432","414","414","414","263","263","263","504","504","504"
"130","387","387","387","232","232","232","195","195","195","191","191","191","191","191","191","237","237","237","427","427","427","417","417","417","255","255","255","417","417","417","430","430","430","254","254","254","432","432","432","414","414","414","263","263","263","504","504","504"
"131","390","390","390","231","231","231","195","195","195","191","191","191","190","190","190","237","237","237","425","425","425","417","417","417","255","255","255","417","417","417","429","429","429","254","254","254","432","432","432","413","413","413","263","263","263","504","504","504"
"132","393","393","393","230","230","230","195","195","195","191","191","191","189","189","189","237","237","237","425","425","425","416","416","416","255","255","255","417","417","417","429","429","429","254","254","254","432","432","432","412","412","412","263","263","263","503","503","503"
"133","396","396","396","230","230","230","195","195","195","191","191","191","188","188","188","237","237","237","424","424","424","416","416","416","255","255","255","417","417","417","428","428","428","254","254","254","431","431","431","412","412","412","262","262","262","503","503","503"
"134","399","399","399","229","229","229","195","195","195","189","189","189","188","188","188","237","237","237","424","424","424","416","416","416","255","255","255","417","417","417","428","428","428","254","254","254","431","431","431","412","412","412","262","262","262","503","503","503"
"135","402","402","402","229","229","229","195","195","195","189","189","189","188","188","188","237","237","237","424","424","424","415","415","415","255","255","255","417","417","417","428","428","428","254","254","254","431","431","431","409","409","409","262","262","262","503","503","503"
"136","405","405","405","229","229","229","195","195","195","187","187","187","188","188","188","237","237","237","424","424","424","415","415","415","255","255","255","417","417","417","428","428","428","254","254","254","430","430","430","409","409","409","262","262","262","503","503","503"
"137","408","408","408","229","229","229","194","194","194","187","187","187","188","188","188","236","236","236","424","424","424","415","415","415","255","255","255","417","417","417","428","428","428","254","254","254","429","429","429","408","408","408","262","262","262","502","502","502"
"138","411","411","411","229","229","229","194","194","194","187","187","187","188","188","188","236","236","236","424","424","424","414","414","414","255","255","255","417","417","417","428","428","428","254","254","254","427","427","427","407","407","407","262","262","262","502","502","502"
"139","414","414","414","229","229","229","194","194","194","187","187","187","188","188","188","236","236","236","424","424","424","414","414","414","255","255","255","417","417","417","426","426","426","254","254","254","427","427","427","407","407","407","262","262","262","502","502","502"
"140","417","417","417","228","228","228","194","194","194","187","187","187","187","187","187","236","236","236","423","423","423","414","414","414","255","255","255","417","417","417","426","426","426","254","254","254","427","427","427","405","405","405","261","261","261","502","502","502"
"141","420","420","420","228","228","228","194","194","194","187","187","187","187","187","187","236","236","236","422","422","422","413","413","413","255","255","255","417","417","417","426","426","426","254","254","254","427","427","427","405","405","405","261","261","261","502","502","502"
"142","423","423","423","227","227","227","194","194","194","184","184","184","187","187","187","236","236","236","422","422","422","413","413","413","255","255","255","417","417","417","425","425","425","253","253","253","425","425","425","405","405","405","261","261","261","502","502","502"
"143","426","426","426","227","227","227","194","194","194","184","184","184","187","187","187","236","236","236","422","422","422","412","412","412","254","254","254","417","417","417","425","425","425","253","253","253","425","425","425","405","405","405","261","261","261","502","502","502"
"144","429","429","429","226","226","226","194","194","194","184","184","184","187","187","187","236","236","236","421","421","421","411","411","411","254","254","254","417","417","417","424","424","424","253","253","253","424","424","424","405","405","405","261","261","261","502","502","502"
"145","432","432","432","226","226","226","193","193","193","183","183","183","187","187","187","235","235","235","421","421","421","410","410","410","254","254","254","417","417","417","424","424","424","253","253","253","424","424","424","404","404","404","261","261","261","500","500","500"
"146","435","435","435","225","225","225","193","193","193","183","183","183","187","187","187","235","235","235","418","418","418","409","409","409","254","254","254","417","417","417","421","421","421","253","253","253","422","422","422","404","404","404","261","261","261","500","500","500"
"147","438","438","438","225","225","225","193","193","193","183","183","183","187","187","187","235","235","235","418","418","418","408","408","408","252","252","252","417","417","417","421","421","421","253","253","253","422","422","422","404","404","404","261","261","261","500","500","500"
"148","441","441","441","225","225","225","192","192","192","183","183","183","187","187","187","235","235","235","418","418","418","408","408","408","252","252","252","417","417","417","419","419","419","253","253","253","421","421","421","403","403","403","261","261","261","500","500","500"
"149","444","444","444","225","225","225","191","191","191","182","182","182","187","187","187","235","235","235","417","417","417","408","408","408","252","252","252","417","417","417","418","418","418","252","252","252","421","421","421","403","403","403","260","260","260","500","500","500"
"150","447","447","447","225","225","225","190","190","190","182","182","182","187","187","187","235","235","235","417","417","417","408","408","408","252","252","252","417","417","417","417","417","417","252","252","252","420","420","420","402","402","402","260","260","260","500","500","500"
"151","450","450","450","225","225","225","190","190","190","182","182","182","187","187","187","235","235","235","416","416","416","407","407","407","252","252","252","415","415","415","415","415","415","252","252","252","420","420","420","402","402","402","260","260","260","500","500","500"
"152","453","453","453","225","225","225","190","190","190","182","182","182","186","186","186","235","235","235","416","416","416","406","406","406","252","252","252","415","415","415","415","415","415","251","251","251","419","419","419","401","401","401","260","260","260","500","500","500"
"153","456","456","456","224","224","224","190","190","190","181","181","181","186","186","186","235","235","235","416","416","416","405","405","405","252","252","252","415","415","415","415","415","415","251","251","251","419","419","419","399","399","399","260","260","260","500","500","500"
"154","459","459","459","223","223","223","190","190","190","181","181","181","186","186","186","235","235","235","415","415","415","404","404","404","252","252","252","414","414","414","415","415","415","251","251","251","417","417","417","399","399","399","260","260","260","500","500","500"
"155","462","462","462","223","223","223","189","189","189","181","181","181","185","185","185","234","234","234","415","415","415","404","404","404","252","252","252","414","414","414","415","415","415","251","251","251","417","417","417","399","399","399","260","260","260","500","500","500"
"156","465","465","465","223","223","223","189","189","189","181","181","181","185","185","185","234","234","234","415","415","415","403","403","403","252","252","252","413","413","413","415","415","415","251","251","251","417","417","417","398","398","398","260","260","260","500","500","500"
"157","468","468","468","223","223","223","188","188","188","181","181","181","185","185","185","234","234","234","415","415","415","401","401","401","252","252","252","413","413","413","415","415","415","251","251","251","416","416","416","397","397","397","260","260","260","500","500","500"
"158","471","471","471","223","223","223","188","188","188","181","181","181","185","185","185","234","234","234","413","413","413","400","400","400","252","252","252","412","412","412","413","413","413","251","251","251","416","416","416","397","397","397","260","260","260","500","500","500"
"159","474","474","474","223","223","223","188","188","188","181","181","181","185","185","185","234","234","234","412","412","412","399","399","399","252","252","252","411","411","411","412","412","412","251","251","251","416","416","416","397","397","397","260","260","260","500","500","500"
"160","477","477","477","223","223","223","188","188","188","181","181","181","185","185","185","234","234","234","412","412","412","398","398","398","252","252","252","410","410","410","411","411","411","251","251","251","414","414","414","397","397","397","260","260","260","500","500","500"
"161","480","480","480","223","223","223","188","188","188","181","181","181","185","185","185","234","234","234","412","412","412","398","398","398","252","252","252","410","410","410","409","409","409","251","251","251","414","414","414","397","397","397","260","260","260","500","500","500"
"162","483","483","483","222","222","222","188","188","188","181","181","181","184","184","184","233","233","233","410","410","410","397","397","397","252","252","252","410","410","410","408","408","408","251","251","251","414","414","414","396","396","396","260","260","260","500","500","500"
"163","486","486","486","221","221","221","187","187","187","181","181","181","183","183","183","233","233","233","410","410","410","397","397","397","252","252","252","409","409","409","407","407","407","251","251","251","414","414","414","393","393","393","260","260","260","500","500","500"
"164","489","489","489","221","221","221","186","186","186","181","181","181","183","183","183","232","232","232","408","408","408","396","396","396","252","252","252","409","409","409","406","406","406","251","251","251","413","413","413","393","393","393","260","260","260","500","500","500"
"165","492","492","492","221","221","221","186","186","186","180","180","180","182","182","182","232","232","232","408","408","408","396","396","396","252","252","252","408","408","408","406","406","406","251","251","251","413","413","413","392","392","392","260","260","260","500","500","500"
