"epoch","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.21.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer3.22.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.1.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.2.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.downsample.0","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.downsample.0__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.layer4.0.downsample.0__MAX"
"27","78","78","78","253","253","253","217","217","217","213","213","213","213","213","213","254","254","254","476","476","476","473","473","473","287","287","287","474","474","474","472","472","472","294","294","294","474","474","474","460","460","460","285","285","285","560","560","560"
"28","81","81","81","253","253","253","216","216","216","213","213","213","212","212","212","254","254","254","476","476","476","473","473","473","287","287","287","474","474","474","472","472","472","293","293","293","474","474","474","460","460","460","285","285","285","558","558","558"
"29","84","84","84","253","253","253","216","216","216","213","213","213","212","212","212","254","254","254","476","476","476","473","473","473","286","286","286","473","473","473","472","472","472","293","293","293","474","474","474","460","460","460","285","285","285","558","558","558"
"30","87","87","87","253","253","253","216","216","216","213","213","213","212","212","212","254","254","254","474","474","474","473","473","473","286","286","286","472","472","472","472","472","472","293","293","293","474","474","474","458","458","458","285","285","285","557","557","557"
"31","90","90","90","253","253","253","215","215","215","212","212","212","212","212","212","254","254","254","474","474","474","473","473","473","286","286","286","471","471","471","472","472","472","292","292","292","474","474","474","458","458","458","285","285","285","556","556","556"
"32","93","93","93","252","252","252","215","215","215","212","212","212","212","212","212","254","254","254","474","474","474","473","473","473","286","286","286","469","469","469","472","472","472","292","292","292","474","474","474","457","457","457","284","284","284","554","554","554"
"33","96","96","96","252","252","252","214","214","214","212","212","212","212","212","212","254","254","254","472","472","472","473","473","473","285","285","285","469","469","469","472","472","472","292","292","292","474","474","474","457","457","457","283","283","283","554","554","554"
"34","99","99","99","252","252","252","214","214","214","212","212","212","212","212","212","254","254","254","472","472","472","472","472","472","285","285","285","469","469","469","471","471","471","292","292","292","474","474","474","457","457","457","283","283","283","552","552","552"
"35","102","102","102","252","252","252","214","214","214","212","212","212","212","212","212","254","254","254","470","470","470","472","472","472","284","284","284","469","469","469","471","471","471","291","291","291","473","473","473","457","457","457","281","281","281","551","551","551"
"36","105","105","105","252","252","252","214","214","214","212","212","212","212","212","212","254","254","254","470","470","470","472","472","472","284","284","284","469","469","469","471","471","471","290","290","290","473","473","473","457","457","457","281","281","281","551","551","551"
"37","108","108","108","252","252","252","214","214","214","212","212","212","211","211","211","254","254","254","470","470","470","472","472","472","283","283","283","469","469","469","470","470","470","290","290","290","472","472","472","456","456","456","281","281","281","551","551","551"
"38","111","111","111","252","252","252","214","214","214","212","212","212","210","210","210","254","254","254","470","470","470","472","472","472","283","283","283","467","467","467","467","467","467","288","288","288","471","471","471","456","456","456","280","280","280","551","551","551"
"39","114","114","114","252","252","252","214","214","214","212","212","212","210","210","210","254","254","254","470","470","470","471","471","471","283","283","283","467","467","467","466","466","466","287","287","287","471","471","471","456","456","456","279","279","279","551","551","551"
"40","117","117","117","252","252","252","214","214","214","212","212","212","210","210","210","254","254","254","469","469","469","471","471","471","282","282","282","467","467","467","464","464","464","285","285","285","470","470","470","456","456","456","279","279","279","550","550","550"
"41","120","120","120","252","252","252","214","214","214","212","212","212","210","210","210","254","254","254","469","469","469","471","471","471","281","281","281","466","466","466","464","464","464","285","285","285","469","469","469","456","456","456","278","278","278","548","548","548"
"42","123","123","123","252","252","252","214","214","214","212","212","212","210","210","210","254","254","254","469","469","469","469","469","469","280","280","280","466","466","466","464","464","464","285","285","285","469","469","469","455","455","455","278","278","278","547","547","547"
"43","126","126","126","252","252","252","213","213","213","212","212","212","210","210","210","254","254","254","469","469","469","469","469","469","279","279","279","465","465","465","464","464","464","283","283","283","469","469","469","455","455","455","278","278","278","546","546","546"
"44","129","129","129","251","251","251","213","213","213","212","212","212","210","210","210","254","254","254","469","469","469","469","469","469","279","279","279","463","463","463","462","462","462","283","283","283","469","469","469","455","455","455","278","278","278","542","542","542"
"45","132","132","132","251","251","251","213","213","213","212","212","212","210","210","210","254","254","254","469","469","469","469","469","469","279","279","279","462","462","462","461","461","461","283","283","283","469","469","469","455","455","455","278","278","278","540","540","540"
"46","135","135","135","250","250","250","212","212","212","211","211","211","210","210","210","253","253","253","469","469","469","469","469","469","279","279","279","461","461","461","461","461","461","283","283","283","469","469","469","455","455","455","278","278","278","540","540","540"
"47","138","138","138","250","250","250","211","211","211","211","211","211","210","210","210","253","253","253","469","469","469","466","466","466","279","279","279","461","461","461","461","461","461","283","283","283","469","469","469","455","455","455","278","278","278","539","539","539"
"48","141","141","141","250","250","250","211","211","211","211","211","211","210","210","210","253","253","253","468","468","468","466","466","466","279","279","279","461","461","461","460","460","460","283","283","283","469","469","469","455","455","455","278","278","278","539","539","539"
"49","144","144","144","250","250","250","211","211","211","211","211","211","210","210","210","253","253","253","468","468","468","466","466","466","277","277","277","461","461","461","459","459","459","281","281","281","468","468","468","454","454","454","278","278","278","537","537","537"
"50","147","147","147","250","250","250","211","211","211","210","210","210","210","210","210","253","253","253","468","468","468","466","466","466","276","276","276","461","461","461","459","459","459","281","281","281","467","467","467","454","454","454","278","278","278","536","536","536"
"51","150","150","150","250","250","250","211","211","211","210","210","210","210","210","210","253","253","253","466","466","466","466","466","466","276","276","276","460","460","460","459","459","459","281","281","281","467","467","467","454","454","454","278","278","278","535","535","535"
"52","153","153","153","249","249","249","211","211","211","210","210","210","210","210","210","253","253","253","466","466","466","466","466","466","276","276","276","458","458","458","458","458","458","281","281","281","467","467","467","454","454","454","277","277","277","534","534","534"
