epoch,"original_LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy","original_LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy",MTL[T=15]-ResNet101-CIFAR10 - _step,MTL[T=15]-ResNet101-CIFAR10 - _step__MIN,MTL[T=15]-ResNet101-CIFAR10 - _step__MAX,MTL[T=15]-ResNet101-CIFAR10 - val_accuracy,MTL[T=15]-ResNet101-CIFAR10 - val_accuracy__MIN,MTL[T=15]-ResNet101-CIFAR10 - val_accuracy__MAX,LR[K=300]-ResNet101-CIFAR10 - _step,LR[K=300]-ResNet101-CIFAR10 - _step__MIN,LR[K=300]-ResNet101-CIFAR10 - _step__MAX,LR[K=300]-ResNet101-CIFAR10 - val_accuracy,LR[K=300]-ResNet101-CIFAR10 - val_accuracy__MIN,LR[K=300]-ResNet101-CIFAR10 - val_accuracy__MAX,MLconv[R=400]-ResNet101-CIFAR10 - _step,MLconv[R=400]-ResNet101-CIFAR10 - _step__MIN,MLconv[R=400]-ResNet101-CIFAR10 - _step__MAX,MLconv[R=400]-ResNet101-CIFAR10 - val_accuracy,MLconv[R=400]-ResNet101-CIFAR10 - val_accuracy__MIN,MLconv[R=400]-ResNet101-CIFAR10 - val_accuracy__MAX,MTL[T=3]-ResNet101-CIFAR10 - _step,MTL[T=3]-ResNet101-CIFAR10 - _step__MIN,MTL[T=3]-ResNet101-CIFAR10 - _step__MAX,MTL[T=3]-ResNet101-CIFAR10 - val_accuracy,MTL[T=3]-ResNet101-CIFAR10 - val_accuracy__MIN,MTL[T=3]-ResNet101-CIFAR10 - val_accuracy__MAX,MLconv[R=100]-ResNet101-CIFAR10 - _step,MLconv[R=100]-ResNet101-CIFAR10 - _step__MIN,MLconv[R=100]-ResNet101-CIFAR10 - _step__MAX,MLconv[R=100]-ResNet101-CIFAR10 - val_accuracy,MLconv[R=100]-ResNet101-CIFAR10 - val_accuracy__MIN,MLconv[R=100]-ResNet101-CIFAR10 - val_accuracy__MAX,ResNet101-CIFAR10 - _step,ResNet101-CIFAR10 - _step__MIN,ResNet101-CIFAR10 - _step__MAX,ResNet101-CIFAR10 - val_accuracy,ResNet101-CIFAR10 - val_accuracy__MIN,ResNet101-CIFAR10 - val_accuracy__MAX,LR[K=75]-ResNet101-CIFAR10 - _step,LR[K=75]-ResNet101-CIFAR10 - _step__MIN,LR[K=75]-ResNet101-CIFAR10 - _step__MAX,LR[K=75]-ResNet101-CIFAR10 - val_accuracy,LR[K=75]-ResNet101-CIFAR10 - val_accuracy__MIN,LR[K=75]-ResNet101-CIFAR10 - val_accuracy__MAX,MTL[T=42]-ResNet101-CIFAR10 - _step,MTL[T=42]-ResNet101-CIFAR10 - _step__MIN,MTL[T=42]-ResNet101-CIFAR10 - _step__MAX,MTL[T=42]-ResNet101-CIFAR10 - val_accuracy,MTL[T=42]-ResNet101-CIFAR10 - val_accuracy__MIN,MTL[T=42]-ResNet101-CIFAR10 - val_accuracy__MAX,"original_LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - best_val_accuracy",original_MTL[T=4]-Resnet101-CIFAR10 - best_val_accuracy,MTL[T=4]-Resnet101-CIFAR10 - best_val_accuracy,original_MTL[T=16]-Resnet101-CIFAR10 - best_val_accuracy,MTL[T=16]-Resnet101-CIFAR10 - best_val_accuracy,original_MTL[T=43]-Resnet101-CIFAR10 - best_val_accuracy,MTL[T=43]-Resnet101-CIFAR10 - best_val_accuracy
11,62.08,61.08,69.93,68.93,22,22,22,62.56,62.56,62.56,22,22,22,54.88,54.88,54.88,22,22,22,43.99,43.99,43.99,22,22,22,67.5,67.5,67.5,22,22,22,44.53,44.53,44.53,22,22,22,61.11,61.11,61.11,22,22,22,44.71,44.71,44.71,22,22,22,68.12,68.12,68.12,62.76,61.76,72.15,70.15,68.96,66.96,70.34,68.34
12,62.08,61.08,69.93,68.93,24,24,24,65.78,65.78,65.78,24,24,24,57.63,57.63,57.63,24,24,24,49.87,49.87,49.87,24,24,24,69.85,69.85,69.85,24,24,24,49.01,49.01,49.01,24,24,24,64.58,64.58,64.58,24,24,24,50.62,50.62,50.62,24,24,24,71.52,71.52,71.52,66.5,65.5,72.15,70.15,71.18,69.18,70.34,68.34
13,62.08,61.08,70.79,69.79,26,26,26,67.08,67.08,67.08,26,26,26,54.46,54.46,54.46,26,26,26,55.34,55.34,55.34,26,26,26,70.7,70.7,70.7,26,26,26,54.35,54.35,54.35,26,26,26,67.71,67.71,67.71,26,26,26,51.32,51.32,51.32,26,26,26,72.1,72.1,72.1,69.18,68.18,75.3,73.3,74.88,72.88,73.19,71.19
14,62.08,61.08,72.57,71.57,28,28,28,69.61,69.61,69.61,28,28,28,57.3,57.3,57.3,28,28,28,49.28,49.28,49.28,28,28,28,68.66,68.66,68.66,28,28,28,55.77,55.77,55.77,28,28,28,58.52,58.52,58.52,28,28,28,51.59,51.59,51.59,28,28,28,71.63,71.63,71.63,70.49,69.49,75.3,73.3,74.88,72.88,73.19,71.19
15,62.08,61.08,73.59,72.59,30,30,30,69.77,69.77,69.77,30,30,30,58.51,58.51,58.51,30,30,30,58.28,58.28,58.28,30,30,30,72.51,72.51,72.51,30,30,30,52.57,52.57,52.57,30,30,30,66.66,66.66,66.66,30,30,30,55.45,55.45,55.45,30,30,30,73.37,73.37,73.37,73.02,72.02,75.83,73.83,76.09,74.09,75.8,73.8
16,62.08,61.08,75.04,74.04,32,32,32,70.19,70.19,70.19,32,32,32,62.26,62.26,62.26,32,32,32,54.97,54.97,54.97,32,32,32,68.39,68.39,68.39,32,32,32,51.04,51.04,51.04,32,32,32,68.19,68.19,68.19,32,32,32,46.35,46.35,46.35,32,32,32,71.16,71.16,71.16,73.02,72.02,76.82,74.82,76.09,74.09,76.28,74.28
17,68.8,67.8,75.04,74.04,34,34,34,73.02,73.02,73.02,34,34,34,50.86,50.86,50.86,34,34,34,59.77,59.77,59.77,34,34,34,74.14,74.14,74.14,34,34,34,59.9,59.9,59.9,34,34,34,69.79,69.79,69.79,34,34,34,59.21,59.21,59.21,34,34,34,73.51,73.51,73.51,74.16,73.16,77.13,75.13,76.88,74.88,76.28,74.28
18,70.17,69.17,76.01,75.01,36,36,36,72.32,72.32,72.32,36,36,36,63.1,63.1,63.1,36,36,36,55.84,55.84,55.84,36,36,36,71.51,71.51,71.51,36,36,36,61.75,61.75,61.75,36,36,36,67.49,67.49,67.49,36,36,36,63.75,63.75,63.75,36,36,36,74.45,74.45,74.45,74.16,73.16,77.13,75.13,77.3,75.3,76.81,74.81
19,70.36,69.36,76.01,75.01,38,38,38,72.58,72.58,72.58,38,38,38,58.39,58.39,58.39,38,38,38,57.57,57.57,57.57,38,38,38,74.81,74.81,74.81,38,38,38,59.2,59.2,59.2,38,38,38,69.68,69.68,69.68,38,38,38,59.71,59.71,59.71,38,38,38,73.4,73.4,73.4,74.16,73.16,77.55,75.55,77.81,75.81,77.38,75.38
20,72.09,71.09,78.76,77.76,40,40,40,74.96,74.96,74.96,40,40,40,38.68,38.68,38.68,40,40,40,60.56,60.56,60.56,40,40,40,74.33,74.33,74.33,40,40,40,65.34,65.34,65.34,40,40,40,74.27,74.27,74.27,40,40,40,60.8,60.8,60.8,40,40,40,74.78,74.78,74.78,77.83,76.83,79.28,77.28,79.49,77.49,77.38,75.38
