"Step","LR[K=180]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=180]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=180]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=61]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=61]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=61]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","LR[K=220]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=220]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=220]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=350]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=350]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=350]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=60]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=60]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=60]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","LR[K=265]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=265]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=265]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=430]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=430]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=430]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","LR[K=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=500]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=500]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=500]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1 - metrics/mAP50(B)","YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX"
"35","0.33064","0.33064","0.33064","0.37128","0.37128","0.37128","0.00035","0.00035","0.00035","0.38121","0.38121","0.38121","0.37086","0.37086","0.37086","0","0","0","0.32276","0.32276","0.32276","0.35416","0.35416","0.35416","0.37598","0.37598","0.37598","0.3764","0.3764","0.3764","0.39442","0.39442","0.39442","0.38107","0.38107","0.38107","0.32286","0.32286","0.32286"
"36","0.37291","0.37291","0.37291","0.39616","0.39616","0.39616","0","0","0","0.39467","0.39467","0.39467","0.37376","0.37376","0.37376","0","0","0","0.38963","0.38963","0.38963","0.37003","0.37003","0.37003","0.39505","0.39505","0.39505","0.36654","0.36654","0.36654","0.38654","0.38654","0.38654","0.43161","0.43161","0.43161","0.36407","0.36407","0.36407"
"37","0.32215","0.32215","0.32215","0.36806","0.36806","0.36806","0","0","0","0.38313","0.38313","0.38313","0.36097","0.36097","0.36097","0.03334","0.03334","0.03334","0.3954","0.3954","0.3954","0.38941","0.38941","0.38941","0.34294","0.34294","0.34294","0.3795","0.3795","0.3795","0.4014","0.4014","0.4014","0.369","0.369","0.369","0.36421","0.36421","0.36421"
"38","0.37063","0.37063","0.37063","0.37606","0.37606","0.37606","0.00076","0.00076","0.00076","0.36036","0.36036","0.36036","0.38054","0.38054","0.38054","0","0","0","0.40097","0.40097","0.40097","0.36198","0.36198","0.36198","0.35846","0.35846","0.35846","0.36563","0.36563","0.36563","0.40686","0.40686","0.40686","0.43323","0.43323","0.43323","0.40534","0.40534","0.40534"
"39","0.32193","0.32193","0.32193","0.35149","0.35149","0.35149","0.00038","0.00038","0.00038","0.39625","0.39625","0.39625","0.34253","0.34253","0.34253","0","0","0","0.32437","0.32437","0.32437","0.38993","0.38993","0.38993","0.36937","0.36937","0.36937","0.34214","0.34214","0.34214","0.38034","0.38034","0.38034","0.43014","0.43014","0.43014","0.36771","0.36771","0.36771"
"40","0.39012","0.39012","0.39012","0.38768","0.38768","0.38768","0.00108","0.00108","0.00108","0.41347","0.41347","0.41347","0.37664","0.37664","0.37664","0.00304","0.00304","0.00304","0.35137","0.35137","0.35137","0.3802","0.3802","0.3802","0.38098","0.38098","0.38098","0.39266","0.39266","0.39266","0.42369","0.42369","0.42369","0.41998","0.41998","0.41998","0.39974","0.39974","0.39974"
"41","0.32079","0.32079","0.32079","0.39708","0.39708","0.39708","0","0","0","0.3598","0.3598","0.3598","0.38402","0.38402","0.38402","0.00304","0.00304","0.00304","0.345","0.345","0.345","0.3537","0.3537","0.3537","0.39512","0.39512","0.39512","0.3856","0.3856","0.3856","0.40163","0.40163","0.40163","0.43645","0.43645","0.43645","0.39472","0.39472","0.39472"
"42","0.34583","0.34583","0.34583","0.36394","0.36394","0.36394","0.00074","0.00074","0.00074","0.39967","0.39967","0.39967","0.36068","0.36068","0.36068","0.0012","0.0012","0.0012","0.36592","0.36592","0.36592","0.37122","0.37122","0.37122","0.3237","0.3237","0.3237","0.3825","0.3825","0.3825","0.34248","0.34248","0.34248","0.39346","0.39346","0.39346","0.40134","0.40134","0.40134"
"43","0.35174","0.35174","0.35174","0.32766","0.32766","0.32766","0.00086","0.00086","0.00086","0.38283","0.38283","0.38283","0.38861","0.38861","0.38861","0.00089","0.00089","0.00089","0.38651","0.38651","0.38651","0.35667","0.35667","0.35667","0.3661","0.3661","0.3661","0.39823","0.39823","0.39823","0.39048","0.39048","0.39048","0.39866","0.39866","0.39866","0.40752","0.40752","0.40752"
"44","0.37716","0.37716","0.37716","0.38227","0.38227","0.38227","0.0021","0.0021","0.0021","0.39137","0.39137","0.39137","0.40732","0.40732","0.40732","0.01719","0.01719","0.01719","0.39515","0.39515","0.39515","0.37998","0.37998","0.37998","0.38671","0.38671","0.38671","0.40512","0.40512","0.40512","0.41055","0.41055","0.41055","0.41565","0.41565","0.41565","0.3758","0.3758","0.3758"
"45","0.38095","0.38095","0.38095","0.3595","0.3595","0.3595","0.00061","0.00061","0.00061","0.38152","0.38152","0.38152","0.37559","0.37559","0.37559","0.00035","0.00035","0.00035","0.39627","0.39627","0.39627","0.38409","0.38409","0.38409","0.37853","0.37853","0.37853","0.35104","0.35104","0.35104","0.38961","0.38961","0.38961","0.3965","0.3965","0.3965","0.43041","0.43041","0.43041"
"46","0.35116","0.35116","0.35116","0.35038","0.35038","0.35038","0","0","0","0.35917","0.35917","0.35917","0.38747","0.38747","0.38747","0.00211","0.00211","0.00211","0.34746","0.34746","0.34746","0.36774","0.36774","0.36774","0.35106","0.35106","0.35106","0.379","0.379","0.379","0.40234","0.40234","0.40234","0.41043","0.41043","0.41043","0.39493","0.39493","0.39493"
"47","0.39814","0.39814","0.39814","0.39199","0.39199","0.39199","0.01667","0.01667","0.01667","0.38696","0.38696","0.38696","0.38098","0.38098","0.38098","0.00188","0.00188","0.00188","0.3899","0.3899","0.3899","0.35203","0.35203","0.35203","0.41101","0.41101","0.41101","0.39732","0.39732","0.39732","0.38217","0.38217","0.38217","0.40307","0.40307","0.40307","0.40834","0.40834","0.40834"
"48","0.34474","0.34474","0.34474","0.38416","0.38416","0.38416","0","0","0","0.34447","0.34447","0.34447","0.37165","0.37165","0.37165","0.00097","0.00097","0.00097","0.40567","0.40567","0.40567","0.415","0.415","0.415","0.37871","0.37871","0.37871","0.39733","0.39733","0.39733","0.41673","0.41673","0.41673","0.41986","0.41986","0.41986","0.40778","0.40778","0.40778"
"49","0.3759","0.3759","0.3759","0.37089","0.37089","0.37089","0","0","0","0.3836","0.3836","0.3836","0.3801","0.3801","0.3801","0.00239","0.00239","0.00239","0.36233","0.36233","0.36233","0.39045","0.39045","0.39045","0.43412","0.43412","0.43412","0.39973","0.39973","0.39973","0.40549","0.40549","0.40549","0.44789","0.44789","0.44789","0.42568","0.42568","0.42568"
"50","0.3946","0.3946","0.3946","0.37658","0.37658","0.37658","0.03335","0.03335","0.03335","0.39491","0.39491","0.39491","0.33324","0.33324","0.33324","0.00114","0.00114","0.00114","0.40755","0.40755","0.40755","0.37773","0.37773","0.37773","0.40776","0.40776","0.40776","0.3978","0.3978","0.3978","0.42252","0.42252","0.42252","0.44251","0.44251","0.44251","0.44348","0.44348","0.44348"
"51","0.40019","0.40019","0.40019","0.38692","0.38692","0.38692","0","0","0","0.38887","0.38887","0.38887","0.37151","0.37151","0.37151","0.03422","0.03422","0.03422","0.38849","0.38849","0.38849","0.36279","0.36279","0.36279","0.41423","0.41423","0.41423","0.36157","0.36157","0.36157","0.40835","0.40835","0.40835","0.44995","0.44995","0.44995","0.38719","0.38719","0.38719"
"52","0.38392","0.38392","0.38392","0.4046","0.4046","0.4046","0","0","0","0.36267","0.36267","0.36267","0.4289","0.4289","0.4289","0.00149","0.00149","0.00149","0.38552","0.38552","0.38552","0.38506","0.38506","0.38506","0.39319","0.39319","0.39319","0.37675","0.37675","0.37675","0.48235","0.48235","0.48235","0.45403","0.45403","0.45403","0.41057","0.41057","0.41057"
"53","0.38606","0.38606","0.38606","0.41398","0.41398","0.41398","0","0","0","0.40082","0.40082","0.40082","0.38456","0.38456","0.38456","0.00142","0.00142","0.00142","0.39654","0.39654","0.39654","0.40176","0.40176","0.40176","0.41962","0.41962","0.41962","0.38034","0.38034","0.38034","0.4481","0.4481","0.4481","0.46348","0.46348","0.46348","0.4185","0.4185","0.4185"
"54","0.38688","0.38688","0.38688","0.4043","0.4043","0.4043","0","0","0","0.42288","0.42288","0.42288","0.39204","0.39204","0.39204","0","0","0","0.3556","0.3556","0.3556","0.39837","0.39837","0.39837","0.39212","0.39212","0.39212","0.40543","0.40543","0.40543","0.45127","0.45127","0.45127","0.49814","0.49814","0.49814","0.44148","0.44148","0.44148"
"55","0.3934","0.3934","0.3934","0.36677","0.36677","0.36677","0","0","0","0.43592","0.43592","0.43592","0.38818","0.38818","0.38818","0.00146","0.00146","0.00146","0.402","0.402","0.402","0.40862","0.40862","0.40862","0.42717","0.42717","0.42717","0.39939","0.39939","0.39939","0.39718","0.39718","0.39718","0.48157","0.48157","0.48157","0.42162","0.42162","0.42162"
"56","0.3953","0.3953","0.3953","0.38859","0.38859","0.38859","0","0","0","0.4345","0.4345","0.4345","0.39855","0.39855","0.39855","0","0","0","0.40591","0.40591","0.40591","0.39241","0.39241","0.39241","0.41676","0.41676","0.41676","0.38959","0.38959","0.38959","0.48101","0.48101","0.48101","0.46852","0.46852","0.46852","0.44154","0.44154","0.44154"
"57","0.37621","0.37621","0.37621","0.43209","0.43209","0.43209","0","0","0","0.37646","0.37646","0.37646","0.39805","0.39805","0.39805","0.00156","0.00156","0.00156","0.38355","0.38355","0.38355","0.38966","0.38966","0.38966","0.41736","0.41736","0.41736","0.394","0.394","0.394","0.42883","0.42883","0.42883","0.4779","0.4779","0.4779","0.43863","0.43863","0.43863"
"58","0.39863","0.39863","0.39863","0.40179","0.40179","0.40179","0","0","0","0.38814","0.38814","0.38814","0.38017","0.38017","0.38017","0.03761","0.03761","0.03761","0.36761","0.36761","0.36761","0.40684","0.40684","0.40684","0.44959","0.44959","0.44959","0.38212","0.38212","0.38212","0.45031","0.45031","0.45031","0.48547","0.48547","0.48547","0.45654","0.45654","0.45654"
"59","0.38049","0.38049","0.38049","0.41386","0.41386","0.41386","0","0","0","0.42228","0.42228","0.42228","0.40756","0.40756","0.40756","0","0","0","0.3801","0.3801","0.3801","0.40445","0.40445","0.40445","0.41847","0.41847","0.41847","0.44045","0.44045","0.44045","0.39959","0.39959","0.39959","0.44869","0.44869","0.44869","0.41354","0.41354","0.41354"
"60","0.43281","0.43281","0.43281","0.41608","0.41608","0.41608","0","0","0","0.44133","0.44133","0.44133","0.42049","0.42049","0.42049","0.03342","0.03342","0.03342","0.40966","0.40966","0.40966","0.40709","0.40709","0.40709","0.36847","0.36847","0.36847","0.40146","0.40146","0.40146","0.48115","0.48115","0.48115","0.43845","0.43845","0.43845","0.43844","0.43844","0.43844"
"61","0.42477","0.42477","0.42477","0.395","0.395","0.395","0","0","0","0.40281","0.40281","0.40281","0.38623","0.38623","0.38623","0.03335","0.03335","0.03335","0.4163","0.4163","0.4163","0.35562","0.35562","0.35562","0.4387","0.4387","0.4387","0.3938","0.3938","0.3938","0.42915","0.42915","0.42915","0.45135","0.45135","0.45135","0.40597","0.40597","0.40597"
"62","0.46966","0.46966","0.46966","0.43129","0.43129","0.43129","0","0","0","0.40964","0.40964","0.40964","0.43035","0.43035","0.43035","0.03342","0.03342","0.03342","0.41226","0.41226","0.41226","0.38948","0.38948","0.38948","0.46011","0.46011","0.46011","0.39214","0.39214","0.39214","0.4576","0.4576","0.4576","0.46593","0.46593","0.46593","0.44396","0.44396","0.44396"
"63","0.39103","0.39103","0.39103","0.44692","0.44692","0.44692","0","0","0","0.43516","0.43516","0.43516","0.44592","0.44592","0.44592","0","0","0","0.40109","0.40109","0.40109","0.4126","0.4126","0.4126","0.456","0.456","0.456","0.42618","0.42618","0.42618","0.50205","0.50205","0.50205","0.47302","0.47302","0.47302","0.46509","0.46509","0.46509"
"64","0.43225","0.43225","0.43225","0.39126","0.39126","0.39126","0.03338","0.03338","0.03338","0.39368","0.39368","0.39368","0.42502","0.42502","0.42502","0.03338","0.03338","0.03338","0.39022","0.39022","0.39022","0.39415","0.39415","0.39415","0.44516","0.44516","0.44516","0.42427","0.42427","0.42427","0.47399","0.47399","0.47399","0.46013","0.46013","0.46013","0.42087","0.42087","0.42087"
"65","0.447","0.447","0.447","0.41536","0.41536","0.41536","0.03073","0.03073","0.03073","0.46075","0.46075","0.46075","0.43416","0.43416","0.43416","0.06687","0.06687","0.06687","0.39027","0.39027","0.39027","0.45474","0.45474","0.45474","0.4945","0.4945","0.4945","0.43434","0.43434","0.43434","0.48906","0.48906","0.48906","0.45359","0.45359","0.45359","0.45076","0.45076","0.45076"
"66","0.3924","0.3924","0.3924","0.42479","0.42479","0.42479","0.06761","0.06761","0.06761","0.4392","0.4392","0.4392","0.38687","0.38687","0.38687","0.09664","0.09664","0.09664","0.39419","0.39419","0.39419","0.39867","0.39867","0.39867","0.42089","0.42089","0.42089","0.42477","0.42477","0.42477","0.46378","0.46378","0.46378","0.47852","0.47852","0.47852","0.51006","0.51006","0.51006"
"67","0.47406","0.47406","0.47406","0.42232","0.42232","0.42232","0.06691","0.06691","0.06691","0.39205","0.39205","0.39205","0.4123","0.4123","0.4123","0.03351","0.03351","0.03351","0.46959","0.46959","0.46959","0.45673","0.45673","0.45673","0.481","0.481","0.481","0.42722","0.42722","0.42722","0.46568","0.46568","0.46568","0.47685","0.47685","0.47685","0.42785","0.42785","0.42785"
"68","0.42776","0.42776","0.42776","0.42212","0.42212","0.42212","0.03337","0.03337","0.03337","0.43966","0.43966","0.43966","0.42946","0.42946","0.42946","0.06626","0.06626","0.06626","0.43329","0.43329","0.43329","0.43242","0.43242","0.43242","0.43546","0.43546","0.43546","0.44587","0.44587","0.44587","0.49076","0.49076","0.49076","0.45506","0.45506","0.45506","0.50518","0.50518","0.50518"
"69","0.49896","0.49896","0.49896","0.43253","0.43253","0.43253","0.10002","0.10002","0.10002","0.49239","0.49239","0.49239","0.41524","0.41524","0.41524","0.08736","0.08736","0.08736","0.43987","0.43987","0.43987","0.40897","0.40897","0.40897","0.44708","0.44708","0.44708","0.39864","0.39864","0.39864","0.46879","0.46879","0.46879","0.42918","0.42918","0.42918","0.46076","0.46076","0.46076"
"70","0.4317","0.4317","0.4317","0.42435","0.42435","0.42435","0.06837","0.06837","0.06837","0.41266","0.41266","0.41266","0.43633","0.43633","0.43633","0.13139","0.13139","0.13139","0.4336","0.4336","0.4336","0.4492","0.4492","0.4492","0.47253","0.47253","0.47253","0.43893","0.43893","0.43893","0.47015","0.47015","0.47015","0.45558","0.45558","0.45558","0.48278","0.48278","0.48278"
"71","0.42266","0.42266","0.42266","0.38457","0.38457","0.38457","0.06927","0.06927","0.06927","0.38599","0.38599","0.38599","0.42665","0.42665","0.42665","0.06763","0.06763","0.06763","0.41896","0.41896","0.41896","0.40566","0.40566","0.40566","0.4139","0.4139","0.4139","0.42934","0.42934","0.42934","0.46587","0.46587","0.46587","0.45544","0.45544","0.45544","0.47452","0.47452","0.47452"
"72","0.42603","0.42603","0.42603","0.37925","0.37925","0.37925","0.10125","0.10125","0.10125","0.42549","0.42549","0.42549","0.44825","0.44825","0.44825","0.12984","0.12984","0.12984","0.42506","0.42506","0.42506","0.40593","0.40593","0.40593","0.43036","0.43036","0.43036","0.45009","0.45009","0.45009","0.42588","0.42588","0.42588","0.49251","0.49251","0.49251","0.43767","0.43767","0.43767"
"73","0.41101","0.41101","0.41101","0.41997","0.41997","0.41997","0.10197","0.10197","0.10197","0.42519","0.42519","0.42519","0.42308","0.42308","0.42308","0.10254","0.10254","0.10254","0.40258","0.40258","0.40258","0.4347","0.4347","0.4347","0.46596","0.46596","0.46596","0.43578","0.43578","0.43578","0.49715","0.49715","0.49715","0.4898","0.4898","0.4898","0.48417","0.48417","0.48417"
"74","0.4236","0.4236","0.4236","0.43043","0.43043","0.43043","0.06713","0.06713","0.06713","0.42937","0.42937","0.42937","0.42758","0.42758","0.42758","0.0687","0.0687","0.0687","0.41698","0.41698","0.41698","0.43127","0.43127","0.43127","0.44943","0.44943","0.44943","0.42594","0.42594","0.42594","0.47024","0.47024","0.47024","0.51125","0.51125","0.51125","0.4508","0.4508","0.4508"
"75","0.46706","0.46706","0.46706","0.43158","0.43158","0.43158","0.10226","0.10226","0.10226","0.51481","0.51481","0.51481","0.433","0.433","0.433","0.13863","0.13863","0.13863","0.4336","0.4336","0.4336","0.43352","0.43352","0.43352","0.46906","0.46906","0.46906","0.4272","0.4272","0.4272","0.48121","0.48121","0.48121","0.47808","0.47808","0.47808","0.46174","0.46174","0.46174"
"76","0.46708","0.46708","0.46708","0.42821","0.42821","0.42821","0.10177","0.10177","0.10177","0.4665","0.4665","0.4665","0.4648","0.4648","0.4648","0.10248","0.10248","0.10248","0.46934","0.46934","0.46934","0.43895","0.43895","0.43895","0.45042","0.45042","0.45042","0.44116","0.44116","0.44116","0.48346","0.48346","0.48346","0.47146","0.47146","0.47146","0.48378","0.48378","0.48378"
"77","0.47786","0.47786","0.47786","0.43433","0.43433","0.43433","0.10578","0.10578","0.10578","0.46124","0.46124","0.46124","0.43584","0.43584","0.43584","0.06909","0.06909","0.06909","0.48222","0.48222","0.48222","0.44342","0.44342","0.44342","0.46014","0.46014","0.46014","0.43272","0.43272","0.43272","0.46092","0.46092","0.46092","0.48279","0.48279","0.48279","0.4813","0.4813","0.4813"
"78","0.47841","0.47841","0.47841","0.44387","0.44387","0.44387","0.08369","0.08369","0.08369","0.45627","0.45627","0.45627","0.4631","0.4631","0.4631","0.10733","0.10733","0.10733","0.44548","0.44548","0.44548","0.43135","0.43135","0.43135","0.44167","0.44167","0.44167","0.43861","0.43861","0.43861","0.49622","0.49622","0.49622","0.45337","0.45337","0.45337","0.47179","0.47179","0.47179"
"79","0.45639","0.45639","0.45639","0.47414","0.47414","0.47414","0.17142","0.17142","0.17142","0.42886","0.42886","0.42886","0.47192","0.47192","0.47192","0.10982","0.10982","0.10982","0.44604","0.44604","0.44604","0.45354","0.45354","0.45354","0.44983","0.44983","0.44983","0.40703","0.40703","0.40703","0.48183","0.48183","0.48183","0.50498","0.50498","0.50498","0.49126","0.49126","0.49126"
"80","0.46178","0.46178","0.46178","0.47732","0.47732","0.47732","0.17189","0.17189","0.17189","0.45136","0.45136","0.45136","0.46121","0.46121","0.46121","0.17359","0.17359","0.17359","0.45335","0.45335","0.45335","0.46079","0.46079","0.46079","0.44094","0.44094","0.44094","0.48158","0.48158","0.48158","0.46417","0.46417","0.46417","0.47721","0.47721","0.47721","0.47683","0.47683","0.47683"
"81","0.51124","0.51124","0.51124","0.46463","0.46463","0.46463","0.12304","0.12304","0.12304","0.44334","0.44334","0.44334","0.47495","0.47495","0.47495","0.13923","0.13923","0.13923","0.49968","0.49968","0.49968","0.47786","0.47786","0.47786","0.44811","0.44811","0.44811","0.48263","0.48263","0.48263","0.49553","0.49553","0.49553","0.50334","0.50334","0.50334","0.49504","0.49504","0.49504"
"82","0.46425","0.46425","0.46425","0.40189","0.40189","0.40189","0.10791","0.10791","0.10791","0.48609","0.48609","0.48609","0.44034","0.44034","0.44034","0.20815","0.20815","0.20815","0.45319","0.45319","0.45319","0.46988","0.46988","0.46988","0.48899","0.48899","0.48899","0.47505","0.47505","0.47505","0.47971","0.47971","0.47971","0.47993","0.47993","0.47993","0.47889","0.47889","0.47889"
"83","0.46969","0.46969","0.46969","0.43792","0.43792","0.43792","0.16883","0.16883","0.16883","0.4235","0.4235","0.4235","0.47542","0.47542","0.47542","0.16176","0.16176","0.16176","0.4668","0.4668","0.4668","0.46262","0.46262","0.46262","0.44017","0.44017","0.44017","0.43836","0.43836","0.43836","0.4772","0.4772","0.4772","0.49553","0.49553","0.49553","0.51951","0.51951","0.51951"
"84","0.48316","0.48316","0.48316","0.4387","0.4387","0.4387","0.10321","0.10321","0.10321","0.44107","0.44107","0.44107","0.44533","0.44533","0.44533","0.13549","0.13549","0.13549","0.41128","0.41128","0.41128","0.43062","0.43062","0.43062","0.46336","0.46336","0.46336","0.42628","0.42628","0.42628","0.4868","0.4868","0.4868","0.48909","0.48909","0.48909","0.53707","0.53707","0.53707"
"85","0.47416","0.47416","0.47416","0.48328","0.48328","0.48328","0.17596","0.17596","0.17596","0.46477","0.46477","0.46477","0.46129","0.46129","0.46129","0.24059","0.24059","0.24059","0.46627","0.46627","0.46627","0.47853","0.47853","0.47853","0.46305","0.46305","0.46305","0.45095","0.45095","0.45095","0.49231","0.49231","0.49231","0.47893","0.47893","0.47893","0.49394","0.49394","0.49394"
"86","0.45548","0.45548","0.45548","0.4481","0.4481","0.4481","0.10959","0.10959","0.10959","0.46059","0.46059","0.46059","0.45764","0.45764","0.45764","0.14279","0.14279","0.14279","0.44987","0.44987","0.44987","0.47204","0.47204","0.47204","0.48095","0.48095","0.48095","0.47315","0.47315","0.47315","0.4819","0.4819","0.4819","0.47869","0.47869","0.47869","0.49362","0.49362","0.49362"
"87","0.50483","0.50483","0.50483","0.46568","0.46568","0.46568","0.17843","0.17843","0.17843","0.4441","0.4441","0.4441","0.47196","0.47196","0.47196","0.23733","0.23733","0.23733","0.49071","0.49071","0.49071","0.45706","0.45706","0.45706","0.44763","0.44763","0.44763","0.4615","0.4615","0.4615","0.50581","0.50581","0.50581","0.48194","0.48194","0.48194","0.47169","0.47169","0.47169"
"88","0.47228","0.47228","0.47228","0.46379","0.46379","0.46379","0.1429","0.1429","0.1429","0.50594","0.50594","0.50594","0.44314","0.44314","0.44314","0.22891","0.22891","0.22891","0.45621","0.45621","0.45621","0.45646","0.45646","0.45646","0.48651","0.48651","0.48651","0.47507","0.47507","0.47507","0.50575","0.50575","0.50575","0.50196","0.50196","0.50196","0.49835","0.49835","0.49835"
"89","0.48151","0.48151","0.48151","0.49461","0.49461","0.49461","0.17989","0.17989","0.17989","0.48781","0.48781","0.48781","0.47165","0.47165","0.47165","0.2131","0.2131","0.2131","0.48825","0.48825","0.48825","0.46799","0.46799","0.46799","0.50154","0.50154","0.50154","0.47899","0.47899","0.47899","0.50489","0.50489","0.50489","0.48729","0.48729","0.48729","0.48499","0.48499","0.48499"
"90","0.48105","0.48105","0.48105","0.47227","0.47227","0.47227","0.19411","0.19411","0.19411","0.48443","0.48443","0.48443","0.46764","0.46764","0.46764","0.18329","0.18329","0.18329","0.47931","0.47931","0.47931","0.47358","0.47358","0.47358","0.46694","0.46694","0.46694","0.48891","0.48891","0.48891","0.50368","0.50368","0.50368","0.47696","0.47696","0.47696","0.46744","0.46744","0.46744"
"91","0.46324","0.46324","0.46324","0.43503","0.43503","0.43503","0.17601","0.17601","0.17601","0.48094","0.48094","0.48094","0.47102","0.47102","0.47102","0.27422","0.27422","0.27422","0.48951","0.48951","0.48951","0.47351","0.47351","0.47351","0.48298","0.48298","0.48298","0.46743","0.46743","0.46743","0.46856","0.46856","0.46856","0.50446","0.50446","0.50446","0.49197","0.49197","0.49197"
"92","0.4723","0.4723","0.4723","0.44618","0.44618","0.44618","0.17648","0.17648","0.17648","0.46485","0.46485","0.46485","0.46586","0.46586","0.46586","0.28709","0.28709","0.28709","0.44694","0.44694","0.44694","0.45066","0.45066","0.45066","0.47707","0.47707","0.47707","0.46869","0.46869","0.46869","0.49463","0.49463","0.49463","0.49708","0.49708","0.49708","0.49838","0.49838","0.49838"
"93","0.49068","0.49068","0.49068","0.41731","0.41731","0.41731","0.23979","0.23979","0.23979","0.47907","0.47907","0.47907","0.45393","0.45393","0.45393","0.24137","0.24137","0.24137","0.49141","0.49141","0.49141","0.47357","0.47357","0.47357","0.46067","0.46067","0.46067","0.46629","0.46629","0.46629","0.50149","0.50149","0.50149","0.49497","0.49497","0.49497","0.50739","0.50739","0.50739"
"94","0.49207","0.49207","0.49207","0.49461","0.49461","0.49461","0.21195","0.21195","0.21195","0.49892","0.49892","0.49892","0.47469","0.47469","0.47469","0.3331","0.3331","0.3331","0.49183","0.49183","0.49183","0.47518","0.47518","0.47518","0.4873","0.4873","0.4873","0.48608","0.48608","0.48608","0.50647","0.50647","0.50647","0.51514","0.51514","0.51514","0.51286","0.51286","0.51286"
"95","0.43541","0.43541","0.43541","0.44327","0.44327","0.44327","0.2783","0.2783","0.2783","0.48052","0.48052","0.48052","0.46733","0.46733","0.46733","0.29965","0.29965","0.29965","0.45379","0.45379","0.45379","0.48171","0.48171","0.48171","0.49656","0.49656","0.49656","0.49918","0.49918","0.49918","0.50098","0.50098","0.50098","0.49361","0.49361","0.49361","0.49087","0.49087","0.49087"
"96","0.47766","0.47766","0.47766","0.45057","0.45057","0.45057","0.24849","0.24849","0.24849","0.47687","0.47687","0.47687","0.46204","0.46204","0.46204","0.28841","0.28841","0.28841","0.44501","0.44501","0.44501","0.48941","0.48941","0.48941","0.47423","0.47423","0.47423","0.49542","0.49542","0.49542","0.49637","0.49637","0.49637","0.49806","0.49806","0.49806","0.4819","0.4819","0.4819"
"97","0.43041","0.43041","0.43041","0.45774","0.45774","0.45774","0.24719","0.24719","0.24719","0.46465","0.46465","0.46465","0.45765","0.45765","0.45765","0.29467","0.29467","0.29467","0.45936","0.45936","0.45936","0.46742","0.46742","0.46742","0.49611","0.49611","0.49611","0.47459","0.47459","0.47459","0.48123","0.48123","0.48123","0.4847","0.4847","0.4847","0.47187","0.47187","0.47187"
"98","0.4574","0.4574","0.4574","0.47456","0.47456","0.47456","0.22583","0.22583","0.22583","0.48668","0.48668","0.48668","0.45494","0.45494","0.45494","0.26667","0.26667","0.26667","0.47097","0.47097","0.47097","0.47657","0.47657","0.47657","0.46465","0.46465","0.46465","0.4945","0.4945","0.4945","0.46896","0.46896","0.46896","0.5263","0.5263","0.5263","0.50312","0.50312","0.50312"
