"Step","LR[K=180]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=180]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=180]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=61]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=61]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=61]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","LR[K=220]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=220]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=220]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=350]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=350]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=350]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=60]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=60]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=60]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","LR[K=265]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=265]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=265]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=430]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=430]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=430]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","LR[K=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)","LR[K=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","LR[K=300]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLconv[R=500]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLconv[R=500]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLconv[R=500]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1 - metrics/mAP50(B)","YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX"
"11","0.21434","0.21434","0.21434","0.13519","0.13519","0.13519","0.0002","0.0002","0.0002","0.16868","0.16868","0.16868","0.12216","0.12216","0.12216","0","0","0","0.1491","0.1491","0.1491","0.147","0.147","0.147","0.21197","0.21197","0.21197","0.12268","0.12268","0.12268","0.26647","0.26647","0.26647","0.30144","0.30144","0.30144","0.27433","0.27433","0.27433"
"12","0.17837","0.17837","0.17837","0.17487","0.17487","0.17487","0","0","0","0.12613","0.12613","0.12613","0.1559","0.1559","0.1559","0.00045","0.00045","0.00045","0.18822","0.18822","0.18822","0.17449","0.17449","0.17449","0.20612","0.20612","0.20612","0.20779","0.20779","0.20779","0.21417","0.21417","0.21417","0.30378","0.30378","0.30378","0.25286","0.25286","0.25286"
"13","0.18116","0.18116","0.18116","0.229","0.229","0.229","0.00021","0.00021","0.00021","0.10589","0.10589","0.10589","0.26603","0.26603","0.26603","0","0","0","0.20178","0.20178","0.20178","0.23202","0.23202","0.23202","0.19299","0.19299","0.19299","0.18573","0.18573","0.18573","0.25546","0.25546","0.25546","0.28475","0.28475","0.28475","0.24668","0.24668","0.24668"
"14","0.25038","0.25038","0.25038","0.17049","0.17049","0.17049","0.00101","0.00101","0.00101","0.23181","0.23181","0.23181","0.1553","0.1553","0.1553","0","0","0","0.21562","0.21562","0.21562","0.13165","0.13165","0.13165","0.23038","0.23038","0.23038","0.21632","0.21632","0.21632","0.24548","0.24548","0.24548","0.3147","0.3147","0.3147","0.28303","0.28303","0.28303"
"15","0.19436","0.19436","0.19436","0.21131","0.21131","0.21131","0.00417","0.00417","0.00417","0.21037","0.21037","0.21037","0.24137","0.24137","0.24137","0","0","0","0.26567","0.26567","0.26567","0.24189","0.24189","0.24189","0.22699","0.22699","0.22699","0.24689","0.24689","0.24689","0.33864","0.33864","0.33864","0.29278","0.29278","0.29278","0.29719","0.29719","0.29719"
"16","0.23575","0.23575","0.23575","0.21692","0.21692","0.21692","0.00446","0.00446","0.00446","0.23396","0.23396","0.23396","0.24989","0.24989","0.24989","0.00014","0.00014","0.00014","0.23876","0.23876","0.23876","0.20105","0.20105","0.20105","0.23215","0.23215","0.23215","0.23188","0.23188","0.23188","0.32897","0.32897","0.32897","0.29715","0.29715","0.29715","0.2271","0.2271","0.2271"
"17","0.21981","0.21981","0.21981","0.27173","0.27173","0.27173","0.00693","0.00693","0.00693","0.24804","0.24804","0.24804","0.27229","0.27229","0.27229","0","0","0","0.23811","0.23811","0.23811","0.2369","0.2369","0.2369","0.27235","0.27235","0.27235","0.21547","0.21547","0.21547","0.3565","0.3565","0.3565","0.33369","0.33369","0.33369","0.25148","0.25148","0.25148"
"18","0.27655","0.27655","0.27655","0.287","0.287","0.287","0","0","0","0.27571","0.27571","0.27571","0.30183","0.30183","0.30183","0","0","0","0.35416","0.35416","0.35416","0.30973","0.30973","0.30973","0.29186","0.29186","0.29186","0.32212","0.32212","0.32212","0.32308","0.32308","0.32308","0.36473","0.36473","0.36473","0.37527","0.37527","0.37527"
"19","0.28697","0.28697","0.28697","0.28729","0.28729","0.28729","0","0","0","0.26931","0.26931","0.26931","0.28362","0.28362","0.28362","0.01667","0.01667","0.01667","0.25202","0.25202","0.25202","0.23245","0.23245","0.23245","0.24835","0.24835","0.24835","0.25413","0.25413","0.25413","0.36194","0.36194","0.36194","0.28275","0.28275","0.28275","0.29704","0.29704","0.29704"
"20","0.25629","0.25629","0.25629","0.22168","0.22168","0.22168","0.00175","0.00175","0.00175","0.27054","0.27054","0.27054","0.28379","0.28379","0.28379","0.00293","0.00293","0.00293","0.25599","0.25599","0.25599","0.29134","0.29134","0.29134","0.29967","0.29967","0.29967","0.22145","0.22145","0.22145","0.33129","0.33129","0.33129","0.36392","0.36392","0.36392","0.31702","0.31702","0.31702"
"21","0.25121","0.25121","0.25121","0.30322","0.30322","0.30322","0","0","0","0.26245","0.26245","0.26245","0.35088","0.35088","0.35088","0","0","0","0.25751","0.25751","0.25751","0.35847","0.35847","0.35847","0.25957","0.25957","0.25957","0.27842","0.27842","0.27842","0.2892","0.2892","0.2892","0.32729","0.32729","0.32729","0.26676","0.26676","0.26676"
"22","0.26711","0.26711","0.26711","0.24601","0.24601","0.24601","0","0","0","0.31327","0.31327","0.31327","0.29839","0.29839","0.29839","0.01195","0.01195","0.01195","0.26306","0.26306","0.26306","0.27603","0.27603","0.27603","0.29556","0.29556","0.29556","0.25669","0.25669","0.25669","0.29503","0.29503","0.29503","0.35686","0.35686","0.35686","0.33899","0.33899","0.33899"
"23","0.29987","0.29987","0.29987","0.29956","0.29956","0.29956","0.00556","0.00556","0.00556","0.36962","0.36962","0.36962","0.29249","0.29249","0.29249","0.00347","0.00347","0.00347","0.32118","0.32118","0.32118","0.30773","0.30773","0.30773","0.29352","0.29352","0.29352","0.31168","0.31168","0.31168","0.34198","0.34198","0.34198","0.3743","0.3743","0.3743","0.38746","0.38746","0.38746"
"24","0.28678","0.28678","0.28678","0.32533","0.32533","0.32533","0.00616","0.00616","0.00616","0.39245","0.39245","0.39245","0.3255","0.3255","0.3255","0.00632","0.00632","0.00632","0.32552","0.32552","0.32552","0.31929","0.31929","0.31929","0.38574","0.38574","0.38574","0.28512","0.28512","0.28512","0.3372","0.3372","0.3372","0.33147","0.33147","0.33147","0.35652","0.35652","0.35652"
