"epoch","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.downsample.0","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.downsample.0__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.downsample.0__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv3__MAX"
"52","153","153","153","218","218","218","252","252","252","212","212","212","210","210","210","254","254","254","469","469","469","469","469","469","251","251","251","493","493","493","464","464","464","463","463","463","250","250","250","469","469","469","455","455","455","259","259","259"
"53","156","156","156","217","217","217","252","252","252","212","212","212","210","210","210","254","254","254","469","469","469","469","469","469","251","251","251","493","493","493","463","463","463","462","462","462","250","250","250","469","469","469","455","455","455","259","259","259"
"54","159","159","159","216","216","216","251","251","251","212","212","212","210","210","210","254","254","254","469","469","469","469","469","469","251","251","251","493","493","493","462","462","462","461","461","461","250","250","250","469","469","469","455","455","455","259","259","259"
"55","162","162","162","216","216","216","250","250","250","212","212","212","210","210","210","253","253","253","469","469","469","469","469","469","251","251","251","493","493","493","462","462","462","461","461","461","250","250","250","469","469","469","455","455","455","259","259","259"
"56","165","165","165","216","216","216","250","250","250","211","211","211","210","210","210","253","253","253","468","468","468","469","469","469","251","251","251","493","493","493","461","461","461","461","461","461","250","250","250","469","469","469","455","455","455","259","259","259"
"57","168","168","168","216","216","216","250","250","250","211","211","211","210","210","210","253","253","253","468","468","468","466","466","466","251","251","251","493","493","493","461","461","461","461","461","461","250","250","250","469","469","469","455","455","455","259","259","259"
"58","171","171","171","216","216","216","250","250","250","211","211","211","210","210","210","253","253","253","468","468","468","466","466","466","251","251","251","493","493","493","461","461","461","460","460","460","250","250","250","468","468","468","454","454","454","259","259","259"
"59","174","174","174","216","216","216","250","250","250","211","211","211","210","210","210","253","253","253","467","467","467","466","466","466","251","251","251","493","493","493","461","461","461","460","460","460","250","250","250","468","468","468","454","454","454","259","259","259"
"60","177","177","177","216","216","216","250","250","250","211","211","211","210","210","210","253","253","253","467","467","467","466","466","466","251","251","251","493","493","493","459","459","459","459","459","459","250","250","250","468","468","468","454","454","454","259","259","259"
"61","180","180","180","215","215","215","249","249","249","211","211","211","210","210","210","253","253","253","466","466","466","466","466","466","251","251","251","493","493","493","459","459","459","458","458","458","250","250","250","467","467","467","454","454","454","259","259","259"
"62","183","183","183","215","215","215","249","249","249","210","210","210","210","210","210","253","253","253","465","465","465","466","466","466","251","251","251","493","493","493","458","458","458","458","458","458","250","250","250","464","464","464","454","454","454","259","259","259"
"63","186","186","186","215","215","215","249","249","249","210","210","210","209","209","209","253","253","253","465","465","465","463","463","463","251","251","251","493","493","493","458","458","458","456","456","456","250","250","250","464","464","464","454","454","454","259","259","259"
"64","189","189","189","215","215","215","249","249","249","210","210","210","209","209","209","252","252","252","465","465","465","463","463","463","251","251","251","493","493","493","458","458","458","456","456","456","250","250","250","464","464","464","454","454","454","259","259","259"
"65","192","192","192","215","215","215","249","249","249","208","208","208","209","209","209","252","252","252","465","465","465","462","462","462","251","251","251","493","493","493","458","458","458","456","456","456","250","250","250","464","464","464","454","454","454","259","259","259"
"66","195","195","195","213","213","213","248","248","248","208","208","208","209","209","209","252","252","252","465","465","465","462","462","462","251","251","251","493","493","493","458","458","458","456","456","456","250","250","250","464","464","464","453","453","453","259","259","259"
"67","198","198","198","212","212","212","248","248","248","208","208","208","209","209","209","252","252","252","465","465","465","460","460","460","251","251","251","493","493","493","458","458","458","456","456","456","250","250","250","464","464","464","452","452","452","259","259","259"
"68","201","201","201","212","212","212","248","248","248","208","208","208","208","208","208","252","252","252","465","465","465","460","460","460","251","251","251","493","493","493","457","457","457","456","456","456","250","250","250","463","463","463","452","452","452","259","259","259"
"69","204","204","204","212","212","212","248","248","248","208","208","208","208","208","208","252","252","252","465","465","465","460","460","460","251","251","251","493","493","493","455","455","455","456","456","456","250","250","250","463","463","463","452","452","452","259","259","259"
"70","207","207","207","212","212","212","248","248","248","208","208","208","208","208","208","252","252","252","465","465","465","460","460","460","251","251","251","493","493","493","453","453","453","456","456","456","250","250","250","462","462","462","451","451","451","259","259","259"
"71","210","210","210","212","212","212","247","247","247","207","207","207","208","208","208","252","252","252","464","464","464","460","460","460","251","251","251","493","493","493","453","453","453","455","455","455","250","250","250","462","462","462","451","451","451","259","259","259"
"72","213","213","213","212","212","212","247","247","247","206","206","206","208","208","208","251","251","251","463","463","463","460","460","460","251","251","251","493","493","493","453","453","453","455","455","455","250","250","250","462","462","462","451","451","451","259","259","259"
"73","216","216","216","212","212","212","247","247","247","206","206","206","208","208","208","251","251","251","461","461","461","460","460","460","251","251","251","493","493","493","453","453","453","454","454","454","250","250","250","462","462","462","451","451","451","259","259","259"
"74","219","219","219","212","212","212","247","247","247","206","206","206","208","208","208","251","251","251","461","461","461","459","459","459","251","251","251","493","493","493","452","452","452","454","454","454","250","250","250","462","462","462","451","451","451","259","259","259"
"75","222","222","222","212","212","212","247","247","247","206","206","206","208","208","208","251","251","251","460","460","460","459","459","459","251","251","251","493","493","493","452","452","452","454","454","454","250","250","250","462","462","462","451","451","451","259","259","259"
"76","225","225","225","212","212","212","247","247","247","205","205","205","208","208","208","251","251","251","460","460","460","458","458","458","251","251","251","493","493","493","451","451","451","454","454","454","250","250","250","460","460","460","450","450","450","259","259","259"
"77","228","228","228","212","212","212","246","246","246","205","205","205","208","208","208","251","251","251","460","460","460","458","458","458","251","251","251","493","493","493","451","451","451","454","454","454","250","250","250","460","460","460","450","450","450","259","259","259"
"78","231","231","231","211","211","211","246","246","246","205","205","205","208","208","208","251","251","251","460","460","460","458","458","458","251","251","251","493","493","493","448","448","448","454","454","454","250","250","250","460","460","460","450","450","450","259","259","259"
"79","234","234","234","211","211","211","246","246","246","205","205","205","208","208","208","250","250","250","460","460","460","458","458","458","251","251","251","493","493","493","448","448","448","453","453","453","250","250","250","458","458","458","450","450","450","259","259","259"
"80","237","237","237","211","211","211","246","246","246","205","205","205","208","208","208","250","250","250","459","459","459","458","458","458","251","251","251","493","493","493","448","448","448","453","453","453","250","250","250","458","458","458","450","450","450","259","259","259"
"81","240","240","240","211","211","211","246","246","246","205","205","205","208","208","208","250","250","250","457","457","457","458","458","458","251","251","251","493","493","493","448","448","448","452","452","452","250","250","250","457","457","457","450","450","450","259","259","259"
"82","243","243","243","210","210","210","246","246","246","205","205","205","208","208","208","250","250","250","455","455","455","458","458","458","251","251","251","493","493","493","447","447","447","451","451","451","250","250","250","457","457","457","448","448","448","259","259","259"
"83","246","246","246","210","210","210","245","245","245","203","203","203","208","208","208","250","250","250","455","455","455","457","457","457","251","251","251","493","493","493","446","446","446","451","451","451","250","250","250","457","457","457","447","447","447","259","259","259"
"84","249","249","249","210","210","210","244","244","244","203","203","203","207","207","207","250","250","250","455","455","455","456","456","456","251","251","251","493","493","493","443","443","443","451","451","451","250","250","250","456","456","456","446","446","446","259","259","259"
"85","252","252","252","209","209","209","244","244","244","202","202","202","207","207","207","250","250","250","454","454","454","454","454","454","251","251","251","493","493","493","442","442","442","451","451","451","250","250","250","456","456","456","445","445","445","259","259","259"
"86","255","255","255","209","209","209","244","244","244","201","201","201","207","207","207","250","250","250","454","454","454","454","454","454","251","251","251","493","493","493","442","442","442","451","451","451","250","250","250","456","456","456","445","445","445","259","259","259"
"87","258","258","258","209","209","209","244","244","244","201","201","201","206","206","206","250","250","250","453","453","453","451","451","451","251","251","251","493","493","493","442","442","442","451","451","451","250","250","250","456","456","456","444","444","444","259","259","259"
"88","261","261","261","208","208","208","243","243","243","201","201","201","206","206","206","249","249","249","453","453","453","451","451","451","251","251","251","493","493","493","442","442","442","451","451","451","250","250","250","455","455","455","444","444","444","259","259","259"
"89","264","264","264","207","207","207","243","243","243","201","201","201","206","206","206","249","249","249","453","453","453","451","451","451","251","251","251","493","493","493","442","442","442","451","451","451","250","250","250","454","454","454","443","443","443","259","259","259"
"90","267","267","267","207","207","207","243","243","243","201","201","201","206","206","206","248","248","248","452","452","452","451","451","451","251","251","251","493","493","493","442","442","442","450","450","450","250","250","250","452","452","452","443","443","443","259","259","259"
"91","270","270","270","207","207","207","243","243","243","200","200","200","205","205","205","248","248","248","452","452","452","451","451","451","251","251","251","493","493","493","440","440","440","450","450","450","250","250","250","451","451","451","441","441","441","259","259","259"
"92","273","273","273","207","207","207","243","243","243","200","200","200","204","204","204","246","246","246","452","452","452","451","451","451","251","251","251","493","493","493","439","439","439","450","450","450","250","250","250","450","450","450","440","440","440","259","259","259"
"93","276","276","276","207","207","207","243","243","243","200","200","200","203","203","203","245","245","245","452","452","452","449","449","449","251","251","251","493","493","493","437","437","437","448","448","448","250","250","250","449","449","449","439","439","439","259","259","259"
"94","279","279","279","207","207","207","242","242","242","199","199","199","203","203","203","245","245","245","452","452","452","449","449","449","251","251","251","493","493","493","435","435","435","448","448","448","250","250","250","447","447","447","438","438","438","259","259","259"
"95","282","282","282","206","206","206","242","242","242","199","199","199","203","203","203","245","245","245","452","452","452","448","448","448","251","251","251","493","493","493","435","435","435","448","448","448","250","250","250","446","446","446","438","438","438","259","259","259"
"96","285","285","285","206","206","206","242","242","242","199","199","199","203","203","203","244","244","244","452","452","452","447","447","447","251","251","251","493","493","493","435","435","435","448","448","448","250","250","250","444","444","444","437","437","437","259","259","259"
"97","288","288","288","206","206","206","242","242","242","199","199","199","203","203","203","244","244","244","451","451","451","446","446","446","251","251","251","493","493","493","435","435","435","447","447","447","250","250","250","444","444","444","437","437","437","259","259","259"
"98","291","291","291","206","206","206","242","242","242","198","198","198","203","203","203","244","244","244","451","451","451","445","445","445","251","251","251","493","493","493","434","434","434","446","446","446","250","250","250","444","444","444","436","436","436","259","259","259"
"99","294","294","294","206","206","206","242","242","242","198","198","198","202","202","202","244","244","244","450","450","450","444","444","444","251","251","251","493","493","493","434","434","434","446","446","446","250","250","250","444","444","444","436","436","436","259","259","259"
"100","297","297","297","206","206","206","241","241","241","198","198","198","202","202","202","244","244","244","450","450","450","442","442","442","251","251","251","493","493","493","434","434","434","445","445","445","250","250","250","443","443","443","436","436","436","259","259","259"
"101","300","300","300","206","206","206","241","241","241","197","197","197","200","200","200","244","244","244","450","450","450","442","442","442","251","251","251","493","493","493","433","433","433","445","445","445","250","250","250","440","440","440","435","435","435","259","259","259"
"102","303","303","303","206","206","206","240","240","240","197","197","197","200","200","200","244","244","244","450","450","450","440","440","440","251","251","251","493","493","493","433","433","433","445","445","445","250","250","250","440","440","440","435","435","435","259","259","259"
"103","306","306","306","206","206","206","239","239","239","197","197","197","198","198","198","244","244","244","450","450","450","439","439","439","251","251","251","493","493","493","432","432","432","445","445","445","250","250","250","439","439","439","435","435","435","259","259","259"
"104","309","309","309","206","206","206","239","239","239","197","197","197","198","198","198","244","244","244","450","450","450","439","439","439","251","251","251","493","493","493","432","432","432","445","445","445","250","250","250","439","439","439","434","434","434","259","259","259"
"105","312","312","312","206","206","206","239","239","239","197","197","197","198","198","198","244","244","244","450","450","450","438","438","438","251","251","251","493","493","493","432","432","432","445","445","445","250","250","250","439","439","439","433","433","433","259","259","259"
"106","315","315","315","205","205","205","239","239","239","197","197","197","198","198","198","244","244","244","449","449","449","438","438","438","251","251","251","493","493","493","432","432","432","445","445","445","250","250","250","439","439","439","433","433","433","259","259","259"
"107","318","318","318","205","205","205","239","239","239","197","197","197","197","197","197","244","244","244","447","447","447","438","438","438","251","251","251","493","493","493","431","431","431","445","445","445","250","250","250","439","439","439","432","432","432","259","259","259"
"108","321","321","321","205","205","205","238","238","238","197","197","197","197","197","197","243","243","243","447","447","447","438","438","438","251","251","251","493","493","493","431","431","431","444","444","444","250","250","250","439","439","439","432","432","432","259","259","259"
"109","324","324","324","205","205","205","238","238","238","197","197","197","196","196","196","243","243","243","447","447","447","438","438","438","251","251","251","493","493","493","431","431","431","444","444","444","250","250","250","439","439","439","431","431","431","259","259","259"
"110","327","327","327","205","205","205","238","238","238","196","196","196","196","196","196","243","243","243","446","446","446","438","438","438","251","251","251","493","493","493","431","431","431","444","444","444","250","250","250","439","439","439","430","430","430","259","259","259"
"111","330","330","330","205","205","205","238","238","238","196","196","196","196","196","196","243","243","243","444","444","444","437","437","437","251","251","251","493","493","493","431","431","431","443","443","443","250","250","250","439","439","439","429","429","429","259","259","259"
"112","333","333","333","205","205","205","238","238","238","196","196","196","196","196","196","243","243","243","443","443","443","437","437","437","251","251","251","493","493","493","431","431","431","443","443","443","250","250","250","439","439","439","429","429","429","259","259","259"
"113","336","336","336","204","204","204","237","237","237","196","196","196","196","196","196","243","243","243","443","443","443","436","436","436","251","251","251","493","493","493","431","431","431","442","442","442","250","250","250","438","438","438","429","429","429","259","259","259"
"114","339","339","339","204","204","204","237","237","237","196","196","196","196","196","196","243","243","243","442","442","442","435","435","435","251","251","251","493","493","493","430","430","430","442","442","442","250","250","250","438","438","438","429","429","429","259","259","259"
"115","342","342","342","204","204","204","237","237","237","196","196","196","195","195","195","242","242","242","442","442","442","434","434","434","251","251","251","493","493","493","428","428","428","442","442","442","250","250","250","437","437","437","428","428","428","259","259","259"
"116","345","345","345","204","204","204","237","237","237","196","196","196","195","195","195","242","242","242","442","442","442","433","433","433","251","251","251","493","493","493","427","427","427","442","442","442","250","250","250","436","436","436","427","427","427","259","259","259"
"117","348","348","348","204","204","204","237","237","237","195","195","195","195","195","195","242","242","242","438","438","438","432","432","432","251","251","251","493","493","493","427","427","427","440","440","440","250","250","250","436","436","436","426","426","426","259","259","259"
"118","351","351","351","204","204","204","237","237","237","195","195","195","195","195","195","242","242","242","438","438","438","432","432","432","251","251","251","493","493","493","427","427","427","440","440","440","250","250","250","436","436","436","426","426","426","259","259","259"
"119","354","354","354","204","204","204","237","237","237","195","195","195","195","195","195","242","242","242","436","436","436","432","432","432","251","251","251","493","493","493","427","427","427","439","439","439","250","250","250","436","436","436","426","426","426","259","259","259"
"120","357","357","357","204","204","204","236","236","236","194","194","194","195","195","195","242","242","242","436","436","436","431","431","431","251","251","251","493","493","493","427","427","427","439","439","439","250","250","250","436","436","436","426","426","426","259","259","259"
"121","360","360","360","204","204","204","236","236","236","193","193","193","195","195","195","241","241","241","436","436","436","431","431","431","251","251","251","493","493","493","426","426","426","439","439","439","250","250","250","436","436","436","425","425","425","259","259","259"
"122","363","363","363","204","204","204","236","236","236","193","193","193","195","195","195","241","241","241","436","436","436","430","430","430","251","251","251","493","493","493","426","426","426","439","439","439","250","250","250","436","436","436","424","424","424","259","259","259"
"123","366","366","366","203","203","203","236","236","236","193","193","193","194","194","194","240","240","240","434","434","434","430","430","430","251","251","251","493","493","493","426","426","426","438","438","438","250","250","250","434","434","434","424","424","424","259","259","259"
"124","369","369","369","203","203","203","235","235","235","193","193","193","194","194","194","239","239","239","434","434","434","429","429","429","251","251","251","493","493","493","425","425","425","438","438","438","250","250","250","434","434","434","423","423","423","259","259","259"
"125","372","372","372","203","203","203","235","235","235","192","192","192","191","191","191","239","239","239","432","432","432","429","429","429","251","251","251","493","493","493","425","425","425","438","438","438","250","250","250","434","434","434","423","423","423","259","259","259"
"126","375","375","375","202","202","202","235","235","235","192","192","192","191","191","191","239","239","239","431","431","431","428","428","428","251","251","251","493","493","493","423","423","423","437","437","437","250","250","250","433","433","433","423","423","423","259","259","259"
"127","378","378","378","202","202","202","234","234","234","192","192","192","191","191","191","239","239","239","431","431","431","427","427","427","251","251","251","493","493","493","423","423","423","436","436","436","250","250","250","433","433","433","423","423","423","259","259","259"
"128","381","381","381","202","202","202","234","234","234","192","192","192","191","191","191","239","239","239","431","431","431","425","425","425","251","251","251","493","493","493","423","423","423","436","436","436","250","250","250","433","433","433","422","422","422","259","259","259"
"129","384","384","384","201","201","201","234","234","234","192","192","192","191","191","191","239","239","239","431","431","431","425","425","425","251","251","251","493","493","493","423","423","423","436","436","436","250","250","250","433","433","433","421","421","421","259","259","259"
"130","387","387","387","201","201","201","234","234","234","192","192","192","191","191","191","239","239","239","430","430","430","424","424","424","251","251","251","493","493","493","422","422","422","435","435","435","250","250","250","433","433","433","421","421","421","259","259","259"
"131","390","390","390","201","201","201","234","234","234","192","192","192","191","191","191","238","238","238","430","430","430","423","423","423","251","251","251","493","493","493","422","422","422","435","435","435","250","250","250","433","433","433","421","421","421","259","259","259"
"132","393","393","393","201","201","201","234","234","234","192","192","192","191","191","191","238","238","238","430","430","430","423","423","423","251","251","251","493","493","493","422","422","422","434","434","434","250","250","250","433","433","433","420","420","420","259","259","259"
"133","396","396","396","201","201","201","233","233","233","191","191","191","191","191","191","238","238","238","430","430","430","423","423","423","251","251","251","493","493","493","421","421","421","434","434","434","250","250","250","432","432","432","418","418","418","259","259","259"
"134","399","399","399","199","199","199","233","233","233","191","191","191","191","191","191","238","238","238","428","428","428","423","423","423","251","251","251","493","493","493","419","419","419","433","433","433","250","250","250","432","432","432","416","416","416","259","259","259"
"135","402","402","402","198","198","198","233","233","233","191","191","191","191","191","191","237","237","237","428","428","428","422","422","422","251","251","251","493","493","493","419","419","419","431","431","431","250","250","250","432","432","432","415","415","415","259","259","259"
"136","405","405","405","198","198","198","233","233","233","191","191","191","191","191","191","237","237","237","428","428","428","422","422","422","251","251","251","493","493","493","418","418","418","430","430","430","250","250","250","432","432","432","415","415","415","259","259","259"
"137","408","408","408","197","197","197","232","232","232","191","191","191","191","191","191","237","237","237","427","427","427","419","419","419","251","251","251","493","493","493","418","418","418","430","430","430","250","250","250","432","432","432","414","414","414","259","259","259"
"138","411","411","411","197","197","197","232","232","232","191","191","191","191","191","191","237","237","237","427","427","427","418","418","418","251","251","251","493","493","493","417","417","417","430","430","430","250","250","250","432","432","432","414","414","414","259","259","259"
"139","414","414","414","197","197","197","232","232","232","191","191","191","191","191","191","237","237","237","427","427","427","418","418","418","251","251","251","493","493","493","417","417","417","430","430","430","250","250","250","432","432","432","414","414","414","259","259","259"
"140","417","417","417","197","197","197","230","230","230","191","191","191","191","191","191","237","237","237","427","427","427","418","418","418","251","251","251","493","493","493","417","417","417","430","430","430","250","250","250","432","432","432","413","413","413","259","259","259"
"141","420","420","420","197","197","197","230","230","230","190","190","190","191","191","191","237","237","237","424","424","424","417","417","417","251","251","251","493","493","493","417","417","417","429","429","429","250","250","250","432","432","432","412","412","412","259","259","259"
"142","423","423","423","197","197","197","230","230","230","190","190","190","190","190","190","237","237","237","424","424","424","417","417","417","251","251","251","493","493","493","417","417","417","429","429","429","250","250","250","431","431","431","411","411","411","259","259","259"
"143","426","426","426","197","197","197","230","230","230","190","190","190","190","190","190","237","237","237","424","424","424","416","416","416","251","251","251","493","493","493","417","417","417","428","428","428","250","250","250","431","431","431","410","410","410","259","259","259"
"144","429","429","429","197","197","197","229","229","229","189","189","189","189","189","189","237","237","237","424","424","424","416","416","416","251","251","251","493","493","493","417","417","417","428","428","428","250","250","250","431","431","431","410","410","410","259","259","259"
"145","432","432","432","197","197","197","229","229","229","189","189","189","189","189","189","236","236","236","424","424","424","415","415","415","251","251","251","493","493","493","417","417","417","428","428","428","250","250","250","431","431","431","409","409","409","259","259","259"
"146","435","435","435","197","197","197","229","229","229","188","188","188","188","188","188","236","236","236","424","424","424","415","415","415","251","251","251","493","493","493","417","417","417","428","428","428","250","250","250","430","430","430","409","409","409","259","259","259"
"147","438","438","438","197","197","197","229","229","229","187","187","187","188","188","188","236","236","236","424","424","424","414","414","414","251","251","251","493","493","493","417","417","417","428","428","428","250","250","250","429","429","429","408","408","408","259","259","259"
"148","441","441","441","197","197","197","229","229","229","187","187","187","188","188","188","236","236","236","424","424","424","414","414","414","251","251","251","493","493","493","417","417","417","427","427","427","250","250","250","428","428","428","407","407","407","259","259","259"
"149","444","444","444","197","197","197","229","229","229","187","187","187","188","188","188","236","236","236","424","424","424","414","414","414","251","251","251","493","493","493","417","417","417","426","426","426","250","250","250","427","427","427","405","405","405","259","259","259"
"150","447","447","447","197","197","197","228","228","228","187","187","187","188","188","188","236","236","236","423","423","423","413","413","413","251","251","251","493","493","493","417","417","417","426","426","426","250","250","250","427","427","427","405","405","405","259","259","259"
"151","450","450","450","197","197","197","228","228","228","187","187","187","187","187","187","236","236","236","423","423","423","413","413","413","251","251","251","493","493","493","417","417","417","426","426","426","250","250","250","427","427","427","405","405","405","259","259","259"
"152","453","453","453","197","197","197","227","227","227","184","184","184","187","187","187","236","236","236","422","422","422","413","413","413","251","251","251","493","493","493","417","417","417","425","425","425","250","250","250","425","425","425","405","405","405","259","259","259"
"153","456","456","456","196","196","196","227","227","227","184","184","184","187","187","187","236","236","236","422","422","422","413","413","413","251","251","251","493","493","493","417","417","417","425","425","425","250","250","250","425","425","425","405","405","405","259","259","259"
"154","459","459","459","196","196","196","226","226","226","184","184","184","187","187","187","235","235","235","421","421","421","412","412","412","251","251","251","493","493","493","417","417","417","423","423","423","250","250","250","424","424","424","405","405","405","259","259","259"
"155","462","462","462","196","196","196","226","226","226","184","184","184","187","187","187","235","235","235","420","420","420","410","410","410","251","251","251","493","493","493","417","417","417","423","423","423","250","250","250","423","423","423","404","404","404","259","259","259"
"156","465","465","465","195","195","195","225","225","225","184","184","184","187","187","187","235","235","235","419","419","419","409","409","409","251","251","251","493","493","493","417","417","417","421","421","421","250","250","250","422","422","422","403","403","403","259","259","259"
"157","468","468","468","194","194","194","225","225","225","184","184","184","187","187","187","235","235","235","419","419","419","408","408","408","251","251","251","493","493","493","417","417","417","420","420","420","250","250","250","422","422","422","403","403","403","259","259","259"
"158","471","471","471","194","194","194","225","225","225","182","182","182","187","187","187","235","235","235","417","417","417","408","408","408","251","251","251","493","493","493","417","417","417","420","420","420","250","250","250","422","422","422","403","403","403","259","259","259"
"159","474","474","474","194","194","194","225","225","225","182","182","182","187","187","187","235","235","235","417","417","417","408","408","408","251","251","251","493","493","493","417","417","417","418","418","418","250","250","250","421","421","421","403","403","403","259","259","259"
"160","477","477","477","194","194","194","225","225","225","182","182","182","187","187","187","235","235","235","416","416","416","407","407","407","251","251","251","493","493","493","416","416","416","418","418","418","250","250","250","420","420","420","402","402","402","259","259","259"
"161","480","480","480","194","194","194","225","225","225","182","182","182","187","187","187","235","235","235","416","416","416","407","407","407","251","251","251","493","493","493","416","416","416","415","415","415","250","250","250","419","419","419","402","402","402","259","259","259"
"162","483","483","483","194","194","194","224","224","224","181","181","181","186","186","186","235","235","235","416","416","416","407","407","407","251","251","251","493","493","493","414","414","414","415","415","415","250","250","250","418","418","418","399","399","399","259","259","259"
"163","486","486","486","194","194","194","224","224","224","181","181","181","186","186","186","235","235","235","416","416","416","406","406","406","251","251","251","493","493","493","414","414","414","415","415","415","250","250","250","417","417","417","399","399","399","259","259","259"
"164","489","489","489","192","192","192","223","223","223","181","181","181","186","186","186","234","234","234","416","416","416","406","406","406","251","251","251","493","493","493","413","413","413","415","415","415","250","250","250","417","417","417","399","399","399","259","259","259"
"165","492","492","492","192","192","192","223","223","223","181","181","181","186","186","186","234","234","234","415","415","415","403","403","403","251","251","251","493","493","493","413","413","413","415","415","415","250","250","250","417","417","417","399","399","399","259","259","259"
