"epoch","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.21.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer3.22.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.downsample.0","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.downsample.0__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.0.downsample.0__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.1.conv3__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv1","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv1__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv1__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv2","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv2__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv2__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv3","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv3__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - h_dict.layer4.2.conv3__MAX"
"26","75","75","75","219","219","219","254","254","254","216","216","216","215","215","215","254","254","254","480","480","480","476","476","476","251","251","251","493","493","493","476","476","476","477","477","477","250","250","250","476","476","476","469","469","469","259","259","259"
"27","78","78","78","219","219","219","254","254","254","216","216","216","215","215","215","254","254","254","480","480","480","476","476","476","251","251","251","493","493","493","476","476","476","477","477","477","250","250","250","475","475","475","468","468","468","259","259","259"
"28","81","81","81","219","219","219","254","254","254","216","216","216","214","214","214","254","254","254","478","478","478","476","476","476","251","251","251","493","493","493","476","476","476","477","477","477","250","250","250","475","475","475","468","468","468","259","259","259"
"29","84","84","84","219","219","219","254","254","254","216","216","216","214","214","214","254","254","254","478","478","478","475","475","475","251","251","251","493","493","493","476","476","476","477","477","477","250","250","250","475","475","475","468","468","468","259","259","259"
"30","87","87","87","219","219","219","254","254","254","216","216","216","214","214","214","254","254","254","478","478","478","474","474","474","251","251","251","493","493","493","476","476","476","477","477","477","250","250","250","475","475","475","466","466","466","259","259","259"
"31","90","90","90","219","219","219","254","254","254","214","214","214","213","213","213","254","254","254","478","478","478","474","474","474","251","251","251","493","493","493","476","476","476","475","475","475","250","250","250","475","475","475","464","464","464","259","259","259"
"32","93","93","93","219","219","219","253","253","253","214","214","214","213","213","213","254","254","254","477","477","477","474","474","474","251","251","251","493","493","493","476","476","476","475","475","475","250","250","250","475","475","475","464","464","464","259","259","259"
"33","96","96","96","219","219","219","253","253","253","214","214","214","213","213","213","254","254","254","477","477","477","474","474","474","251","251","251","493","493","493","476","476","476","475","475","475","250","250","250","474","474","474","464","464","464","259","259","259"
"34","99","99","99","219","219","219","253","253","253","214","214","214","213","213","213","254","254","254","477","477","477","473","473","473","251","251","251","493","493","493","476","476","476","474","474","474","250","250","250","474","474","474","464","464","464","259","259","259"
"35","102","102","102","219","219","219","253","253","253","214","214","214","212","212","212","254","254","254","476","476","476","473","473","473","251","251","251","493","493","493","476","476","476","473","473","473","250","250","250","474","474","474","464","464","464","259","259","259"
"36","105","105","105","219","219","219","253","253","253","213","213","213","212","212","212","254","254","254","476","476","476","473","473","473","251","251","251","493","493","493","474","474","474","472","472","472","250","250","250","474","474","474","462","462","462","259","259","259"
"37","108","108","108","219","219","219","253","253","253","213","213","213","212","212","212","254","254","254","476","476","476","473","473","473","251","251","251","493","493","493","474","474","474","472","472","472","250","250","250","474","474","474","461","461","461","259","259","259"
"38","111","111","111","219","219","219","253","253","253","213","213","213","212","212","212","254","254","254","476","476","476","473","473","473","251","251","251","493","493","493","474","474","474","472","472","472","250","250","250","474","474","474","459","459","459","259","259","259"
"39","114","114","114","219","219","219","253","253","253","213","213","213","212","212","212","254","254","254","475","475","475","473","473","473","251","251","251","493","493","493","473","473","473","472","472","472","250","250","250","474","474","474","459","459","459","259","259","259"
"40","117","117","117","219","219","219","253","253","253","213","213","213","212","212","212","254","254","254","475","475","475","473","473","473","251","251","251","493","493","493","471","471","471","472","472","472","250","250","250","474","474","474","458","458","458","259","259","259"
"41","120","120","120","219","219","219","253","253","253","212","212","212","212","212","212","254","254","254","473","473","473","473","473","473","251","251","251","493","493","493","471","471","471","471","471","471","250","250","250","474","474","474","458","458","458","259","259","259"
"42","123","123","123","219","219","219","252","252","252","212","212","212","212","212","212","254","254","254","473","473","473","473","473","473","251","251","251","493","493","493","470","470","470","471","471","471","250","250","250","474","474","474","457","457","457","259","259","259"
"43","126","126","126","219","219","219","252","252","252","212","212","212","212","212","212","254","254","254","472","472","472","472","472","472","251","251","251","493","493","493","469","469","469","471","471","471","250","250","250","473","473","473","457","457","457","259","259","259"
"44","129","129","129","219","219","219","252","252","252","212","212","212","211","211","211","254","254","254","470","470","470","472","472","472","251","251","251","493","493","493","469","469","469","471","471","471","250","250","250","473","473","473","457","457","457","259","259","259"
"45","132","132","132","219","219","219","252","252","252","212","212","212","211","211","211","254","254","254","470","470","470","472","472","472","251","251","251","493","493","493","469","469","469","470","470","470","250","250","250","473","473","473","457","457","457","259","259","259"
"46","135","135","135","219","219","219","252","252","252","212","212","212","211","211","211","254","254","254","470","470","470","472","472","472","251","251","251","493","493","493","469","469","469","470","470","470","250","250","250","473","473","473","456","456","456","259","259","259"
"47","138","138","138","219","219","219","252","252","252","212","212","212","210","210","210","254","254","254","470","470","470","471","471","471","251","251","251","493","493","493","468","468","468","467","467","467","250","250","250","472","472","472","456","456","456","259","259","259"
"48","141","141","141","219","219","219","252","252","252","212","212","212","210","210","210","254","254","254","470","470","470","471","471","471","251","251","251","493","493","493","468","468","468","466","466","466","250","250","250","472","472","472","456","456","456","259","259","259"
"49","144","144","144","219","219","219","252","252","252","212","212","212","210","210","210","254","254","254","470","470","470","471","471","471","251","251","251","493","493","493","466","466","466","465","465","465","250","250","250","470","470","470","456","456","456","259","259","259"
"50","147","147","147","219","219","219","252","252","252","212","212","212","210","210","210","254","254","254","469","469","469","471","471","471","251","251","251","493","493","493","466","466","466","464","464","464","250","250","250","469","469","469","456","456","456","259","259","259"
"51","150","150","150","219","219","219","252","252","252","212","212","212","210","210","210","254","254","254","469","469","469","471","471","471","251","251","251","493","493","493","464","464","464","464","464","464","250","250","250","469","469","469","455","455","455","259","259","259"
