"epoch","MLconv[R=100]-ResNet101-CIFAR10-25 - _step","MLconv[R=100]-ResNet101-CIFAR10-25 - _step__MIN","MLconv[R=100]-ResNet101-CIFAR10-25 - _step__MAX","MLconv[R=100]-ResNet101-CIFAR10-25 - val_accuracy","MLconv[R=100]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MLconv[R=100]-ResNet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=42]-ResNet101-CIFAR10-25 - _step","MTL[T=42]-ResNet101-CIFAR10-25 - _step__MIN","MTL[T=42]-ResNet101-CIFAR10-25 - _step__MAX","MTL[T=42]-ResNet101-CIFAR10-25 - val_accuracy","MTL[T=42]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=42]-ResNet101-CIFAR10-25 - val_accuracy__MAX","LR[K=75]-ResNet101-CIFAR10-25 - _step","LR[K=75]-ResNet101-CIFAR10-25 - _step__MIN","LR[K=75]-ResNet101-CIFAR10-25 - _step__MAX","LR[K=75]-ResNet101-CIFAR10-25 - val_accuracy","LR[K=75]-ResNet101-CIFAR10-25 - val_accuracy__MIN","LR[K=75]-ResNet101-CIFAR10-25 - val_accuracy__MAX","LR[K=300]-ResNet101-CIFAR10-25 - _step","LR[K=300]-ResNet101-CIFAR10-25 - _step__MIN","LR[K=300]-ResNet101-CIFAR10-25 - _step__MAX","LR[K=300]-ResNet101-CIFAR10-25 - val_accuracy","LR[K=300]-ResNet101-CIFAR10-25 - val_accuracy__MIN","LR[K=300]-ResNet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=15]-ResNet101-CIFAR10-25 - _step","MTL[T=15]-ResNet101-CIFAR10-25 - _step__MIN","MTL[T=15]-ResNet101-CIFAR10-25 - _step__MAX","MTL[T=15]-ResNet101-CIFAR10-25 - val_accuracy","MTL[T=15]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=15]-ResNet101-CIFAR10-25 - val_accuracy__MAX","MLconv[R=400]-ResNet101-CIFAR10-25 - _step","MLconv[R=400]-ResNet101-CIFAR10-25 - _step__MIN","MLconv[R=400]-ResNet101-CIFAR10-25 - _step__MAX","MLconv[R=400]-ResNet101-CIFAR10-25 - val_accuracy","MLconv[R=400]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MLconv[R=400]-ResNet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=3]-ResNet101-CIFAR10-25 - _step","MTL[T=3]-ResNet101-CIFAR10-25 - _step__MIN","MTL[T=3]-ResNet101-CIFAR10-25 - _step__MAX","MTL[T=3]-ResNet101-CIFAR10-25 - val_accuracy","MTL[T=3]-ResNet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=3]-ResNet101-CIFAR10-25 - val_accuracy__MAX","ResNet101-CIFAR10-25 - _step","ResNet101-CIFAR10-25 - _step__MIN","ResNet101-CIFAR10-25 - _step__MAX","ResNet101-CIFAR10-25 - val_accuracy","ResNet101-CIFAR10-25 - val_accuracy__MIN","ResNet101-CIFAR10-25 - val_accuracy__MAX"
"45","90","90","90","67.19","67.19","67.19","90","90","90","74.71","74.71","74.71","90","90","90","56.3","56.3","56.3","90","90","90","63.53","63.53","63.53","90","90","90","74.64","74.64","74.64","90","90","90","65.23","65.23","65.23","90","90","90","70.74","70.74","70.74","90","90","90","70.93","70.93","70.93"
"46","92","92","92","71.07","71.07","71.07","92","92","92","74.02","74.02","74.02","92","92","92","59.56","59.56","59.56","92","92","92","43.4","43.4","43.4","92","92","92","72.46","72.46","72.46","92","92","92","65.57","65.57","65.57","92","92","92","71.88","71.88","71.88","92","92","92","70.71","70.71","70.71"
"47","94","94","94","65.25","65.25","65.25","94","94","94","75.84","75.84","75.84","94","94","94","59.19","59.19","59.19","94","94","94","54.73","54.73","54.73","94","94","94","72.81","72.81","72.81","94","94","94","63.42","63.42","63.42","94","94","94","71.7","71.7","71.7","94","94","94","72.95","72.95","72.95"
"48","96","96","96","67.14","67.14","67.14","96","96","96","74.57","74.57","74.57","96","96","96","63.34","63.34","63.34","96","96","96","57.8","57.8","57.8","96","96","96","74.96","74.96","74.96","96","96","96","66.71","66.71","66.71","96","96","96","73.02","73.02","73.02","96","96","96","72.81","72.81","72.81"
"49","98","98","98","64.97","64.97","64.97","98","98","98","74.82","74.82","74.82","98","98","98","59.14","59.14","59.14","98","98","98","56.83","56.83","56.83","98","98","98","75.9","75.9","75.9","98","98","98","66","66","66","98","98","98","73.85","73.85","73.85","98","98","98","72.93","72.93","72.93"
"50","100","100","100","66.77","66.77","66.77","100","100","100","74.61","74.61","74.61","100","100","100","52.34","52.34","52.34","100","100","100","61.84","61.84","61.84","100","100","100","76.44","76.44","76.44","100","100","100","66.26","66.26","66.26","100","100","100","72.7","72.7","72.7","100","100","100","73.85","73.85","73.85"
"51","102","102","102","66.71","66.71","66.71","102","102","102","75.75","75.75","75.75","102","102","102","59.39","59.39","59.39","102","102","102","59.89","59.89","59.89","102","102","102","74.42","74.42","74.42","102","102","102","68.62","68.62","68.62","102","102","102","72.03","72.03","72.03","102","102","102","70.71","70.71","70.71"
"52","104","104","104","69.96","69.96","69.96","104","104","104","75.46","75.46","75.46","104","104","104","63.5","63.5","63.5","104","104","104","63.59","63.59","63.59","104","104","104","75.08","75.08","75.08","104","104","104","67.59","67.59","67.59","104","104","104","74.49","74.49","74.49","104","104","104","74.8","74.8","74.8"
"53","106","106","106","56.12","56.12","56.12","106","106","106","71.22","71.22","71.22","106","106","106","54.29","54.29","54.29","106","106","106","43.37","43.37","43.37","106","106","106","73.29","73.29","73.29","106","106","106","67.49","67.49","67.49","106","106","106","74.91","74.91","74.91","106","106","106","71.85","71.85","71.85"
"54","108","108","108","55.87","55.87","55.87","108","108","108","76.04","76.04","76.04","108","108","108","62.68","62.68","62.68","108","108","108","60.9","60.9","60.9","108","108","108","74.64","74.64","74.64","108","108","108","67.85","67.85","67.85","108","108","108","73.94","73.94","73.94","108","108","108","72.53","72.53","72.53"
"55","110","110","110","69.33","69.33","69.33","110","110","110","74.52","74.52","74.52","110","110","110","65.79","65.79","65.79","110","110","110","61.42","61.42","61.42","110","110","110","75.22","75.22","75.22","110","110","110","68.02","68.02","68.02","110","110","110","73.42","73.42","73.42","110","110","110","72.49","72.49","72.49"
"56","112","112","112","70.15","70.15","70.15","112","112","112","75.58","75.58","75.58","112","112","112","62.86","62.86","62.86","112","112","112","56.08","56.08","56.08","112","112","112","75.26","75.26","75.26","112","112","112","70.86","70.86","70.86","112","112","112","73.33","73.33","73.33","112","112","112","74.05","74.05","74.05"
"57","114","114","114","71.03","71.03","71.03","114","114","114","71.26","71.26","71.26","114","114","114","65.47","65.47","65.47","114","114","114","61.35","61.35","61.35","114","114","114","74.78","74.78","74.78","114","114","114","66.04","66.04","66.04","114","114","114","75.25","75.25","75.25","114","114","114","71.9","71.9","71.9"
"58","116","116","116","72.41","72.41","72.41","116","116","116","74.84","74.84","74.84","116","116","116","63.8","63.8","63.8","116","116","116","60.7","60.7","60.7","116","116","116","76.92","76.92","76.92","116","116","116","67.85","67.85","67.85","116","116","116","74.39","74.39","74.39","116","116","116","73.81","73.81","73.81"
"59","118","118","118","69.38","69.38","69.38","118","118","118","76.68","76.68","76.68","118","118","118","58.95","58.95","58.95","118","118","118","31.03","31.03","31.03","118","118","118","77.97","77.97","77.97","118","118","118","69.31","69.31","69.31","118","118","118","75.13","75.13","75.13","118","118","118","75.3","75.3","75.3"
"60","120","120","120","69.86","69.86","69.86","120","120","120","75.46","75.46","75.46","120","120","120","66.8","66.8","66.8","120","120","120","67.37","67.37","67.37","120","120","120","75.92","75.92","75.92","120","120","120","70.17","70.17","70.17","120","120","120","75.29","75.29","75.29","120","120","120","72.98","72.98","72.98"
"61","122","122","122","66.76","66.76","66.76","122","122","122","76.21","76.21","76.21","122","122","122","65.43","65.43","65.43","122","122","122","61.56","61.56","61.56","122","122","122","74.49","74.49","74.49","122","122","122","70","70","70","122","122","122","75.36","75.36","75.36","122","122","122","74.34","74.34","74.34"
"62","124","124","124","69.49","69.49","69.49","124","124","124","74.73","74.73","74.73","124","124","124","66.59","66.59","66.59","124","124","124","60.08","60.08","60.08","124","124","124","75.17","75.17","75.17","124","124","124","68.49","68.49","68.49","124","124","124","74.56","74.56","74.56","124","124","124","74.51","74.51","74.51"
"63","126","126","126","64.56","64.56","64.56","126","126","126","72.35","72.35","72.35","126","126","126","68.52","68.52","68.52","126","126","126","59.09","59.09","59.09","126","126","126","74.49","74.49","74.49","126","126","126","70.09","70.09","70.09","126","126","126","75.36","75.36","75.36","126","126","126","71.16","71.16","71.16"
"64","128","128","128","69.07","69.07","69.07","128","128","128","77.19","77.19","77.19","128","128","128","62.33","62.33","62.33","128","128","128","65.91","65.91","65.91","128","128","128","76.63","76.63","76.63","128","128","128","62.6","62.6","62.6","128","128","128","78.45","78.45","78.45","128","128","128","73.98","73.98","73.98"
"65","130","130","130","69.62","69.62","69.62","130","130","130","77.86","77.86","77.86","130","130","130","67.29","67.29","67.29","130","130","130","67.09","67.09","67.09","130","130","130","78.53","78.53","78.53","130","130","130","70.27","70.27","70.27","130","130","130","76.27","76.27","76.27","130","130","130","74.45","74.45","74.45"
"66","132","132","132","71.91","71.91","71.91","132","132","132","77.91","77.91","77.91","132","132","132","63.24","63.24","63.24","132","132","132","61.91","61.91","61.91","132","132","132","76.72","76.72","76.72","132","132","132","67.8","67.8","67.8","132","132","132","73.46","73.46","73.46","132","132","132","75.2","75.2","75.2"
"67","134","134","134","72.83","72.83","72.83","134","134","134","77.59","77.59","77.59","134","134","134","59.31","59.31","59.31","134","134","134","68.94","68.94","68.94","134","134","134","77.65","77.65","77.65","134","134","134","68.83","68.83","68.83","134","134","134","75.66","75.66","75.66","134","134","134","75.85","75.85","75.85"
"68","136","136","136","67.41","67.41","67.41","136","136","136","76.02","76.02","76.02","136","136","136","68.17","68.17","68.17","136","136","136","68.14","68.14","68.14","136","136","136","77.51","77.51","77.51","136","136","136","71.79","71.79","71.79","136","136","136","76.48","76.48","76.48","136","136","136","75.56","75.56","75.56"
"69","138","138","138","73.21","73.21","73.21","138","138","138","76.06","76.06","76.06","138","138","138","68.7","68.7","68.7","138","138","138","68.27","68.27","68.27","138","138","138","76.44","76.44","76.44","138","138","138","67.83","67.83","67.83","138","138","138","75.5","75.5","75.5","138","138","138","74.99","74.99","74.99"
"70","140","140","140","73.17","73.17","73.17","140","140","140","76.73","76.73","76.73","140","140","140","68.83","68.83","68.83","140","140","140","54.06","54.06","54.06","140","140","140","75.63","75.63","75.63","140","140","140","41.56","41.56","41.56","140","140","140","76","76","76","140","140","140","73.82","73.82","73.82"
"71","142","142","142","72.66","72.66","72.66","142","142","142","76.26","76.26","76.26","142","142","142","62.3","62.3","62.3","142","142","142","58.14","58.14","58.14","142","142","142","75.88","75.88","75.88","142","142","142","64.98","64.98","64.98","142","142","142","64.02","64.02","64.02","142","142","142","77.05","77.05","77.05"
"72","144","144","144","70.39","70.39","70.39","144","144","144","76.53","76.53","76.53","144","144","144","66.99","66.99","66.99","144","144","144","57","57","57","144","144","144","78.35","78.35","78.35","144","144","144","70.47","70.47","70.47","144","144","144","77.45","77.45","77.45","144","144","144","76.61","76.61","76.61"
"73","146","146","146","67.83","67.83","67.83","146","146","146","78.99","78.99","78.99","146","146","146","70.95","70.95","70.95","146","146","146","60.99","60.99","60.99","146","146","146","75.86","75.86","75.86","146","146","146","69.9","69.9","69.9","146","146","146","77.44","77.44","77.44","146","146","146","75.93","75.93","75.93"
"74","148","148","148","73.98","73.98","73.98","148","148","148","75.33","75.33","75.33","148","148","148","69.55","69.55","69.55","148","148","148","61.5","61.5","61.5","148","148","148","76.91","76.91","76.91","148","148","148","72.93","72.93","72.93","148","148","148","75.71","75.71","75.71","148","148","148","75.12","75.12","75.12"
"75","150","150","150","72.81","72.81","72.81","150","150","150","76.15","76.15","76.15","150","150","150","69.19","69.19","69.19","150","150","150","68.69","68.69","68.69","150","150","150","78.28","78.28","78.28","150","150","150","73.66","73.66","73.66","150","150","150","76.48","76.48","76.48","150","150","150","75.78","75.78","75.78"
"76","152","152","152","70.7","70.7","70.7","152","152","152","77.79","77.79","77.79","152","152","152","63.01","63.01","63.01","152","152","152","65.03","65.03","65.03","152","152","152","76.79","76.79","76.79","152","152","152","67.13","67.13","67.13","152","152","152","76.41","76.41","76.41","152","152","152","74.62","74.62","74.62"
"77","154","154","154","67.08","67.08","67.08","154","154","154","75.41","75.41","75.41","154","154","154","59.83","59.83","59.83","154","154","154","65.37","65.37","65.37","154","154","154","74.69","74.69","74.69","154","154","154","69.43","69.43","69.43","154","154","154","75.95","75.95","75.95","154","154","154","77.57","77.57","77.57"
"78","156","156","156","72.57","72.57","72.57","156","156","156","77.34","77.34","77.34","156","156","156","68.94","68.94","68.94","156","156","156","64.71","64.71","64.71","156","156","156","75.22","75.22","75.22","156","156","156","65.53","65.53","65.53","156","156","156","75.52","75.52","75.52","156","156","156","76.11","76.11","76.11"
"79","158","158","158","74.65","74.65","74.65","158","158","158","76.27","76.27","76.27","158","158","158","70.72","70.72","70.72","158","158","158","59.73","59.73","59.73","158","158","158","78.57","78.57","78.57","158","158","158","69.67","69.67","69.67","158","158","158","76.45","76.45","76.45","158","158","158","71.29","71.29","71.29"
"80","160","160","160","67.67","67.67","67.67","160","160","160","76.82","76.82","76.82","160","160","160","68.375","68.375","68.375","160","160","160","64.52","64.52","64.52","160","160","160","77.82","77.82","77.82","160","160","160","74.36","74.36","74.36","160","160","160","76.93","76.93","76.93","160","160","160","76.25","76.25","76.25"
"81","162","162","162","73.74","73.74","73.74","162","162","162","77.29","77.29","77.29","162","162","162","70.68","70.68","70.68","162","162","162","61.06","61.06","61.06","162","162","162","77.43","77.43","77.43","162","162","162","72.35","72.35","72.35","162","162","162","74.86","74.86","74.86","162","162","162","76.51","76.51","76.51"
"82","164","164","164","73.19","73.19","73.19","164","164","164","76.82","76.82","76.82","164","164","164","62.87","62.87","62.87","164","164","164","56.25","56.25","56.25","164","164","164","76.48","76.48","76.48","164","164","164","70.4","70.4","70.4","164","164","164","76.18","76.18","76.18","164","164","164","77.36","77.36","77.36"
"83","166","166","166","74.62","74.62","74.62","166","166","166","78.87","78.87","78.87","166","166","166","71.71","71.71","71.71","166","166","166","61.3","61.3","61.3","166","166","166","77.05","77.05","77.05","166","166","166","73.93","73.93","73.93","166","166","166","77.73","77.73","77.73","166","166","166","77.53","77.53","77.53"
"84","168","168","168","60.86","60.86","60.86","168","168","168","78.14","78.14","78.14","168","168","168","65.7","65.7","65.7","168","168","168","67.37","67.37","67.37","168","168","168","78.58","78.58","78.58","168","168","168","71.47","71.47","71.47","168","168","168","76.01","76.01","76.01","168","168","168","75.92","75.92","75.92"
"85","170","170","170","70.75","70.75","70.75","170","170","170","70.1","70.1","70.1","170","170","170","72.44","72.44","72.44","170","170","170","48.86","48.86","48.86","170","170","170","70.27","70.27","70.27","170","170","170","72.25","72.25","72.25","170","170","170","76.7","76.7","76.7","170","170","170","76.08","76.08","76.08"
"86","172","172","172","70.64","70.64","70.64","172","172","172","78.53","78.53","78.53","172","172","172","73.26","73.26","73.26","172","172","172","67.57","67.57","67.57","172","172","172","78","78","78","172","172","172","74.01","74.01","74.01","172","172","172","75.1","75.1","75.1","172","172","172","76.62","76.62","76.62"
"87","174","174","174","74.16","74.16","74.16","174","174","174","76.73","76.73","76.73","174","174","174","72.16","72.16","72.16","174","174","174","52.9","52.9","52.9","174","174","174","78.63","78.63","78.63","174","174","174","74.02","74.02","74.02","174","174","174","75.42","75.42","75.42","174","174","174","75.54","75.54","75.54"
"88","176","176","176","73.75","73.75","73.75","176","176","176","78.26","78.26","78.26","176","176","176","73.09","73.09","73.09","176","176","176","69.84","69.84","69.84","176","176","176","14.44","14.44","14.44","176","176","176","75.39","75.39","75.39","176","176","176","76.97","76.97","76.97","176","176","176","75.32","75.32","75.32"
"89","178","178","178","67.75","67.75","67.75","178","178","178","77.9","77.9","77.9","178","178","178","67.05","67.05","67.05","178","178","178","62.22","62.22","62.22","178","178","178","78.5","78.5","78.5","178","178","178","74.84","74.84","74.84","178","178","178","73.49","73.49","73.49","178","178","178","74.72","74.72","74.72"
"90","180","180","180","74.93","74.93","74.93","180","180","180","77.64","77.64","77.64","180","180","180","72.39","72.39","72.39","180","180","180","63.53","63.53","63.53","180","180","180","78.1","78.1","78.1","180","180","180","70.72","70.72","70.72","180","180","180","77.87","77.87","77.87","180","180","180","75.26","75.26","75.26"
"91","182","182","182","76.95","76.95","76.95","182","182","182","78.69","78.69","78.69","182","182","182","72.65","72.65","72.65","182","182","182","55.39","55.39","55.39","182","182","182","78.21","78.21","78.21","182","182","182","73.84","73.84","73.84","182","182","182","75.12","75.12","75.12","182","182","182","76.11","76.11","76.11"
"92","184","184","184","74","74","74","184","184","184","77.74","77.74","77.74","184","184","184","73.19","73.19","73.19","184","184","184","62.97","62.97","62.97","184","184","184","77.29","77.29","77.29","184","184","184","67.31","67.31","67.31","184","184","184","76.64","76.64","76.64","184","184","184","76.74","76.74","76.74"
"93","186","186","186","71.89","71.89","71.89","186","186","186","78.49","78.49","78.49","186","186","186","74.31","74.31","74.31","186","186","186","71.51","71.51","71.51","186","186","186","76.36","76.36","76.36","186","186","186","74.45","74.45","74.45","186","186","186","75.43","75.43","75.43","186","186","186","75.22","75.22","75.22"
"94","188","188","188","76.62","76.62","76.62","188","188","188","76.75","76.75","76.75","188","188","188","72.78","72.78","72.78","188","188","188","70.04","70.04","70.04","188","188","188","78.13","78.13","78.13","188","188","188","75.82","75.82","75.82","188","188","188","75.74","75.74","75.74","188","188","188","77.97","77.97","77.97"
"95","190","190","190","74.44","74.44","74.44","190","190","190","76.56","76.56","76.56","190","190","190","58.35","58.35","58.35","190","190","190","70.13","70.13","70.13","190","190","190","78.93","78.93","78.93","190","190","190","75.78","75.78","75.78","190","190","190","77.14","77.14","77.14","190","190","190","78.4","78.4","78.4"
"96","192","192","192","60.28","60.28","60.28","192","192","192","77.92","77.92","77.92","192","192","192","71.64","71.64","71.64","192","192","192","72.17","72.17","72.17","192","192","192","78.36","78.36","78.36","192","192","192","76.02","76.02","76.02","192","192","192","76.59","76.59","76.59","192","192","192","77.38","77.38","77.38"
"97","194","194","194","75.62","75.62","75.62","194","194","194","76.19","76.19","76.19","194","194","194","72.98","72.98","72.98","194","194","194","69.01","69.01","69.01","194","194","194","78.04","78.04","78.04","194","194","194","72.7","72.7","72.7","194","194","194","76.77","76.77","76.77","194","194","194","75.73","75.73","75.73"
"98","196","196","196","74.86","74.86","74.86","196","196","196","76.61","76.61","76.61","196","196","196","70.79","70.79","70.79","196","196","196","60.47","60.47","60.47","196","196","196","77.23","77.23","77.23","196","196","196","65.94","65.94","65.94","196","196","196","78.83","78.83","78.83","196","196","196","78.07","78.07","78.07"
"99","198","198","198","77.21","77.21","77.21","198","198","198","78.79","78.79","78.79","198","198","198","70.82","70.82","70.82","198","198","198","44.69","44.69","44.69","198","198","198","77.48","77.48","77.48","198","198","198","72.03","72.03","72.03","198","198","198","77.17","77.17","77.17","198","198","198","77.27","77.27","77.27"
"100","200","200","200","76.88","76.88","76.88","200","200","200","79.11","79.11","79.11","200","200","200","69.95","69.95","69.95","200","200","200","71.51","71.51","71.51","200","200","200","75.77","75.77","75.77","200","200","200","75.46","75.46","75.46","200","200","200","77.6","77.6","77.6","200","200","200","78.1","78.1","78.1"
