"epoch","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX"
"157","470","470","470","29757560","29757560","29757560","470","470","470","34118816","34118816","34118816","470","470","470","39792210","39792210","39792210"
"158","473","473","473","29743736","29743736","29743736","473","473","473","34110112","34110112","34110112","473","473","473","39789650","39789650","39789650"
"159","476","476","476","29732984","29732984","29732984","476","476","476","34103968","34103968","34103968","476","476","476","39787090","39787090","39787090"
"160","479","479","479","29710456","29710456","29710456","479","479","479","34094240","34094240","34094240","479","479","479","39784530","39784530","39784530"
"161","482","482","482","29699960","29699960","29699960","482","482","482","34092192","34092192","34092192","482","482","482","39781970","39781970","39781970"
"162","485","485","485","29689464","29689464","29689464","485","485","485","34082464","34082464","34082464","485","485","485","39781970","39781970","39781970"
"163","488","488","488","29673592","29673592","29673592","488","488","488","34072736","34072736","34072736","488","488","488","39781970","39781970","39781970"
"164","491","491","491","29657720","29657720","29657720","491","491","491","34062496","34062496","34062496","491","491","491","39779410","39779410","39779410"
"165","494","494","494","29641592","29641592","29641592","494","494","494","34057120","34057120","34057120","494","494","494","39778386","39778386","39778386"
"166","497","497","497","29630584","29630584","29630584","497","497","497","34049184","34049184","34049184","497","497","497","39778386","39778386","39778386"
"167","500","500","500","29613944","29613944","29613944","500","500","500","34042016","34042016","34042016","500","500","500","39778386","39778386","39778386"
"168","503","503","503","29597560","29597560","29597560","503","503","503","34029984","34029984","34029984","503","503","503","39775826","39775826","39775826"
"169","506","506","506","29588088","29588088","29588088","506","506","506","34027680","34027680","34027680","506","506","506","39772754","39772754","39772754"
"170","509","509","509","29573752","29573752","29573752","509","509","509","34020768","34020768","34020768","509","509","509","39771730","39771730","39771730"
"171","512","512","512","29566328","29566328","29566328","512","512","512","34015136","34015136","34015136","512","512","512","39770706","39770706","39770706"
"172","515","515","515","29550200","29550200","29550200","515","515","515","34003872","34003872","34003872","515","515","515","39770706","39770706","39770706"
"173","518","518","518","29528952","29528952","29528952","518","518","518","33995168","33995168","33995168","518","518","518","39770706","39770706","39770706"
"174","521","521","521","29516664","29516664","29516664","521","521","521","33989280","33989280","33989280","521","521","521","39769682","39769682","39769682"
"175","524","524","524","29503608","29503608","29503608","524","524","524","33975456","33975456","33975456","524","524","524","39767122","39767122","39767122"
"176","527","527","527","29491320","29491320","29491320","527","527","527","33961632","33961632","33961632","527","527","527","39764562","39764562","39764562"
"177","530","530","530","29477240","29477240","29477240","530","530","530","33954976","33954976","33954976","530","530","530","39761490","39761490","39761490"
"178","533","533","533","29467256","29467256","29467256","533","533","533","33949600","33949600","33949600","533","533","533","39761490","39761490","39761490"
"179","536","536","536","29446008","29446008","29446008","536","536","536","33944224","33944224","33944224","536","536","536","39761490","39761490","39761490"
"180","539","539","539","29426808","29426808","29426808","539","539","539","33931424","33931424","33931424","539","539","539","39755346","39755346","39755346"
"181","542","542","542","29408632","29408632","29408632","542","542","542","33921440","33921440","33921440","542","542","542","39747666","39747666","39747666"
"182","545","545","545","29394040","29394040","29394040","545","545","545","33916064","33916064","33916064","545","545","545","39743058","39743058","39743058"
"183","548","548","548","29373560","29373560","29373560","548","548","548","33907616","33907616","33907616","548","548","548","39739474","39739474","39739474"
"184","551","551","551","29350264","29350264","29350264","551","551","551","33892256","33892256","33892256","551","551","551","39739474","39739474","39739474"
"185","554","554","554","29339000","29339000","29339000","554","554","554","33881504","33881504","33881504","554","554","554","39734354","39734354","39734354"
"186","557","557","557","29322104","29322104","29322104","557","557","557","33876384","33876384","33876384","557","557","557","39734354","39734354","39734354"
"187","560","560","560","29304440","29304440","29304440","560","560","560","33860768","33860768","33860768","560","560","560","39734354","39734354","39734354"
"188","563","563","563","29284216","29284216","29284216","563","563","563","33847456","33847456","33847456","563","563","563","39734354","39734354","39734354"
"189","566","566","566","29269368","29269368","29269368","566","566","566","33836192","33836192","33836192","566","566","566","39732306","39732306","39732306"
"190","569","569","569","29260664","29260664","29260664","569","569","569","33833632","33833632","33833632","569","569","569","39731282","39731282","39731282"
"191","572","572","572","29249912","29249912","29249912","572","572","572","33824416","33824416","33824416","572","572","572","39731282","39731282","39731282"
"192","575","575","575","29237880","29237880","29237880","575","575","575","33823136","33823136","33823136","575","575","575","39726162","39726162","39726162"
"193","578","578","578","29213816","29213816","29213816","578","578","578","33807776","33807776","33807776","578","578","578","39723602","39723602","39723602"
"194","581","581","581","29202040","29202040","29202040","581","581","581","33794720","33794720","33794720","581","581","581","39723602","39723602","39723602"
"195","584","584","584","29180792","29180792","29180792","584","584","584","33787552","33787552","33787552","584","584","584","39718482","39718482","39718482"
"196","587","587","587","29167480","29167480","29167480","587","587","587","33774752","33774752","33774752","587","587","587","39718482","39718482","39718482"
"197","590","590","590","29155192","29155192","29155192","590","590","590","33758624","33758624","33758624","590","590","590","39718482","39718482","39718482"
"198","593","593","593","29136504","29136504","29136504","593","593","593","33754784","33754784","33754784","593","593","593","39718482","39718482","39718482"
"199","596","596","596","29112184","29112184","29112184","596","596","596","33749664","33749664","33749664","596","596","596","39717458","39717458","39717458"
"200","599","599","599","29099640","29099640","29099640","599","599","599","33741216","33741216","33741216","599","599","599","39717458","39717458","39717458"
