"epoch","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10-25 - model_params__MAX"
"42","125","125","125","31398008","31398008","31398008","125","125","125","35191456","35191456","35191456","125","125","125","40115794","40115794","40115794"
"43","128","128","128","31385208","31385208","31385208","128","128","128","35175072","35175072","35175072","128","128","128","40112210","40112210","40112210"
"44","131","131","131","31364984","31364984","31364984","131","131","131","35153824","35153824","35153824","131","131","131","40112210","40112210","40112210"
"45","134","134","134","31352184","31352184","31352184","134","134","134","35142816","35142816","35142816","134","134","134","40109650","40109650","40109650"
"46","137","137","137","31336824","31336824","31336824","137","137","137","35135136","35135136","35135136","137","137","137","40104530","40104530","40104530"
"47","140","140","140","31315320","31315320","31315320","140","140","140","35127712","35127712","35127712","140","140","140","40099410","40099410","40099410"
"48","143","143","143","31298424","31298424","31298424","143","143","143","35125152","35125152","35125152","143","143","143","40098386","40098386","40098386"
"49","146","146","146","31291768","31291768","31291768","146","146","146","35104160","35104160","35104160","146","146","146","40091218","40091218","40091218"
"50","149","149","149","31280760","31280760","31280760","149","149","149","35094688","35094688","35094688","149","149","149","40086098","40086098","40086098"
"51","152","152","152","31265656","31265656","31265656","152","152","152","35085984","35085984","35085984","152","152","152","40075858","40075858","40075858"
"52","155","155","155","31250552","31250552","31250552","155","155","155","35072416","35072416","35072416","155","155","155","40072274","40072274","40072274"
"53","158","158","158","31242616","31242616","31242616","158","158","158","35055264","35055264","35055264","158","158","158","40068690","40068690","40068690"
"54","161","161","161","31226488","31226488","31226488","161","161","161","35044512","35044512","35044512","161","161","161","40067666","40067666","40067666"
"55","164","164","164","31212920","31212920","31212920","164","164","164","35025056","35025056","35025056","164","164","164","40064082","40064082","40064082"
"56","167","167","167","31197816","31197816","31197816","167","167","167","35018912","35018912","35018912","167","167","167","40060498","40060498","40060498"
"57","170","170","170","31183480","31183480","31183480","170","170","170","35005856","35005856","35005856","170","170","170","40060498","40060498","40060498"
"58","173","173","173","31167352","31167352","31167352","173","173","173","34996640","34996640","34996640","173","173","173","40052818","40052818","40052818"
"59","176","176","176","31147384","31147384","31147384","176","176","176","34984352","34984352","34984352","176","176","176","40047698","40047698","40047698"
"60","179","179","179","31135096","31135096","31135096","179","179","179","34973088","34973088","34973088","179","179","179","40042578","40042578","40042578"
"61","182","182","182","31122040","31122040","31122040","182","182","182","34957984","34957984","34957984","182","182","182","40040018","40040018","40040018"
"62","185","185","185","31105400","31105400","31105400","185","185","185","34950560","34950560","34950560","185","185","185","40038994","40038994","40038994"
"63","188","188","188","31085688","31085688","31085688","188","188","188","34941344","34941344","34941344","188","188","188","40036434","40036434","40036434"
"64","191","191","191","31070840","31070840","31070840","191","191","191","34933408","34933408","34933408","191","191","191","40036434","40036434","40036434"
"65","194","194","194","31065976","31065976","31065976","194","194","194","34929312","34929312","34929312","194","194","194","40028754","40028754","40028754"
"66","197","197","197","31058808","31058808","31058808","197","197","197","34920352","34920352","34920352","197","197","197","40023634","40023634","40023634"
"67","200","200","200","31047032","31047032","31047032","200","200","200","34916512","34916512","34916512","200","200","200","40020050","40020050","40020050"
"68","203","203","203","31033208","31033208","31033208","203","203","203","34904480","34904480","34904480","203","203","203","40017490","40017490","40017490"
"69","206","206","206","31022200","31022200","31022200","206","206","206","34899616","34899616","34899616","206","206","206","40017490","40017490","40017490"
"70","209","209","209","31012216","31012216","31012216","209","209","209","34890144","34890144","34890144","209","209","209","40011858","40011858","40011858"
