"Step","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1-23 - metrics/mAP50(B)","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX"
"42","0.29529","0.29529","0.29529","0.36444","0.36444","0.36444","0","0","0","0.29612","0.29612","0.29612","0.29559","0.29559","0.29559","0.00254","0.00254","0.00254","0.26238","0.26238","0.26238","0.29929","0.29929","0.29929","0.30274","0.30274","0.30274","0.3272","0.3272","0.3272","0.3401","0.3401","0.3401","0.32178","0.32178","0.32178","0.3226","0.3226","0.3226"
"43","0.2807","0.2807","0.2807","0.34624","0.34624","0.34624","0.00481","0.00481","0.00481","0.30047","0.30047","0.30047","0.30197","0.30197","0.30197","0.00965","0.00965","0.00965","0.32172","0.32172","0.32172","0.32459","0.32459","0.32459","0.32759","0.32759","0.32759","0.31397","0.31397","0.31397","0.39288","0.39288","0.39288","0.3841","0.3841","0.3841","0.32715","0.32715","0.32715"
"44","0.31846","0.31846","0.31846","0.32198","0.32198","0.32198","0.00498","0.00498","0.00498","0.33636","0.33636","0.33636","0.27235","0.27235","0.27235","0.00233","0.00233","0.00233","0.31129","0.31129","0.31129","0.35656","0.35656","0.35656","0.34302","0.34302","0.34302","0.33371","0.33371","0.33371","0.38076","0.38076","0.38076","0.40363","0.40363","0.40363","0.38043","0.38043","0.38043"
"45","0.37065","0.37065","0.37065","0.36474","0.36474","0.36474","0.00016","0.00016","0.00016","0.33697","0.33697","0.33697","0.35682","0.35682","0.35682","0","0","0","0.34531","0.34531","0.34531","0.36566","0.36566","0.36566","0.35391","0.35391","0.35391","0.37792","0.37792","0.37792","0.38036","0.38036","0.38036","0.3873","0.3873","0.3873","0.34625","0.34625","0.34625"
"46","0.38051","0.38051","0.38051","0.3157","0.3157","0.3157","0","0","0","0.37112","0.37112","0.37112","0.35341","0.35341","0.35341","0","0","0","0.37566","0.37566","0.37566","0.35493","0.35493","0.35493","0.38554","0.38554","0.38554","0.28876","0.28876","0.28876","0.39256","0.39256","0.39256","0.38908","0.38908","0.38908","0.38126","0.38126","0.38126"
"47","0.32851","0.32851","0.32851","0.383","0.383","0.383","0","0","0","0.29544","0.29544","0.29544","0.34385","0.34385","0.34385","0","0","0","0.33889","0.33889","0.33889","0.38131","0.38131","0.38131","0.33162","0.33162","0.33162","0.32968","0.32968","0.32968","0.36483","0.36483","0.36483","0.38663","0.38663","0.38663","0.39636","0.39636","0.39636"
"48","0.26114","0.26114","0.26114","0.3505","0.3505","0.3505","0.0337","0.0337","0.0337","0.34183","0.34183","0.34183","0.35491","0.35491","0.35491","0.00252","0.00252","0.00252","0.38255","0.38255","0.38255","0.38011","0.38011","0.38011","0.33916","0.33916","0.33916","0.28329","0.28329","0.28329","0.38451","0.38451","0.38451","0.3931","0.3931","0.3931","0.38544","0.38544","0.38544"
"49","0.33783","0.33783","0.33783","0.33921","0.33921","0.33921","0.03334","0.03334","0.03334","0.36445","0.36445","0.36445","0.33315","0.33315","0.33315","0.00559","0.00559","0.00559","0.34255","0.34255","0.34255","0.32307","0.32307","0.32307","0.35754","0.35754","0.35754","0.33874","0.33874","0.33874","0.40277","0.40277","0.40277","0.40892","0.40892","0.40892","0.40556","0.40556","0.40556"
"50","0.33611","0.33611","0.33611","0.33565","0.33565","0.33565","0","0","0","0.37894","0.37894","0.37894","0.34004","0.34004","0.34004","0","0","0","0.38028","0.38028","0.38028","0.33653","0.33653","0.33653","0.34469","0.34469","0.34469","0.37869","0.37869","0.37869","0.39428","0.39428","0.39428","0.41208","0.41208","0.41208","0.39381","0.39381","0.39381"
"51","0.34974","0.34974","0.34974","0.35434","0.35434","0.35434","0","0","0","0.37163","0.37163","0.37163","0.37566","0.37566","0.37566","0","0","0","0.38642","0.38642","0.38642","0.37975","0.37975","0.37975","0.38966","0.38966","0.38966","0.31497","0.31497","0.31497","0.39199","0.39199","0.39199","0.3962","0.3962","0.3962","0.35824","0.35824","0.35824"
"52","0.32408","0.32408","0.32408","0.34545","0.34545","0.34545","0","0","0","0.38102","0.38102","0.38102","0.34994","0.34994","0.34994","0","0","0","0.37601","0.37601","0.37601","0.39024","0.39024","0.39024","0.32716","0.32716","0.32716","0.38196","0.38196","0.38196","0.38661","0.38661","0.38661","0.40161","0.40161","0.40161","0.3973","0.3973","0.3973"
"53","0.37059","0.37059","0.37059","0.35302","0.35302","0.35302","0.00067","0.00067","0.00067","0.37027","0.37027","0.37027","0.35213","0.35213","0.35213","0.00677","0.00677","0.00677","0.3578","0.3578","0.3578","0.36846","0.36846","0.36846","0.38923","0.38923","0.38923","0.3792","0.3792","0.3792","0.37486","0.37486","0.37486","0.4177","0.4177","0.4177","0.39489","0.39489","0.39489"
"54","0.344","0.344","0.344","0.37833","0.37833","0.37833","0.00039","0.00039","0.00039","0.35875","0.35875","0.35875","0.38341","0.38341","0.38341","0","0","0","0.36304","0.36304","0.36304","0.35885","0.35885","0.35885","0.35684","0.35684","0.35684","0.34495","0.34495","0.34495","0.40151","0.40151","0.40151","0.40026","0.40026","0.40026","0.3914","0.3914","0.3914"
"55","0.35718","0.35718","0.35718","0.345","0.345","0.345","0","0","0","0.37859","0.37859","0.37859","0.34382","0.34382","0.34382","0.00058","0.00058","0.00058","0.35476","0.35476","0.35476","0.38482","0.38482","0.38482","0.35791","0.35791","0.35791","0.38758","0.38758","0.38758","0.39931","0.39931","0.39931","0.39956","0.39956","0.39956","0.40626","0.40626","0.40626"
"56","0.35375","0.35375","0.35375","0.37563","0.37563","0.37563","0.00028","0.00028","0.00028","0.38341","0.38341","0.38341","0.37581","0.37581","0.37581","0.00069","0.00069","0.00069","0.39039","0.39039","0.39039","0.41875","0.41875","0.41875","0.35953","0.35953","0.35953","0.38089","0.38089","0.38089","0.3964","0.3964","0.3964","0.39311","0.39311","0.39311","0.39725","0.39725","0.39725"
"57","0.33112","0.33112","0.33112","0.37379","0.37379","0.37379","0.00045","0.00045","0.00045","0.36288","0.36288","0.36288","0.37285","0.37285","0.37285","0.00125","0.00125","0.00125","0.329","0.329","0.329","0.32807","0.32807","0.32807","0.34506","0.34506","0.34506","0.3677","0.3677","0.3677","0.40016","0.40016","0.40016","0.36973","0.36973","0.36973","0.37767","0.37767","0.37767"
"58","0.37596","0.37596","0.37596","0.36168","0.36168","0.36168","0","0","0","0.37483","0.37483","0.37483","0.37598","0.37598","0.37598","0.0022","0.0022","0.0022","0.37594","0.37594","0.37594","0.38167","0.38167","0.38167","0.36615","0.36615","0.36615","0.38832","0.38832","0.38832","0.36213","0.36213","0.36213","0.40685","0.40685","0.40685","0.37074","0.37074","0.37074"
"59","0.33829","0.33829","0.33829","0.35925","0.35925","0.35925","0.00073","0.00073","0.00073","0.38033","0.38033","0.38033","0.36223","0.36223","0.36223","0.00075","0.00075","0.00075","0.3926","0.3926","0.3926","0.34774","0.34774","0.34774","0.36475","0.36475","0.36475","0.29125","0.29125","0.29125","0.39284","0.39284","0.39284","0.40081","0.40081","0.40081","0.40285","0.40285","0.40285"
"60","0.38484","0.38484","0.38484","0.36001","0.36001","0.36001","0.00081","0.00081","0.00081","0.37707","0.37707","0.37707","0.38455","0.38455","0.38455","0.00129","0.00129","0.00129","0.38471","0.38471","0.38471","0.39258","0.39258","0.39258","0.37106","0.37106","0.37106","0.39886","0.39886","0.39886","0.40881","0.40881","0.40881","0.40003","0.40003","0.40003","0.43743","0.43743","0.43743"
"61","0.31464","0.31464","0.31464","0.33","0.33","0.33","0.00102","0.00102","0.00102","0.36656","0.36656","0.36656","0.35764","0.35764","0.35764","0.03433","0.03433","0.03433","0.37163","0.37163","0.37163","0.37733","0.37733","0.37733","0.37383","0.37383","0.37383","0.38492","0.38492","0.38492","0.39238","0.39238","0.39238","0.44386","0.44386","0.44386","0.41516","0.41516","0.41516"
"62","0.39307","0.39307","0.39307","0.34827","0.34827","0.34827","0","0","0","0.39462","0.39462","0.39462","0.37688","0.37688","0.37688","0.00075","0.00075","0.00075","0.39782","0.39782","0.39782","0.3855","0.3855","0.3855","0.37424","0.37424","0.37424","0.40253","0.40253","0.40253","0.39176","0.39176","0.39176","0.40203","0.40203","0.40203","0.38166","0.38166","0.38166"
"63","0.37541","0.37541","0.37541","0.37674","0.37674","0.37674","0.00149","0.00149","0.00149","0.39909","0.39909","0.39909","0.36467","0.36467","0.36467","0.00175","0.00175","0.00175","0.40036","0.40036","0.40036","0.40671","0.40671","0.40671","0.33835","0.33835","0.33835","0.38181","0.38181","0.38181","0.40886","0.40886","0.40886","0.41726","0.41726","0.41726","0.39737","0.39737","0.39737"
"64","0.38643","0.38643","0.38643","0.35164","0.35164","0.35164","0.0009","0.0009","0.0009","0.38794","0.38794","0.38794","0.3561","0.3561","0.3561","0.0005","0.0005","0.0005","0.35624","0.35624","0.35624","0.34462","0.34462","0.34462","0.37077","0.37077","0.37077","0.37478","0.37478","0.37478","0.39613","0.39613","0.39613","0.4401","0.4401","0.4401","0.43721","0.43721","0.43721"
"65","0.37444","0.37444","0.37444","0.35906","0.35906","0.35906","0.00092","0.00092","0.00092","0.42761","0.42761","0.42761","0.37376","0.37376","0.37376","0.00111","0.00111","0.00111","0.37839","0.37839","0.37839","0.42947","0.42947","0.42947","0.41729","0.41729","0.41729","0.39606","0.39606","0.39606","0.39154","0.39154","0.39154","0.44298","0.44298","0.44298","0.43537","0.43537","0.43537"
"66","0.35808","0.35808","0.35808","0.37155","0.37155","0.37155","0.00047","0.00047","0.00047","0.39438","0.39438","0.39438","0.36825","0.36825","0.36825","0.00104","0.00104","0.00104","0.36742","0.36742","0.36742","0.40728","0.40728","0.40728","0.37858","0.37858","0.37858","0.37686","0.37686","0.37686","0.39758","0.39758","0.39758","0.40841","0.40841","0.40841","0.40426","0.40426","0.40426"
"67","0.37875","0.37875","0.37875","0.33016","0.33016","0.33016","0.00087","0.00087","0.00087","0.39035","0.39035","0.39035","0.42009","0.42009","0.42009","0.03334","0.03334","0.03334","0.38458","0.38458","0.38458","0.37109","0.37109","0.37109","0.37051","0.37051","0.37051","0.38479","0.38479","0.38479","0.40563","0.40563","0.40563","0.45164","0.45164","0.45164","0.42066","0.42066","0.42066"
"68","0.34453","0.34453","0.34453","0.40718","0.40718","0.40718","0","0","0","0.39909","0.39909","0.39909","0.38242","0.38242","0.38242","0.00042","0.00042","0.00042","0.40529","0.40529","0.40529","0.42897","0.42897","0.42897","0.45561","0.45561","0.45561","0.38458","0.38458","0.38458","0.41126","0.41126","0.41126","0.41126","0.41126","0.41126","0.44381","0.44381","0.44381"
"69","0.37569","0.37569","0.37569","0.37541","0.37541","0.37541","0.00058","0.00058","0.00058","0.43365","0.43365","0.43365","0.45107","0.45107","0.45107","0.00044","0.00044","0.00044","0.43179","0.43179","0.43179","0.43012","0.43012","0.43012","0.45506","0.45506","0.45506","0.42277","0.42277","0.42277","0.4067","0.4067","0.4067","0.41595","0.41595","0.41595","0.4033","0.4033","0.4033"
"70","0.38181","0.38181","0.38181","0.38834","0.38834","0.38834","0","0","0","0.38816","0.38816","0.38816","0.38845","0.38845","0.38845","0","0","0","0.4198","0.4198","0.4198","0.42668","0.42668","0.42668","0.42287","0.42287","0.42287","0.36882","0.36882","0.36882","0.41359","0.41359","0.41359","0.43738","0.43738","0.43738","0.43925","0.43925","0.43925"
"71","0.38677","0.38677","0.38677","0.38374","0.38374","0.38374","0.00074","0.00074","0.00074","0.39662","0.39662","0.39662","0.4326","0.4326","0.4326","0.00077","0.00077","0.00077","0.3881","0.3881","0.3881","0.35988","0.35988","0.35988","0.38862","0.38862","0.38862","0.39348","0.39348","0.39348","0.44699","0.44699","0.44699","0.44318","0.44318","0.44318","0.44783","0.44783","0.44783"
"72","0.37412","0.37412","0.37412","0.39129","0.39129","0.39129","0.001","0.001","0.001","0.388","0.388","0.388","0.40959","0.40959","0.40959","0.00103","0.00103","0.00103","0.4219","0.4219","0.4219","0.4436","0.4436","0.4436","0.35772","0.35772","0.35772","0.39559","0.39559","0.39559","0.42601","0.42601","0.42601","0.48552","0.48552","0.48552","0.43186","0.43186","0.43186"
"73","0.337","0.337","0.337","0.4036","0.4036","0.4036","0.00139","0.00139","0.00139","0.38482","0.38482","0.38482","0.41598","0.41598","0.41598","0.0008","0.0008","0.0008","0.42468","0.42468","0.42468","0.37014","0.37014","0.37014","0.37633","0.37633","0.37633","0.37585","0.37585","0.37585","0.40722","0.40722","0.40722","0.44482","0.44482","0.44482","0.45155","0.45155","0.45155"
"74","0.39665","0.39665","0.39665","0.38507","0.38507","0.38507","0.00118","0.00118","0.00118","0.42217","0.42217","0.42217","0.41449","0.41449","0.41449","0.00096","0.00096","0.00096","0.42328","0.42328","0.42328","0.39364","0.39364","0.39364","0.40459","0.40459","0.40459","0.39523","0.39523","0.39523","0.4085","0.4085","0.4085","0.44369","0.44369","0.44369","0.44219","0.44219","0.44219"
"75","0.38695","0.38695","0.38695","0.37959","0.37959","0.37959","0.00056","0.00056","0.00056","0.42132","0.42132","0.42132","0.42524","0.42524","0.42524","0.00052","0.00052","0.00052","0.42678","0.42678","0.42678","0.32892","0.32892","0.32892","0.42807","0.42807","0.42807","0.3798","0.3798","0.3798","0.40531","0.40531","0.40531","0.44392","0.44392","0.44392","0.44241","0.44241","0.44241"
"76","0.38586","0.38586","0.38586","0.39394","0.39394","0.39394","0.00075","0.00075","0.00075","0.40246","0.40246","0.40246","0.39458","0.39458","0.39458","0.00109","0.00109","0.00109","0.42293","0.42293","0.42293","0.39328","0.39328","0.39328","0.42422","0.42422","0.42422","0.39854","0.39854","0.39854","0.42767","0.42767","0.42767","0.44455","0.44455","0.44455","0.42522","0.42522","0.42522"
"77","0.39418","0.39418","0.39418","0.4117","0.4117","0.4117","0.0009","0.0009","0.0009","0.41468","0.41468","0.41468","0.46212","0.46212","0.46212","0.0006","0.0006","0.0006","0.41184","0.41184","0.41184","0.46108","0.46108","0.46108","0.40479","0.40479","0.40479","0.43018","0.43018","0.43018","0.41683","0.41683","0.41683","0.4767","0.4767","0.4767","0.4462","0.4462","0.4462"
"78","0.454","0.454","0.454","0.38695","0.38695","0.38695","0.00194","0.00194","0.00194","0.40172","0.40172","0.40172","0.35542","0.35542","0.35542","0.00088","0.00088","0.00088","0.39141","0.39141","0.39141","0.38743","0.38743","0.38743","0.43037","0.43037","0.43037","0.39778","0.39778","0.39778","0.40989","0.40989","0.40989","0.4798","0.4798","0.4798","0.45098","0.45098","0.45098"
"79","0.41954","0.41954","0.41954","0.39939","0.39939","0.39939","0.00139","0.00139","0.00139","0.40839","0.40839","0.40839","0.41601","0.41601","0.41601","0","0","0","0.40275","0.40275","0.40275","0.39742","0.39742","0.39742","0.43283","0.43283","0.43283","0.42323","0.42323","0.42323","0.45191","0.45191","0.45191","0.45414","0.45414","0.45414","0.45644","0.45644","0.45644"
"80","0.47168","0.47168","0.47168","0.3782","0.3782","0.3782","0","0","0","0.39553","0.39553","0.39553","0.4127","0.4127","0.4127","0.00046","0.00046","0.00046","0.42838","0.42838","0.42838","0.39319","0.39319","0.39319","0.39983","0.39983","0.39983","0.35508","0.35508","0.35508","0.43812","0.43812","0.43812","0.48915","0.48915","0.48915","0.46446","0.46446","0.46446"
"81","0.45438","0.45438","0.45438","0.36134","0.36134","0.36134","0.00279","0.00279","0.00279","0.42561","0.42561","0.42561","0.39198","0.39198","0.39198","0.00034","0.00034","0.00034","0.44633","0.44633","0.44633","0.39998","0.39998","0.39998","0.45784","0.45784","0.45784","0.41975","0.41975","0.41975","0.40214","0.40214","0.40214","0.46802","0.46802","0.46802","0.44896","0.44896","0.44896"
"82","0.38013","0.38013","0.38013","0.40141","0.40141","0.40141","0","0","0","0.42799","0.42799","0.42799","0.43158","0.43158","0.43158","0.00483","0.00483","0.00483","0.45411","0.45411","0.45411","0.40438","0.40438","0.40438","0.38269","0.38269","0.38269","0.43987","0.43987","0.43987","0.45161","0.45161","0.45161","0.44247","0.44247","0.44247","0.45394","0.45394","0.45394"
"83","0.39707","0.39707","0.39707","0.41972","0.41972","0.41972","0.00525","0.00525","0.00525","0.45824","0.45824","0.45824","0.42054","0.42054","0.42054","0.00351","0.00351","0.00351","0.435","0.435","0.435","0.41848","0.41848","0.41848","0.42142","0.42142","0.42142","0.39192","0.39192","0.39192","0.46738","0.46738","0.46738","0.45528","0.45528","0.45528","0.48381","0.48381","0.48381"
"84","0.40059","0.40059","0.40059","0.36618","0.36618","0.36618","0.00192","0.00192","0.00192","0.37474","0.37474","0.37474","0.39903","0.39903","0.39903","0.00264","0.00264","0.00264","0.41962","0.41962","0.41962","0.40382","0.40382","0.40382","0.43245","0.43245","0.43245","0.43471","0.43471","0.43471","0.45662","0.45662","0.45662","0.42661","0.42661","0.42661","0.43357","0.43357","0.43357"
"85","0.41256","0.41256","0.41256","0.39245","0.39245","0.39245","0.00694","0.00694","0.00694","0.43811","0.43811","0.43811","0.40077","0.40077","0.40077","0.00408","0.00408","0.00408","0.40818","0.40818","0.40818","0.43872","0.43872","0.43872","0.46936","0.46936","0.46936","0.39676","0.39676","0.39676","0.4702","0.4702","0.4702","0.44061","0.44061","0.44061","0.44052","0.44052","0.44052"
"86","0.37529","0.37529","0.37529","0.37263","0.37263","0.37263","0","0","0","0.37898","0.37898","0.37898","0.40699","0.40699","0.40699","0.00116","0.00116","0.00116","0.41515","0.41515","0.41515","0.35639","0.35639","0.35639","0.4416","0.4416","0.4416","0.39562","0.39562","0.39562","0.44601","0.44601","0.44601","0.44685","0.44685","0.44685","0.44884","0.44884","0.44884"
"87","0.45299","0.45299","0.45299","0.3719","0.3719","0.3719","0.00054","0.00054","0.00054","0.45777","0.45777","0.45777","0.41696","0.41696","0.41696","0.00294","0.00294","0.00294","0.44989","0.44989","0.44989","0.40824","0.40824","0.40824","0.43319","0.43319","0.43319","0.42294","0.42294","0.42294","0.44614","0.44614","0.44614","0.44955","0.44955","0.44955","0.49339","0.49339","0.49339"
"88","0.41156","0.41156","0.41156","0.39115","0.39115","0.39115","0.01684","0.01684","0.01684","0.44152","0.44152","0.44152","0.40715","0.40715","0.40715","0","0","0","0.44374","0.44374","0.44374","0.39648","0.39648","0.39648","0.43915","0.43915","0.43915","0.38231","0.38231","0.38231","0.4751","0.4751","0.4751","0.47221","0.47221","0.47221","0.44859","0.44859","0.44859"
"89","0.4561","0.4561","0.4561","0.43762","0.43762","0.43762","0.0037","0.0037","0.0037","0.43253","0.43253","0.43253","0.46641","0.46641","0.46641","0","0","0","0.45285","0.45285","0.45285","0.42179","0.42179","0.42179","0.43883","0.43883","0.43883","0.43529","0.43529","0.43529","0.4718","0.4718","0.4718","0.45127","0.45127","0.45127","0.44898","0.44898","0.44898"
"90","0.40849","0.40849","0.40849","0.38007","0.38007","0.38007","0.00177","0.00177","0.00177","0.42333","0.42333","0.42333","0.37951","0.37951","0.37951","0.00167","0.00167","0.00167","0.44185","0.44185","0.44185","0.45135","0.45135","0.45135","0.43329","0.43329","0.43329","0.43015","0.43015","0.43015","0.45237","0.45237","0.45237","0.46669","0.46669","0.46669","0.4601","0.4601","0.4601"
"91","0.45338","0.45338","0.45338","0.43744","0.43744","0.43744","0.00842","0.00842","0.00842","0.47335","0.47335","0.47335","0.40409","0.40409","0.40409","0.01113","0.01113","0.01113","0.45387","0.45387","0.45387","0.45898","0.45898","0.45898","0.45567","0.45567","0.45567","0.4572","0.4572","0.4572","0.43721","0.43721","0.43721","0.4735","0.4735","0.4735","0.44442","0.44442","0.44442"
"92","0.40507","0.40507","0.40507","0.39607","0.39607","0.39607","0.00309","0.00309","0.00309","0.41954","0.41954","0.41954","0.38232","0.38232","0.38232","0.00033","0.00033","0.00033","0.4031","0.4031","0.4031","0.4047","0.4047","0.4047","0.42543","0.42543","0.42543","0.43385","0.43385","0.43385","0.44301","0.44301","0.44301","0.47404","0.47404","0.47404","0.47591","0.47591","0.47591"
"93","0.4157","0.4157","0.4157","0.38281","0.38281","0.38281","0","0","0","0.43227","0.43227","0.43227","0.45235","0.45235","0.45235","0","0","0","0.44442","0.44442","0.44442","0.39087","0.39087","0.39087","0.46027","0.46027","0.46027","0.38097","0.38097","0.38097","0.4729","0.4729","0.4729","0.47966","0.47966","0.47966","0.44892","0.44892","0.44892"
"94","0.46881","0.46881","0.46881","0.40902","0.40902","0.40902","0.00393","0.00393","0.00393","0.4773","0.4773","0.4773","0.40977","0.40977","0.40977","0.00195","0.00195","0.00195","0.46672","0.46672","0.46672","0.46126","0.46126","0.46126","0.45719","0.45719","0.45719","0.46639","0.46639","0.46639","0.4532","0.4532","0.4532","0.48654","0.48654","0.48654","0.46244","0.46244","0.46244"
"95","0.44678","0.44678","0.44678","0.37611","0.37611","0.37611","0.00186","0.00186","0.00186","0.48459","0.48459","0.48459","0.40313","0.40313","0.40313","0","0","0","0.46164","0.46164","0.46164","0.44532","0.44532","0.44532","0.45871","0.45871","0.45871","0.44695","0.44695","0.44695","0.4636","0.4636","0.4636","0.48509","0.48509","0.48509","0.44379","0.44379","0.44379"
"96","0.40694","0.40694","0.40694","0.42142","0.42142","0.42142","0","0","0","0.42877","0.42877","0.42877","0.43792","0.43792","0.43792","0.00334","0.00334","0.00334","0.4401","0.4401","0.4401","0.42352","0.42352","0.42352","0.42361","0.42361","0.42361","0.43347","0.43347","0.43347","0.47183","0.47183","0.47183","0.4704","0.4704","0.4704","0.48624","0.48624","0.48624"
"97","0.4719","0.4719","0.4719","0.43391","0.43391","0.43391","0","0","0","0.43368","0.43368","0.43368","0.46563","0.46563","0.46563","0","0","0","0.46418","0.46418","0.46418","0.46962","0.46962","0.46962","0.44241","0.44241","0.44241","0.4273","0.4273","0.4273","0.46137","0.46137","0.46137","0.47422","0.47422","0.47422","0.46202","0.46202","0.46202"
"98","0.45992","0.45992","0.45992","0.43248","0.43248","0.43248","0","0","0","0.47836","0.47836","0.47836","0.44176","0.44176","0.44176","0","0","0","0.41899","0.41899","0.41899","0.42088","0.42088","0.42088","0.44622","0.44622","0.44622","0.44028","0.44028","0.44028","0.47301","0.47301","0.47301","0.49103","0.49103","0.49103","0.46322","0.46322","0.46322"
"99","0.41901","0.41901","0.41901","0.42631","0.42631","0.42631","0","0","0","0.46469","0.46469","0.46469","0.43835","0.43835","0.43835","0","0","0","0.42487","0.42487","0.42487","0.43393","0.43393","0.43393","0.44075","0.44075","0.44075","0.46577","0.46577","0.46577","0.47378","0.47378","0.47378","0.48555","0.48555","0.48555","0.47687","0.47687","0.47687"
"100","0.45861","0.45861","0.45861","0.43778","0.43778","0.43778","0","0","0","0.45197","0.45197","0.45197","0.4463","0.4463","0.4463","0","0","0","0.45852","0.45852","0.45852","0.4156","0.4156","0.4156","0.43287","0.43287","0.43287","0.4753","0.4753","0.4753","0.46834","0.46834","0.46834","0.46399","0.46399","0.46399","0.4816","0.4816","0.4816"
"101","0.45534","0.45534","0.45534","0.43763","0.43763","0.43763","0.03523","0.03523","0.03523","0.40916","0.40916","0.40916","0.42359","0.42359","0.42359","0.03659","0.03659","0.03659","0.43558","0.43558","0.43558","0.39472","0.39472","0.39472","0.44238","0.44238","0.44238","0.4288","0.4288","0.4288","0.46631","0.46631","0.46631","0.47828","0.47828","0.47828","0.45474","0.45474","0.45474"
"102","0.41102","0.41102","0.41102","0.43189","0.43189","0.43189","0","0","0","0.46265","0.46265","0.46265","0.43567","0.43567","0.43567","0.00209","0.00209","0.00209","0.47123","0.47123","0.47123","0.45527","0.45527","0.45527","0.45007","0.45007","0.45007","0.47066","0.47066","0.47066","0.47268","0.47268","0.47268","0.48343","0.48343","0.48343","0.44202","0.44202","0.44202"
"103","0.47738","0.47738","0.47738","0.39904","0.39904","0.39904","0.0398","0.0398","0.0398","0.47755","0.47755","0.47755","0.38375","0.38375","0.38375","0","0","0","0.47173","0.47173","0.47173","0.43024","0.43024","0.43024","0.45128","0.45128","0.45128","0.43024","0.43024","0.43024","0.46745","0.46745","0.46745","0.47863","0.47863","0.47863","0.46658","0.46658","0.46658"
"104","0.41821","0.41821","0.41821","0.4663","0.4663","0.4663","0.00306","0.00306","0.00306","0.45231","0.45231","0.45231","0.42992","0.42992","0.42992","0.00426","0.00426","0.00426","0.4647","0.4647","0.4647","0.46453","0.46453","0.46453","0.4352","0.4352","0.4352","0.4512","0.4512","0.4512","0.45728","0.45728","0.45728","0.47711","0.47711","0.47711","0.47409","0.47409","0.47409"
"105","0.45678","0.45678","0.45678","0.40236","0.40236","0.40236","0.02687","0.02687","0.02687","0.46717","0.46717","0.46717","0.45065","0.45065","0.45065","0.00955","0.00955","0.00955","0.44546","0.44546","0.44546","0.46354","0.46354","0.46354","0.45606","0.45606","0.45606","0.45096","0.45096","0.45096","0.46166","0.46166","0.46166","0.47078","0.47078","0.47078","0.48152","0.48152","0.48152"
