"Step","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=180]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=61]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=220]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=350]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=60]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=265]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=430]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","LR[K=300]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLconv[R=500]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1-23 - metrics/mAP50(B)","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX"
"11","0.11143","0.11143","0.11143","0.14513","0.14513","0.14513","0.00014","0.00014","0.00014","0.04151","0.04151","0.04151","0.08996","0.08996","0.08996","0","0","0","0.09766","0.09766","0.09766","0.09755","0.09755","0.09755","0.13391","0.13391","0.13391","0.09828","0.09828","0.09828","0.11946","0.11946","0.11946","0.13378","0.13378","0.13378","0.16029","0.16029","0.16029"
"12","0.10176","0.10176","0.10176","0.11224","0.11224","0.11224","0","0","0","0.08565","0.08565","0.08565","0.12136","0.12136","0.12136","0.00134","0.00134","0.00134","0.05987","0.05987","0.05987","0.11413","0.11413","0.11413","0.10548","0.10548","0.10548","0.10415","0.10415","0.10415","0.15031","0.15031","0.15031","0.13286","0.13286","0.13286","0.11718","0.11718","0.11718"
"13","0.12143","0.12143","0.12143","0.15201","0.15201","0.15201","0","0","0","0.15061","0.15061","0.15061","0.12182","0.12182","0.12182","0","0","0","0.14156","0.14156","0.14156","0.09297","0.09297","0.09297","0.14296","0.14296","0.14296","0.18264","0.18264","0.18264","0.2354","0.2354","0.2354","0.16925","0.16925","0.16925","0.18482","0.18482","0.18482"
"14","0.11079","0.11079","0.11079","0.1699","0.1699","0.1699","0","0","0","0.1133","0.1133","0.1133","0.19187","0.19187","0.19187","0","0","0","0.12274","0.12274","0.12274","0.11932","0.11932","0.11932","0.15105","0.15105","0.15105","0.11843","0.11843","0.11843","0.22145","0.22145","0.22145","0.19149","0.19149","0.19149","0.17959","0.17959","0.17959"
"15","0.07152","0.07152","0.07152","0.14015","0.14015","0.14015","0.00168","0.00168","0.00168","0.13236","0.13236","0.13236","0.15113","0.15113","0.15113","0","0","0","0.08933","0.08933","0.08933","0.16568","0.16568","0.16568","0.18587","0.18587","0.18587","0.14062","0.14062","0.14062","0.21457","0.21457","0.21457","0.22493","0.22493","0.22493","0.16165","0.16165","0.16165"
"16","0.152","0.152","0.152","0.13276","0.13276","0.13276","0.00005","0.00005","0.00005","0.17114","0.17114","0.17114","0.13021","0.13021","0.13021","0","0","0","0.17897","0.17897","0.17897","0.18621","0.18621","0.18621","0.19309","0.19309","0.19309","0.1878","0.1878","0.1878","0.24518","0.24518","0.24518","0.21166","0.21166","0.21166","0.24643","0.24643","0.24643"
"17","0.08621","0.08621","0.08621","0.087","0.087","0.087","0","0","0","0.11866","0.11866","0.11866","0.13038","0.13038","0.13038","0.00008","0.00008","0.00008","0.12123","0.12123","0.12123","0.16","0.16","0.16","0.14052","0.14052","0.14052","0.1629","0.1629","0.1629","0.23563","0.23563","0.23563","0.27208","0.27208","0.27208","0.26926","0.26926","0.26926"
"18","0.21079","0.21079","0.21079","0.19783","0.19783","0.19783","0","0","0","0.18481","0.18481","0.18481","0.17201","0.17201","0.17201","0","0","0","0.13813","0.13813","0.13813","0.22499","0.22499","0.22499","0.15333","0.15333","0.15333","0.18151","0.18151","0.18151","0.27824","0.27824","0.27824","0.24778","0.24778","0.24778","0.23914","0.23914","0.23914"
"19","0.19055","0.19055","0.19055","0.18006","0.18006","0.18006","0.00053","0.00053","0.00053","0.1456","0.1456","0.1456","0.18073","0.18073","0.18073","0","0","0","0.25782","0.25782","0.25782","0.17852","0.17852","0.17852","0.16723","0.16723","0.16723","0.14719","0.14719","0.14719","0.25575","0.25575","0.25575","0.24373","0.24373","0.24373","0.23928","0.23928","0.23928"
"20","0.15351","0.15351","0.15351","0.17829","0.17829","0.17829","0.0001","0.0001","0.0001","0.21438","0.21438","0.21438","0.16765","0.16765","0.16765","0","0","0","0.23186","0.23186","0.23186","0.22552","0.22552","0.22552","0.26737","0.26737","0.26737","0.18359","0.18359","0.18359","0.23515","0.23515","0.23515","0.23723","0.23723","0.23723","0.30889","0.30889","0.30889"
