"epoch","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX"
"42","125","125","125","31168376","31168376","31168376","125","125","125","34860960","34860960","34860960","125","125","125","40013906","40013906","40013906"
"43","128","128","128","31157880","31157880","31157880","128","128","128","34852000","34852000","34852000","128","128","128","40013906","40013906","40013906"
"44","131","131","131","31143544","31143544","31143544","131","131","131","34847136","34847136","34847136","131","131","131","40010322","40010322","40010322"
"45","134","134","134","31138680","31138680","31138680","134","134","134","34846112","34846112","34846112","134","134","134","40010322","40010322","40010322"
"46","137","137","137","31132280","31132280","31132280","137","137","137","34845088","34845088","34845088","137","137","137","40010322","40010322","40010322"
"47","140","140","140","31127160","31127160","31127160","140","140","140","34835360","34835360","34835360","140","140","140","40010322","40010322","40010322"
"48","143","143","143","31120760","31120760","31120760","143","143","143","34833056","34833056","34833056","143","143","143","40009298","40009298","40009298"
"49","146","146","146","31114360","31114360","31114360","146","146","146","34821792","34821792","34821792","146","146","146","40009298","40009298","40009298"
"50","149","149","149","31103608","31103608","31103608","149","149","149","34816672","34816672","34816672","149","149","149","40009298","40009298","40009298"
"51","152","152","152","31098232","31098232","31098232","152","152","152","34810528","34810528","34810528","152","152","152","40008274","40008274","40008274"
"52","155","155","155","31089784","31089784","31089784","155","155","155","34805664","34805664","34805664","155","155","155","40007250","40007250","40007250"
"53","158","158","158","31081848","31081848","31081848","158","158","158","34801568","34801568","34801568","158","158","158","40007250","40007250","40007250"
"54","161","161","161","31073400","31073400","31073400","161","161","161","34794912","34794912","34794912","161","161","161","40002130","40002130","40002130"
"55","164","164","164","31056760","31056760","31056760","164","164","164","34789792","34789792","34789792","164","164","164","40002130","40002130","40002130"
"56","167","167","167","31046520","31046520","31046520","167","167","167","34784416","34784416","34784416","167","167","167","39998546","39998546","39998546"
"57","170","170","170","31040376","31040376","31040376","170","170","170","34781344","34781344","34781344","170","170","170","39998546","39998546","39998546"
"58","173","173","173","31032952","31032952","31032952","173","173","173","34775456","34775456","34775456","173","173","173","39996498","39996498","39996498"
"59","176","176","176","31020152","31020152","31020152","176","176","176","34773920","34773920","34773920","176","176","176","39996498","39996498","39996498"
"60","179","179","179","31010168","31010168","31010168","179","179","179","34767776","34767776","34767776","179","179","179","39996498","39996498","39996498"
"61","182","182","182","30996344","30996344","30996344","182","182","182","34760864","34760864","34760864","182","182","182","39990354","39990354","39990354"
"62","185","185","185","30989176","30989176","30989176","185","185","185","34747808","34747808","34747808","185","185","185","39989330","39989330","39989330"
"63","188","188","188","30977400","30977400","30977400","188","188","188","34742176","34742176","34742176","188","188","188","39983186","39983186","39983186"
"64","191","191","191","30967160","30967160","30967160","191","191","191","34740896","34740896","34740896","191","191","191","39983186","39983186","39983186"
"65","194","194","194","30954104","30954104","30954104","194","194","194","34737312","34737312","34737312","194","194","194","39982162","39982162","39982162"
"66","197","197","197","30941048","30941048","30941048","197","197","197","34733984","34733984","34733984","197","197","197","39979602","39979602","39979602"
"67","200","200","200","30933368","30933368","30933368","200","200","200","34730400","34730400","34730400","200","200","200","39973458","39973458","39973458"
"68","203","203","203","30919032","30919032","30919032","203","203","203","34724768","34724768","34724768","203","203","203","39973458","39973458","39973458"
"69","206","206","206","30914936","30914936","30914936","206","206","206","34719648","34719648","34719648","206","206","206","39973458","39973458","39973458"
"70","209","209","209","30905976","30905976","30905976","209","209","209","34709664","34709664","34709664","209","209","209","39970898","39970898","39970898"
"71","212","212","212","30897272","30897272","30897272","212","212","212","34703264","34703264","34703264","212","212","212","39970898","39970898","39970898"
"72","215","215","215","30886264","30886264","30886264","215","215","215","34699168","34699168","34699168","215","215","215","39969874","39969874","39969874"
"73","218","218","218","30875256","30875256","30875256","218","218","218","34693792","34693792","34693792","218","218","218","39964754","39964754","39964754"
"74","221","221","221","30864504","30864504","30864504","221","221","221","34688928","34688928","34688928","221","221","221","39964754","39964754","39964754"
"75","224","224","224","30857848","30857848","30857848","224","224","224","34687392","34687392","34687392","224","224","224","39957074","39957074","39957074"
"76","227","227","227","30844536","30844536","30844536","227","227","227","34676384","34676384","34676384","227","227","227","39957074","39957074","39957074"
"77","230","230","230","30838648","30838648","30838648","230","230","230","34675104","34675104","34675104","230","230","230","39957074","39957074","39957074"
"78","233","233","233","30823800","30823800","30823800","233","233","233","34666912","34666912","34666912","233","233","233","39956050","39956050","39956050"
"79","236","236","236","30818168","30818168","30818168","236","236","236","34659488","34659488","34659488","236","236","236","39956050","39956050","39956050"
"80","239","239","239","30814840","30814840","30814840","239","239","239","34656672","34656672","34656672","239","239","239","39952978","39952978","39952978"
"81","242","242","242","30804088","30804088","30804088","242","242","242","34650016","34650016","34650016","242","242","242","39950418","39950418","39950418"
"82","245","245","245","30794872","30794872","30794872","245","245","245","34640800","34640800","34640800","245","245","245","39947858","39947858","39947858"
"83","248","248","248","30780280","30780280","30780280","248","248","248","34632352","34632352","34632352","248","248","248","39947858","39947858","39947858"
"84","251","251","251","30772344","30772344","30772344","251","251","251","34618272","34618272","34618272","251","251","251","39947858","39947858","39947858"
"85","254","254","254","30752376","30752376","30752376","254","254","254","34609312","34609312","34609312","254","254","254","39946834","39946834","39946834"
