"epoch","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX"
"188","563","563","563","29439608","29439608","29439608","563","563","563","33928096","33928096","33928096","563","563","563","39758930","39758930","39758930"
"189","566","566","566","29426296","29426296","29426296","566","566","566","33920928","33920928","33920928","566","566","566","39752786","39752786","39752786"
"190","569","569","569","29406328","29406328","29406328","569","569","569","33907360","33907360","33907360","569","569","569","39752786","39752786","39752786"
"191","572","572","572","29396344","29396344","29396344","572","572","572","33903008","33903008","33903008","572","572","572","39746642","39746642","39746642"
"192","575","575","575","29380728","29380728","29380728","575","575","575","33891232","33891232","33891232","575","575","575","39743058","39743058","39743058"
"193","578","578","578","29366904","29366904","29366904","578","578","578","33879456","33879456","33879456","578","578","578","39740498","39740498","39740498"
"194","581","581","581","29348216","29348216","29348216","581","581","581","33868448","33868448","33868448","581","581","581","39736914","39736914","39736914"
"195","584","584","584","29328760","29328760","29328760","584","584","584","33858976","33858976","33858976","584","584","584","39736914","39736914","39736914"
"196","587","587","587","29309816","29309816","29309816","587","587","587","33850272","33850272","33850272","587","587","587","39736914","39736914","39736914"
"197","590","590","590","29289592","29289592","29289592","590","590","590","33833376","33833376","33833376","590","590","590","39734354","39734354","39734354"
"198","593","593","593","29274232","29274232","29274232","593","593","593","33823904","33823904","33823904","593","593","593","39734354","39734354","39734354"
"199","596","596","596","29261176","29261176","29261176","596","596","596","33817760","33817760","33817760","596","596","596","39733330","39733330","39733330"
"200","599","599","599","29248888","29248888","29248888","599","599","599","33810592","33810592","33810592","599","599","599","39731282","39731282","39731282"
