"epoch","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=42,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=43]-Resnet101-CIFAR10 - _step","MTL[T=43]-Resnet101-CIFAR10 - _step__MIN","MTL[T=43]-Resnet101-CIFAR10 - _step__MAX","MTL[T=43]-Resnet101-CIFAR10 - model_params","MTL[T=43]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=43]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=42]-Resnet101-CIFAR10 - _step","MTL[T=42]-Resnet101-CIFAR10 - _step__MIN","MTL[T=42]-Resnet101-CIFAR10 - _step__MAX","MTL[T=42]-Resnet101-CIFAR10 - model_params","MTL[T=42]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=42]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=15,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - _step__MAX","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MIN","LR-MTL[T=3,lambda_ce=0.70]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=4]-Resnet101-CIFAR10 - _step","MTL[T=4]-Resnet101-CIFAR10 - _step__MIN","MTL[T=4]-Resnet101-CIFAR10 - _step__MAX","MTL[T=4]-Resnet101-CIFAR10 - model_params","MTL[T=4]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=4]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=3]-Resnet101-CIFAR10 - _step","MTL[T=3]-Resnet101-CIFAR10 - _step__MIN","MTL[T=3]-Resnet101-CIFAR10 - _step__MAX","MTL[T=3]-Resnet101-CIFAR10 - model_params","MTL[T=3]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=3]-Resnet101-CIFAR10 - model_params__MAX","Resnet101-CIFAR10 - _step","Resnet101-CIFAR10 - _step__MIN","Resnet101-CIFAR10 - _step__MAX","Resnet101-CIFAR10 - model_params","Resnet101-CIFAR10 - model_params__MIN","Resnet101-CIFAR10 - model_params__MAX","MTL[T=16]-Resnet101-CIFAR10 - _step","MTL[T=16]-Resnet101-CIFAR10 - _step__MIN","MTL[T=16]-Resnet101-CIFAR10 - _step__MAX","MTL[T=16]-Resnet101-CIFAR10 - model_params","MTL[T=16]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=16]-Resnet101-CIFAR10 - model_params__MAX","MTL[T=15]-Resnet101-CIFAR10 - _step","MTL[T=15]-Resnet101-CIFAR10 - _step__MIN","MTL[T=15]-Resnet101-CIFAR10 - _step__MAX","MTL[T=15]-Resnet101-CIFAR10 - model_params","MTL[T=15]-Resnet101-CIFAR10 - model_params__MIN","MTL[T=15]-Resnet101-CIFAR10 - model_params__MAX"
"35","104","104","104","31226488","31226488","31226488","69","69","69","29938048","29938048","29938048","69","69","69","30462328","30462328","30462328","104","104","104","34899104","34899104","34899104","104","104","104","40020050","40020050","40020050","69","69","69","38326356","38326356","38326356","69","69","69","40423506","40423506","40423506","69","69","69","42520650","42520650","42520650","69","69","69","34656424","34656424","34656424","69","69","69","35180704","35180704","35180704"
"36","107","107","107","31220856","31220856","31220856","71","71","71","29938048","29938048","29938048","71","71","71","30462328","30462328","30462328","107","107","107","34888352","34888352","34888352","107","107","107","40020050","40020050","40020050","71","71","71","38326356","38326356","38326356","71","71","71","40423506","40423506","40423506","71","71","71","42520650","42520650","42520650","71","71","71","34656424","34656424","34656424","71","71","71","35180704","35180704","35180704"
"37","110","110","110","31210616","31210616","31210616","73","73","73","29938048","29938048","29938048","73","73","73","30462328","30462328","30462328","110","110","110","34886048","34886048","34886048","110","110","110","40020050","40020050","40020050","73","73","73","38326356","38326356","38326356","73","73","73","40423506","40423506","40423506","73","73","73","42520650","42520650","42520650","73","73","73","34656424","34656424","34656424","73","73","73","35180704","35180704","35180704"
"38","113","113","113","31205496","31205496","31205496","75","75","75","29938048","29938048","29938048","75","75","75","30462328","30462328","30462328","113","113","113","34884000","34884000","34884000","113","113","113","40017490","40017490","40017490","75","75","75","38326356","38326356","38326356","75","75","75","40423506","40423506","40423506","75","75","75","42520650","42520650","42520650","75","75","75","34656424","34656424","34656424","75","75","75","35180704","35180704","35180704"
"39","116","116","116","31198072","31198072","31198072","77","77","77","29938048","29938048","29938048","77","77","77","30462328","30462328","30462328","116","116","116","34878624","34878624","34878624","116","116","116","40014930","40014930","40014930","77","77","77","38326356","38326356","38326356","77","77","77","40423506","40423506","40423506","77","77","77","42520650","42520650","42520650","77","77","77","34656424","34656424","34656424","77","77","77","35180704","35180704","35180704"
"40","119","119","119","31191160","31191160","31191160","79","79","79","29938048","29938048","29938048","79","79","79","30462328","30462328","30462328","119","119","119","34872480","34872480","34872480","119","119","119","40014930","40014930","40014930","79","79","79","38326356","38326356","38326356","79","79","79","40423506","40423506","40423506","79","79","79","42520650","42520650","42520650","79","79","79","34656424","34656424","34656424","79","79","79","35180704","35180704","35180704"
"41","122","122","122","31183992","31183992","31183992","81","81","81","29938048","29938048","29938048","81","81","81","30462328","30462328","30462328","122","122","122","34865824","34865824","34865824","122","122","122","40013906","40013906","40013906","81","81","81","38326356","38326356","38326356","81","81","81","40423506","40423506","40423506","81","81","81","42520650","42520650","42520650","81","81","81","34656424","34656424","34656424","81","81","81","35180704","35180704","35180704"
"42","125","125","125","31168376","31168376","31168376","83","83","83","29938048","29938048","29938048","83","83","83","30462328","30462328","30462328","125","125","125","34860960","34860960","34860960","125","125","125","40013906","40013906","40013906","83","83","83","38326356","38326356","38326356","83","83","83","40423506","40423506","40423506","83","83","83","42520650","42520650","42520650","83","83","83","34656424","34656424","34656424","83","83","83","35180704","35180704","35180704"
"43","128","128","128","31157880","31157880","31157880","85","85","85","29938048","29938048","29938048","85","85","85","30462328","30462328","30462328","128","128","128","34852000","34852000","34852000","128","128","128","40013906","40013906","40013906","85","85","85","38326356","38326356","38326356","85","85","85","40423506","40423506","40423506","85","85","85","42520650","42520650","42520650","85","85","85","34656424","34656424","34656424","85","85","85","35180704","35180704","35180704"
"44","131","131","131","31143544","31143544","31143544","87","87","87","29938048","29938048","29938048","87","87","87","30462328","30462328","30462328","131","131","131","34847136","34847136","34847136","131","131","131","40010322","40010322","40010322","87","87","87","38326356","38326356","38326356","87","87","87","40423506","40423506","40423506","87","87","87","42520650","42520650","42520650","87","87","87","34656424","34656424","34656424","87","87","87","35180704","35180704","35180704"
"45","134","134","134","31138680","31138680","31138680","89","89","89","29938048","29938048","29938048","89","89","89","30462328","30462328","30462328","134","134","134","34846112","34846112","34846112","134","134","134","40010322","40010322","40010322","89","89","89","38326356","38326356","38326356","89","89","89","40423506","40423506","40423506","89","89","89","42520650","42520650","42520650","89","89","89","34656424","34656424","34656424","89","89","89","35180704","35180704","35180704"
"46","137","137","137","31132280","31132280","31132280","91","91","91","29938048","29938048","29938048","91","91","91","30462328","30462328","30462328","137","137","137","34845088","34845088","34845088","137","137","137","40010322","40010322","40010322","91","91","91","38326356","38326356","38326356","91","91","91","40423506","40423506","40423506","91","91","91","42520650","42520650","42520650","91","91","91","34656424","34656424","34656424","91","91","91","35180704","35180704","35180704"
"47","140","140","140","31127160","31127160","31127160","93","93","93","29938048","29938048","29938048","93","93","93","30462328","30462328","30462328","140","140","140","34835360","34835360","34835360","140","140","140","40010322","40010322","40010322","93","93","93","38326356","38326356","38326356","93","93","93","40423506","40423506","40423506","93","93","93","42520650","42520650","42520650","93","93","93","34656424","34656424","34656424","93","93","93","35180704","35180704","35180704"
"48","143","143","143","31120760","31120760","31120760","95","95","95","29938048","29938048","29938048","95","95","95","30462328","30462328","30462328","143","143","143","34833056","34833056","34833056","143","143","143","40009298","40009298","40009298","95","95","95","38326356","38326356","38326356","95","95","95","40423506","40423506","40423506","95","95","95","42520650","42520650","42520650","95","95","95","34656424","34656424","34656424","95","95","95","35180704","35180704","35180704"
"49","146","146","146","31114360","31114360","31114360","97","97","97","29938048","29938048","29938048","97","97","97","30462328","30462328","30462328","146","146","146","34821792","34821792","34821792","146","146","146","40009298","40009298","40009298","97","97","97","38326356","38326356","38326356","97","97","97","40423506","40423506","40423506","97","97","97","42520650","42520650","42520650","97","97","97","34656424","34656424","34656424","97","97","97","35180704","35180704","35180704"
"50","149","149","149","31103608","31103608","31103608","99","99","99","29938048","29938048","29938048","99","99","99","30462328","30462328","30462328","149","149","149","34816672","34816672","34816672","149","149","149","40009298","40009298","40009298","99","99","99","38326356","38326356","38326356","99","99","99","40423506","40423506","40423506","99","99","99","42520650","42520650","42520650","99","99","99","34656424","34656424","34656424","99","99","99","35180704","35180704","35180704"
"51","152","152","152","31098232","31098232","31098232","101","101","101","29938048","29938048","29938048","101","101","101","30462328","30462328","30462328","152","152","152","34810528","34810528","34810528","152","152","152","40008274","40008274","40008274","101","101","101","38326356","38326356","38326356","101","101","101","40423506","40423506","40423506","101","101","101","42520650","42520650","42520650","101","101","101","34656424","34656424","34656424","101","101","101","35180704","35180704","35180704"
"52","155","155","155","31089784","31089784","31089784","103","103","103","29938048","29938048","29938048","103","103","103","30462328","30462328","30462328","155","155","155","34805664","34805664","34805664","155","155","155","40007250","40007250","40007250","103","103","103","38326356","38326356","38326356","103","103","103","40423506","40423506","40423506","103","103","103","42520650","42520650","42520650","103","103","103","34656424","34656424","34656424","103","103","103","35180704","35180704","35180704"
"53","158","158","158","31081848","31081848","31081848","105","105","105","29938048","29938048","29938048","105","105","105","30462328","30462328","30462328","158","158","158","34801568","34801568","34801568","158","158","158","40007250","40007250","40007250","105","105","105","38326356","38326356","38326356","105","105","105","40423506","40423506","40423506","105","105","105","42520650","42520650","42520650","105","105","105","34656424","34656424","34656424","105","105","105","35180704","35180704","35180704"
"54","161","161","161","31073400","31073400","31073400","107","107","107","29938048","29938048","29938048","107","107","107","30462328","30462328","30462328","161","161","161","34794912","34794912","34794912","161","161","161","40002130","40002130","40002130","107","107","107","38326356","38326356","38326356","107","107","107","40423506","40423506","40423506","107","107","107","42520650","42520650","42520650","107","107","107","34656424","34656424","34656424","107","107","107","35180704","35180704","35180704"
"55","164","164","164","31056760","31056760","31056760","109","109","109","29938048","29938048","29938048","109","109","109","30462328","30462328","30462328","164","164","164","34789792","34789792","34789792","164","164","164","40002130","40002130","40002130","109","109","109","38326356","38326356","38326356","109","109","109","40423506","40423506","40423506","109","109","109","42520650","42520650","42520650","109","109","109","34656424","34656424","34656424","109","109","109","35180704","35180704","35180704"
"56","167","167","167","31046520","31046520","31046520","111","111","111","29938048","29938048","29938048","111","111","111","30462328","30462328","30462328","167","167","167","34784416","34784416","34784416","167","167","167","39998546","39998546","39998546","111","111","111","38326356","38326356","38326356","111","111","111","40423506","40423506","40423506","111","111","111","42520650","42520650","42520650","111","111","111","34656424","34656424","34656424","111","111","111","35180704","35180704","35180704"
"57","170","170","170","31040376","31040376","31040376","113","113","113","29938048","29938048","29938048","113","113","113","30462328","30462328","30462328","170","170","170","34781344","34781344","34781344","170","170","170","39998546","39998546","39998546","113","113","113","38326356","38326356","38326356","113","113","113","40423506","40423506","40423506","113","113","113","42520650","42520650","42520650","113","113","113","34656424","34656424","34656424","113","113","113","35180704","35180704","35180704"
"58","173","173","173","31032952","31032952","31032952","115","115","115","29938048","29938048","29938048","115","115","115","30462328","30462328","30462328","173","173","173","34775456","34775456","34775456","173","173","173","39996498","39996498","39996498","115","115","115","38326356","38326356","38326356","115","115","115","40423506","40423506","40423506","115","115","115","42520650","42520650","42520650","115","115","115","34656424","34656424","34656424","115","115","115","35180704","35180704","35180704"
"59","176","176","176","31020152","31020152","31020152","117","117","117","29938048","29938048","29938048","117","117","117","30462328","30462328","30462328","176","176","176","34773920","34773920","34773920","176","176","176","39996498","39996498","39996498","117","117","117","38326356","38326356","38326356","117","117","117","40423506","40423506","40423506","117","117","117","42520650","42520650","42520650","117","117","117","34656424","34656424","34656424","117","117","117","35180704","35180704","35180704"
"60","179","179","179","31010168","31010168","31010168","119","119","119","29938048","29938048","29938048","119","119","119","30462328","30462328","30462328","179","179","179","34767776","34767776","34767776","179","179","179","39996498","39996498","39996498","119","119","119","38326356","38326356","38326356","119","119","119","40423506","40423506","40423506","119","119","119","42520650","42520650","42520650","119","119","119","34656424","34656424","34656424","119","119","119","35180704","35180704","35180704"
"61","182","182","182","30996344","30996344","30996344","121","121","121","29938048","29938048","29938048","121","121","121","30462328","30462328","30462328","182","182","182","34760864","34760864","34760864","182","182","182","39990354","39990354","39990354","121","121","121","38326356","38326356","38326356","121","121","121","40423506","40423506","40423506","121","121","121","42520650","42520650","42520650","121","121","121","34656424","34656424","34656424","121","121","121","35180704","35180704","35180704"
"62","185","185","185","30989176","30989176","30989176","123","123","123","29938048","29938048","29938048","123","123","123","30462328","30462328","30462328","185","185","185","34747808","34747808","34747808","185","185","185","39989330","39989330","39989330","123","123","123","38326356","38326356","38326356","123","123","123","40423506","40423506","40423506","123","123","123","42520650","42520650","42520650","123","123","123","34656424","34656424","34656424","123","123","123","35180704","35180704","35180704"
"63","188","188","188","30977400","30977400","30977400","125","125","125","29938048","29938048","29938048","125","125","125","30462328","30462328","30462328","188","188","188","34742176","34742176","34742176","188","188","188","39983186","39983186","39983186","125","125","125","38326356","38326356","38326356","125","125","125","40423506","40423506","40423506","125","125","125","42520650","42520650","42520650","125","125","125","34656424","34656424","34656424","125","125","125","35180704","35180704","35180704"
"64","191","191","191","30967160","30967160","30967160","127","127","127","29938048","29938048","29938048","127","127","127","30462328","30462328","30462328","191","191","191","34740896","34740896","34740896","191","191","191","39983186","39983186","39983186","127","127","127","38326356","38326356","38326356","127","127","127","40423506","40423506","40423506","127","127","127","42520650","42520650","42520650","127","127","127","34656424","34656424","34656424","127","127","127","35180704","35180704","35180704"
"65","194","194","194","30954104","30954104","30954104","129","129","129","29938048","29938048","29938048","129","129","129","30462328","30462328","30462328","194","194","194","34737312","34737312","34737312","194","194","194","39982162","39982162","39982162","129","129","129","38326356","38326356","38326356","129","129","129","40423506","40423506","40423506","129","129","129","42520650","42520650","42520650","129","129","129","34656424","34656424","34656424","129","129","129","35180704","35180704","35180704"
"66","197","197","197","30941048","30941048","30941048","131","131","131","29938048","29938048","29938048","131","131","131","30462328","30462328","30462328","197","197","197","34733984","34733984","34733984","197","197","197","39979602","39979602","39979602","131","131","131","38326356","38326356","38326356","131","131","131","40423506","40423506","40423506","131","131","131","42520650","42520650","42520650","131","131","131","34656424","34656424","34656424","131","131","131","35180704","35180704","35180704"
"67","200","200","200","30933368","30933368","30933368","133","133","133","29938048","29938048","29938048","133","133","133","30462328","30462328","30462328","200","200","200","34730400","34730400","34730400","200","200","200","39973458","39973458","39973458","133","133","133","38326356","38326356","38326356","133","133","133","40423506","40423506","40423506","133","133","133","42520650","42520650","42520650","133","133","133","34656424","34656424","34656424","133","133","133","35180704","35180704","35180704"
"68","203","203","203","30919032","30919032","30919032","135","135","135","29938048","29938048","29938048","135","135","135","30462328","30462328","30462328","203","203","203","34724768","34724768","34724768","203","203","203","39973458","39973458","39973458","135","135","135","38326356","38326356","38326356","135","135","135","40423506","40423506","40423506","135","135","135","42520650","42520650","42520650","135","135","135","34656424","34656424","34656424","135","135","135","35180704","35180704","35180704"
"69","206","206","206","30914936","30914936","30914936","137","137","137","29938048","29938048","29938048","137","137","137","30462328","30462328","30462328","206","206","206","34719648","34719648","34719648","206","206","206","39973458","39973458","39973458","137","137","137","38326356","38326356","38326356","137","137","137","40423506","40423506","40423506","137","137","137","42520650","42520650","42520650","137","137","137","34656424","34656424","34656424","137","137","137","35180704","35180704","35180704"
"70","209","209","209","30905976","30905976","30905976","139","139","139","29938048","29938048","29938048","139","139","139","30462328","30462328","30462328","209","209","209","34709664","34709664","34709664","209","209","209","39970898","39970898","39970898","139","139","139","38326356","38326356","38326356","139","139","139","40423506","40423506","40423506","139","139","139","42520650","42520650","42520650","139","139","139","34656424","34656424","34656424","139","139","139","35180704","35180704","35180704"
"71","212","212","212","30897272","30897272","30897272","141","141","141","29938048","29938048","29938048","141","141","141","30462328","30462328","30462328","212","212","212","34703264","34703264","34703264","212","212","212","39970898","39970898","39970898","141","141","141","38326356","38326356","38326356","141","141","141","40423506","40423506","40423506","141","141","141","42520650","42520650","42520650","141","141","141","34656424","34656424","34656424","141","141","141","35180704","35180704","35180704"
"72","215","215","215","30886264","30886264","30886264","143","143","143","29938048","29938048","29938048","143","143","143","30462328","30462328","30462328","215","215","215","34699168","34699168","34699168","215","215","215","39969874","39969874","39969874","143","143","143","38326356","38326356","38326356","143","143","143","40423506","40423506","40423506","143","143","143","42520650","42520650","42520650","143","143","143","34656424","34656424","34656424","143","143","143","35180704","35180704","35180704"
"73","218","218","218","30875256","30875256","30875256","145","145","145","29938048","29938048","29938048","145","145","145","30462328","30462328","30462328","218","218","218","34693792","34693792","34693792","218","218","218","39964754","39964754","39964754","145","145","145","38326356","38326356","38326356","145","145","145","40423506","40423506","40423506","145","145","145","42520650","42520650","42520650","145","145","145","34656424","34656424","34656424","145","145","145","35180704","35180704","35180704"
"74","221","221","221","30864504","30864504","30864504","147","147","147","29938048","29938048","29938048","147","147","147","30462328","30462328","30462328","221","221","221","34688928","34688928","34688928","221","221","221","39964754","39964754","39964754","147","147","147","38326356","38326356","38326356","147","147","147","40423506","40423506","40423506","147","147","147","42520650","42520650","42520650","147","147","147","34656424","34656424","34656424","147","147","147","35180704","35180704","35180704"
"75","224","224","224","30857848","30857848","30857848","149","149","149","29938048","29938048","29938048","149","149","149","30462328","30462328","30462328","224","224","224","34687392","34687392","34687392","224","224","224","39957074","39957074","39957074","149","149","149","38326356","38326356","38326356","149","149","149","40423506","40423506","40423506","149","149","149","42520650","42520650","42520650","149","149","149","34656424","34656424","34656424","149","149","149","35180704","35180704","35180704"
"76","227","227","227","30844536","30844536","30844536","151","151","151","29938048","29938048","29938048","151","151","151","30462328","30462328","30462328","227","227","227","34676384","34676384","34676384","227","227","227","39957074","39957074","39957074","151","151","151","38326356","38326356","38326356","151","151","151","40423506","40423506","40423506","151","151","151","42520650","42520650","42520650","151","151","151","34656424","34656424","34656424","151","151","151","35180704","35180704","35180704"
"77","230","230","230","30838648","30838648","30838648","153","153","153","29938048","29938048","29938048","153","153","153","30462328","30462328","30462328","230","230","230","34675104","34675104","34675104","230","230","230","39957074","39957074","39957074","153","153","153","38326356","38326356","38326356","153","153","153","40423506","40423506","40423506","153","153","153","42520650","42520650","42520650","153","153","153","34656424","34656424","34656424","153","153","153","35180704","35180704","35180704"
"78","233","233","233","30823800","30823800","30823800","155","155","155","29938048","29938048","29938048","155","155","155","30462328","30462328","30462328","233","233","233","34666912","34666912","34666912","233","233","233","39956050","39956050","39956050","155","155","155","38326356","38326356","38326356","155","155","155","40423506","40423506","40423506","155","155","155","42520650","42520650","42520650","155","155","155","34656424","34656424","34656424","155","155","155","35180704","35180704","35180704"
"79","236","236","236","30818168","30818168","30818168","157","157","157","29938048","29938048","29938048","157","157","157","30462328","30462328","30462328","236","236","236","34659488","34659488","34659488","236","236","236","39956050","39956050","39956050","157","157","157","38326356","38326356","38326356","157","157","157","40423506","40423506","40423506","157","157","157","42520650","42520650","42520650","157","157","157","34656424","34656424","34656424","157","157","157","35180704","35180704","35180704"
"80","239","239","239","30814840","30814840","30814840","159","159","159","29938048","29938048","29938048","159","159","159","30462328","30462328","30462328","239","239","239","34656672","34656672","34656672","239","239","239","39952978","39952978","39952978","159","159","159","38326356","38326356","38326356","159","159","159","40423506","40423506","40423506","159","159","159","42520650","42520650","42520650","159","159","159","34656424","34656424","34656424","159","159","159","35180704","35180704","35180704"
"81","242","242","242","30804088","30804088","30804088","161","161","161","29938048","29938048","29938048","161","161","161","30462328","30462328","30462328","242","242","242","34650016","34650016","34650016","242","242","242","39950418","39950418","39950418","161","161","161","38326356","38326356","38326356","161","161","161","40423506","40423506","40423506","161","161","161","42520650","42520650","42520650","161","161","161","34656424","34656424","34656424","161","161","161","35180704","35180704","35180704"
"82","245","245","245","30794872","30794872","30794872","163","163","163","29938048","29938048","29938048","163","163","163","30462328","30462328","30462328","245","245","245","34640800","34640800","34640800","245","245","245","39947858","39947858","39947858","163","163","163","38326356","38326356","38326356","163","163","163","40423506","40423506","40423506","163","163","163","42520650","42520650","42520650","163","163","163","34656424","34656424","34656424","163","163","163","35180704","35180704","35180704"
"83","248","248","248","30780280","30780280","30780280","165","165","165","29938048","29938048","29938048","165","165","165","30462328","30462328","30462328","248","248","248","34632352","34632352","34632352","248","248","248","39947858","39947858","39947858","165","165","165","38326356","38326356","38326356","165","165","165","40423506","40423506","40423506","165","165","165","42520650","42520650","42520650","165","165","165","34656424","34656424","34656424","165","165","165","35180704","35180704","35180704"
"84","251","251","251","30772344","30772344","30772344","167","167","167","29938048","29938048","29938048","167","167","167","30462328","30462328","30462328","251","251","251","34618272","34618272","34618272","251","251","251","39947858","39947858","39947858","167","167","167","38326356","38326356","38326356","167","167","167","40423506","40423506","40423506","167","167","167","42520650","42520650","42520650","167","167","167","34656424","34656424","34656424","167","167","167","35180704","35180704","35180704"
"85","254","254","254","30752376","30752376","30752376","169","169","169","29938048","29938048","29938048","169","169","169","30462328","30462328","30462328","254","254","254","34609312","34609312","34609312","254","254","254","39946834","39946834","39946834","169","169","169","38326356","38326356","38326356","169","169","169","40423506","40423506","40423506","169","169","169","42520650","42520650","42520650","169","169","169","34656424","34656424","34656424","169","169","169","35180704","35180704","35180704"
"86","257","257","257","30741624","30741624","30741624","171","171","171","29938048","29938048","29938048","171","171","171","30462328","30462328","30462328","257","257","257","34608032","34608032","34608032","257","257","257","39939666","39939666","39939666","171","171","171","38326356","38326356","38326356","171","171","171","40423506","40423506","40423506","171","171","171","42520650","42520650","42520650","171","171","171","34656424","34656424","34656424","171","171","171","35180704","35180704","35180704"
"87","260","260","260","30732920","30732920","30732920","173","173","173","29938048","29938048","29938048","173","173","173","30462328","30462328","30462328","260","260","260","34601888","34601888","34601888","260","260","260","39939666","39939666","39939666","173","173","173","38326356","38326356","38326356","173","173","173","40423506","40423506","40423506","173","173","173","42520650","42520650","42520650","173","173","173","34656424","34656424","34656424","173","173","173","35180704","35180704","35180704"
"88","263","263","263","30722424","30722424","30722424","175","175","175","29938048","29938048","29938048","175","175","175","30462328","30462328","30462328","263","263","263","34596256","34596256","34596256","263","263","263","39939666","39939666","39939666","175","175","175","38326356","38326356","38326356","175","175","175","40423506","40423506","40423506","175","175","175","42520650","42520650","42520650","175","175","175","34656424","34656424","34656424","175","175","175","35180704","35180704","35180704"
"89","266","266","266","30712440","30712440","30712440","177","177","177","29938048","29938048","29938048","177","177","177","30462328","30462328","30462328","266","266","266","34590880","34590880","34590880","266","266","266","39939666","39939666","39939666","177","177","177","38326356","38326356","38326356","177","177","177","40423506","40423506","40423506","177","177","177","42520650","42520650","42520650","177","177","177","34656424","34656424","34656424","177","177","177","35180704","35180704","35180704"
"90","269","269","269","30705272","30705272","30705272","179","179","179","29938048","29938048","29938048","179","179","179","30462328","30462328","30462328","269","269","269","34581920","34581920","34581920","269","269","269","39933522","39933522","39933522","179","179","179","38326356","38326356","38326356","179","179","179","40423506","40423506","40423506","179","179","179","42520650","42520650","42520650","179","179","179","34656424","34656424","34656424","179","179","179","35180704","35180704","35180704"
"91","272","272","272","30692984","30692984","30692984","181","181","181","29938048","29938048","29938048","181","181","181","30462328","30462328","30462328","272","272","272","34570400","34570400","34570400","272","272","272","39930962","39930962","39930962","181","181","181","38326356","38326356","38326356","181","181","181","40423506","40423506","40423506","181","181","181","42520650","42520650","42520650","181","181","181","34656424","34656424","34656424","181","181","181","35180704","35180704","35180704"
"92","275","275","275","30675576","30675576","30675576","183","183","183","29938048","29938048","29938048","183","183","183","30462328","30462328","30462328","275","275","275","34558624","34558624","34558624","275","275","275","39930962","39930962","39930962","183","183","183","38326356","38326356","38326356","183","183","183","40423506","40423506","40423506","183","183","183","42520650","42520650","42520650","183","183","183","34656424","34656424","34656424","183","183","183","35180704","35180704","35180704"
"93","278","278","278","30661240","30661240","30661240","185","185","185","29938048","29938048","29938048","185","185","185","30462328","30462328","30462328","278","278","278","34544032","34544032","34544032","278","278","278","39929938","39929938","39929938","185","185","185","38326356","38326356","38326356","185","185","185","40423506","40423506","40423506","185","185","185","42520650","42520650","42520650","185","185","185","34656424","34656424","34656424","185","185","185","35180704","35180704","35180704"
"94","281","281","281","30652536","30652536","30652536","187","187","187","29938048","29938048","29938048","187","187","187","30462328","30462328","30462328","281","281","281","34530208","34530208","34530208","281","281","281","39925842","39925842","39925842","187","187","187","38326356","38326356","38326356","187","187","187","40423506","40423506","40423506","187","187","187","42520650","42520650","42520650","187","187","187","34656424","34656424","34656424","187","187","187","35180704","35180704","35180704"
"95","284","284","284","30642040","30642040","30642040","189","189","189","29938048","29938048","29938048","189","189","189","30462328","30462328","30462328","284","284","284","34526112","34526112","34526112","284","284","284","39924818","39924818","39924818","189","189","189","38326356","38326356","38326356","189","189","189","40423506","40423506","40423506","189","189","189","42520650","42520650","42520650","189","189","189","34656424","34656424","34656424","189","189","189","35180704","35180704","35180704"
"96","287","287","287","30634872","30634872","30634872","191","191","191","29938048","29938048","29938048","191","191","191","30462328","30462328","30462328","287","287","287","34517664","34517664","34517664","287","287","287","39924818","39924818","39924818","191","191","191","38326356","38326356","38326356","191","191","191","40423506","40423506","40423506","191","191","191","42520650","42520650","42520650","191","191","191","34656424","34656424","34656424","191","191","191","35180704","35180704","35180704"
"97","290","290","290","30622584","30622584","30622584","193","193","193","29938048","29938048","29938048","193","193","193","30462328","30462328","30462328","290","290","290","34512800","34512800","34512800","290","290","290","39923794","39923794","39923794","193","193","193","38326356","38326356","38326356","193","193","193","40423506","40423506","40423506","193","193","193","42520650","42520650","42520650","193","193","193","34656424","34656424","34656424","193","193","193","35180704","35180704","35180704"
"98","293","293","293","30616440","30616440","30616440","195","195","195","29938048","29938048","29938048","195","195","195","30462328","30462328","30462328","293","293","293","34505888","34505888","34505888","293","293","293","39920210","39920210","39920210","195","195","195","38326356","38326356","38326356","195","195","195","40423506","40423506","40423506","195","195","195","42520650","42520650","42520650","195","195","195","34656424","34656424","34656424","195","195","195","35180704","35180704","35180704"
"99","296","296","296","30610296","30610296","30610296","197","197","197","29938048","29938048","29938048","197","197","197","30462328","30462328","30462328","296","296","296","34502816","34502816","34502816","296","296","296","39920210","39920210","39920210","197","197","197","38326356","38326356","38326356","197","197","197","40423506","40423506","40423506","197","197","197","42520650","42520650","42520650","197","197","197","34656424","34656424","34656424","197","197","197","35180704","35180704","35180704"
