"epoch","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MIN","LR-MTL[T=43,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MIN","LR-MTL[T=16,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - _step__MAX","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MIN","LR-MTL[T=4,lambda_ce=0.70]-Resnet101-CIFAR10-25 - h_dict.total__MAX"
"49","144","144","144","11764","11764","11764","144","144","144","5746","5746","5746","144","144","144","1478","1478","1478"
"50","147","147","147","11755","11755","11755","147","147","147","5742","5742","5742","147","147","147","1476","1476","1476"
"51","150","150","150","11744","11744","11744","150","150","150","5738","5738","5738","150","150","150","1472","1472","1472"
"52","153","153","153","11731","11731","11731","153","153","153","5731","5731","5731","153","153","153","1470","1470","1470"
"53","156","156","156","11722","11722","11722","156","156","156","5723","5723","5723","156","156","156","1468","1468","1468"
"54","159","159","159","11709","11709","11709","159","159","159","5718","5718","5718","159","159","159","1467","1467","1467"
"55","162","162","162","11699","11699","11699","162","162","162","5707","5707","5707","162","162","162","1465","1465","1465"
"56","165","165","165","11687","11687","11687","165","165","165","5702","5702","5702","165","165","165","1463","1463","1463"
"57","168","168","168","11675","11675","11675","168","168","168","5696","5696","5696","168","168","168","1463","1463","1463"
"58","171","171","171","11664","11664","11664","171","171","171","5691","5691","5691","171","171","171","1460","1460","1460"
"59","174","174","174","11649","11649","11649","174","174","174","5686","5686","5686","174","174","174","1458","1458","1458"
"60","177","177","177","11643","11643","11643","177","177","177","5680","5680","5680","177","177","177","1456","1456","1456"
"61","180","180","180","11633","11633","11633","180","180","180","5674","5674","5674","180","180","180","1455","1455","1455"
"62","183","183","183","11622","11622","11622","183","183","183","5669","5669","5669","183","183","183","1454","1454","1454"
"63","186","186","186","11609","11609","11609","186","186","186","5664","5664","5664","186","186","186","1453","1453","1453"
"64","189","189","189","11598","11598","11598","189","189","189","5659","5659","5659","189","189","189","1453","1453","1453"
"65","192","192","192","11592","11592","11592","192","192","192","5657","5657","5657","192","192","192","1450","1450","1450"
"66","195","195","195","11586","11586","11586","195","195","195","5652","5652","5652","195","195","195","1448","1448","1448"
"67","198","198","198","11580","11580","11580","198","198","198","5650","5650","5650","198","198","198","1446","1446","1446"
"68","201","201","201","11569","11569","11569","201","201","201","5644","5644","5644","201","201","201","1445","1445","1445"
"69","204","204","204","11561","11561","11561","204","204","204","5641","5641","5641","204","204","204","1445","1445","1445"
"70","207","207","207","11553","11553","11553","207","207","207","5636","5636","5636","207","207","207","1441","1441","1441"
"71","210","210","210","11547","11547","11547","210","210","210","5634","5634","5634","210","210","210","1439","1439","1439"
"72","213","213","213","11532","11532","11532","213","213","213","5631","5631","5631","213","213","213","1438","1438","1438"
"73","216","216","216","11525","11525","11525","216","216","216","5623","5623","5623","216","216","216","1438","1438","1438"
"74","219","219","219","11515","11515","11515","219","219","219","5616","5616","5616","219","219","219","1437","1437","1437"
"75","222","222","222","11503","11503","11503","222","222","222","5609","5609","5609","222","222","222","1437","1437","1437"
"76","225","225","225","11485","11485","11485","225","225","225","5600","5600","5600","225","225","225","1433","1433","1433"
