"Step","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy__MAX","Resnet101-CIFAR10-25 - val_accuracy","Resnet101-CIFAR10-25 - val_accuracy__MIN","Resnet101-CIFAR10-25 - val_accuracy__MAX"
"18","33.81","33.81","33.81","39.72","39.72","39.72","45.54","45.54","45.54","23.75","23.75","23.75","65.23","65.23","65.23","56.27","56.27","56.27","60.58","60.58","60.58","55.3","55.3","55.3","55.04","55.04","55.04","59.88","59.88","59.88"
"19","42.32","42.32","42.32","47.3","47.3","47.3","44.33","44.33","44.33","21.23","21.23","21.23","67.27","67.27","67.27","59.43","59.43","59.43","62.59","62.59","62.59","62.4","62.4","62.4","59.33","59.33","59.33","58.48","58.48","58.48"
"20","37.29","37.29","37.29","47.38","47.38","47.38","53.31","53.31","53.31","16.02","16.02","16.02","66.81","66.81","66.81","62.22","62.22","62.22","64.52","64.52","64.52","56.88","56.88","56.88","53.84","53.84","53.84","58.94","58.94","58.94"
"21","45.72","45.72","45.72","47.72","47.72","47.72","47.69","47.69","47.69","21.36","21.36","21.36","66.85","66.85","66.85","59.23","59.23","59.23","66.39","66.39","66.39","62.94","62.94","62.94","61.31","61.31","61.31","60.29","60.29","60.29"
"22","43.91","43.91","43.91","52.05","52.05","52.05","52.81","52.81","52.81","24.76","24.76","24.76","67.04","67.04","67.04","61.87","61.87","61.87","65.95","65.95","65.95","65","65","65","60.44","60.44","60.44","63.63","63.63","63.63"
"23","39.32","39.32","39.32","51.12","51.12","51.12","51.61","51.61","51.61","24.36","24.36","24.36","67.08","67.08","67.08","59.57","59.57","59.57","63.13","63.13","63.13","62.52","62.52","62.52","61.63","61.63","61.63","61.91","61.91","61.91"
"24","44.53","44.53","44.53","52.43","52.43","52.43","54.65","54.65","54.65","23.02","23.02","23.02","65.48","65.48","65.48","62.78","62.78","62.78","66.26","66.26","66.26","66.53","66.53","66.53","61.42","61.42","61.42","61.79","61.79","61.79"
"25","47.51","47.51","47.51","49.87","49.87","49.87","59.81","59.81","59.81","26.51","26.51","26.51","68.29","68.29","68.29","66.11","66.11","66.11","55.25","55.25","55.25","63.85","63.85","63.85","53.57","53.57","53.57","59.75","59.75","59.75"
"26","47.3","47.3","47.3","47.5","47.5","47.5","54.88","54.88","54.88","27.26","27.26","27.26","64.73","64.73","64.73","62.25","62.25","62.25","66.08","66.08","66.08","65.56","65.56","65.56","62.64","62.64","62.64","65.49","65.49","65.49"
"27","52.76","52.76","52.76","55.2","55.2","55.2","61.17","61.17","61.17","24.74","24.74","24.74","64.6","64.6","64.6","62.55","62.55","62.55","65.7","65.7","65.7","66.25","66.25","66.25","61.27","61.27","61.27","59.51","59.51","59.51"
"28","42.23","42.23","42.23","53.17","53.17","53.17","53.54","53.54","53.54","24.53","24.53","24.53","67.83","67.83","67.83","61.78","61.78","61.78","67.44","67.44","67.44","65.98","65.98","65.98","63.54","63.54","63.54","63.37","63.37","63.37"
"29","37.85","37.85","37.85","51.74","51.74","51.74","60.5","60.5","60.5","22.98","22.98","22.98","67.89","67.89","67.89","61.62","61.62","61.62","67.96","67.96","67.96","67.77","67.77","67.77","64.76","64.76","64.76","67.59","67.59","67.59"
"30","48.4","48.4","48.4","53.86","53.86","53.86","48.27","48.27","48.27","22.27","22.27","22.27","66.09","66.09","66.09","66.25","66.25","66.25","66.99","66.99","66.99","65.73","65.73","65.73","55.56","55.56","55.56","65.01","65.01","65.01"
