"Step","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=400]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=200]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=100]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MLConv[R=1]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=60]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=45]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=30]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=15]-Resnet101-CIFAR10-25 - val_accuracy__MAX","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy__MIN","MTL[T=3]-Resnet101-CIFAR10-25 - val_accuracy__MAX","Resnet101-CIFAR10-25 - val_accuracy","Resnet101-CIFAR10-25 - val_accuracy__MIN","Resnet101-CIFAR10-25 - val_accuracy__MAX"
"72","47.79","47.79","47.79","62.79","62.79","62.79","67.3","67.3","67.3","29.16","29.16","29.16","70.7","70.7","70.7","69.96","69.96","69.96","73.42","73.42","73.42","72.78","72.78","72.78","71.21","71.21","71.21","68.51","68.51","68.51"
"73","55.87","55.87","55.87","67.34","67.34","67.34","64.39","64.39","64.39","25.59","25.59","25.59","74.46","74.46","74.46","71.07","71.07","71.07","68.85","68.85","68.85","72.04","72.04","72.04","70.4","70.4","70.4","71.29","71.29","71.29"
"74","63.43","63.43","63.43","49.65","49.65","49.65","49.43","49.43","49.43","30.49","30.49","30.49","71.73","71.73","71.73","70.78","70.78","70.78","71.52","71.52","71.52","69.54","69.54","69.54","66.89","66.89","66.89","70.9","70.9","70.9"
"75","61.02","61.02","61.02","65.73","65.73","65.73","67.95","67.95","67.95","19.71","19.71","19.71","67.58","67.58","67.58","69.44","69.44","69.44","70.31","70.31","70.31","69.68","69.68","69.68","67.32","67.32","67.32","69.31","69.31","69.31"
"76","68.16","68.16","68.16","66.69","66.69","66.69","67.4","67.4","67.4","26.1","26.1","26.1","73.54","73.54","73.54","69.49","69.49","69.49","73.56","73.56","73.56","68.47","68.47","68.47","69.38","69.38","69.38","69.32","69.32","69.32"
"77","64.79","64.79","64.79","62.04","62.04","62.04","67.12","67.12","67.12","25.47","25.47","25.47","66.06","66.06","66.06","69.68","69.68","69.68","71.91","71.91","71.91","70.24","70.24","70.24","64.7","64.7","64.7","69.42","69.42","69.42"
"78","64.47","64.47","64.47","48.38","48.38","48.38","65.01","65.01","65.01","21.73","21.73","21.73","69.8","69.8","69.8","71.17","71.17","71.17","71.14","71.14","71.14","68.63","68.63","68.63","66.63","66.63","66.63","69.32","69.32","69.32"
"79","57.39","57.39","57.39","63.18","63.18","63.18","62.13","62.13","62.13","25.2","25.2","25.2","70.49","70.49","70.49","68.4","68.4","68.4","69.14","69.14","69.14","66.7","66.7","66.7","69.87","69.87","69.87","66.99","66.99","66.99"
"80","67.3","67.3","67.3","64.34","64.34","64.34","66.55","66.55","66.55","21.61","21.61","21.61","70.29","70.29","70.29","69.67","69.67","69.67","68.11","68.11","68.11","72.77","72.77","72.77","71.44","71.44","71.44","70.74","70.74","70.74"
"81","43.28","43.28","43.28","54.58","54.58","54.58","62.42","62.42","62.42","25.34","25.34","25.34","68.81","68.81","68.81","69.96","69.96","69.96","71.24","71.24","71.24","66.13","66.13","66.13","72.34","72.34","72.34","68.94","68.94","68.94"
"82","59.75","59.75","59.75","65.58","65.58","65.58","68.33","68.33","68.33","23.7","23.7","23.7","72.92","72.92","72.92","70.63","70.63","70.63","72.85","72.85","72.85","73.34","73.34","73.34","70.45","70.45","70.45","67.3","67.3","67.3"
"83","66.37","66.37","66.37","70.79","70.79","70.79","70.16","70.16","70.16","22.75","22.75","22.75","73.42","73.42","73.42","68.01","68.01","68.01","48.91","48.91","48.91","71.54","71.54","71.54","61.44","61.44","61.44","72.45","72.45","72.45"
"84","57.74","57.74","57.74","62.1","62.1","62.1","49.22","49.22","49.22","23.67","23.67","23.67","68.75","68.75","68.75","67.89","67.89","67.89","71.6","71.6","71.6","72.03","72.03","72.03","72.06","72.06","72.06","72.87","72.87","72.87"
"85","52.42","52.42","52.42","65.2","65.2","65.2","63.82","63.82","63.82","28.04","28.04","28.04","71.79","71.79","71.79","69.66","69.66","69.66","73.31","73.31","73.31","69.88","69.88","69.88","67.74","67.74","67.74","71.89","71.89","71.89"
"86","62.77","62.77","62.77","65.57","65.57","65.57","57.85","57.85","57.85","18.75","18.75","18.75","71.54","71.54","71.54","68.07","68.07","68.07","70.65","70.65","70.65","73.61","73.61","73.61","71.88","71.88","71.88","68.03","68.03","68.03"
"87","69.9","69.9","69.9","62.93","62.93","62.93","67.32","67.32","67.32","27.31","27.31","27.31","72.69","72.69","72.69","66.91","66.91","66.91","73.03","73.03","73.03","65.17","65.17","65.17","70.9","70.9","70.9","70.24","70.24","70.24"
"88","66.87","66.87","66.87","67.52","67.52","67.52","62.23","62.23","62.23","25.55","25.55","25.55","73.28","73.28","73.28","67.01","67.01","67.01","73.11","73.11","73.11","72.36","72.36","72.36","70.42","70.42","70.42","72.79","72.79","72.79"
"89","63.38","63.38","63.38","66.51","66.51","66.51","64.77","64.77","64.77","25.19","25.19","25.19","72.94","72.94","72.94","71.32","71.32","71.32","72.08","72.08","72.08","71.1","71.1","71.1","73.72","73.72","73.72","73.35","73.35","73.35"
"90","40.49","40.49","40.49","63.4","63.4","63.4","68.84","68.84","68.84","23.71","23.71","23.71","70.92","70.92","70.92","70.22","70.22","70.22","73.12","73.12","73.12","71.39","71.39","71.39","71.68","71.68","71.68","70.83","70.83","70.83"
"91","63.54","63.54","63.54","69.14","69.14","69.14","66.18","66.18","66.18","28.93","28.93","28.93","72.03","72.03","72.03","73.97","73.97","73.97","74.9","74.9","74.9","69.18","69.18","69.18","71.33","71.33","71.33","70.68","70.68","70.68"
"92","64.01","64.01","64.01","64.51","64.51","64.51","71.49","71.49","71.49","31.69","31.69","31.69","72.83","72.83","72.83","70.32","70.32","70.32","72.11","72.11","72.11","72.31","72.31","72.31","68.65","68.65","68.65","71.51","71.51","71.51"
"93","60.99","60.99","60.99","63.77","63.77","63.77","60.94","60.94","60.94","14.83","14.83","14.83","70.27","70.27","70.27","69.55","69.55","69.55","73.79","73.79","73.79","75.16","75.16","75.16","72.97","72.97","72.97","70.85","70.85","70.85"
"94","66.63","66.63","66.63","38.4","38.4","38.4","71.12","71.12","71.12","28.91","28.91","28.91","68.73","68.73","68.73","56.37","56.37","56.37","68.46","68.46","68.46","69.89","69.89","69.89","68.16","68.16","68.16","70.86","70.86","70.86"
"95","61.66","61.66","61.66","44.47","44.47","44.47","71.2","71.2","71.2","26.65","26.65","26.65","71.01","71.01","71.01","72.57","72.57","72.57","72.52","72.52","72.52","71.52","71.52","71.52","71.33","71.33","71.33","70.98","70.98","70.98"
"96","68.65","68.65","68.65","66.51","66.51","66.51","70.8","70.8","70.8","24.26","24.26","24.26","74.15","74.15","74.15","71.4","71.4","71.4","74.13","74.13","74.13","74.06","74.06","74.06","72.19","72.19","72.19","71.95","71.95","71.95"
"97","60.72","60.72","60.72","68.26","68.26","68.26","68.54","68.54","68.54","28.64","28.64","28.64","70.23","70.23","70.23","67.11","67.11","67.11","69.65","69.65","69.65","70.84","70.84","70.84","70.49","70.49","70.49","72.14","72.14","72.14"
"98","64.43","64.43","64.43","65.78","65.78","65.78","67.4","67.4","67.4","25.66","25.66","25.66","72.64","72.64","72.64","69.88","69.88","69.88","71.44","71.44","71.44","69.86","69.86","69.86","73.65","73.65","73.65","68.92","68.92","68.92"
"99","48.39","48.39","48.39","62.82","62.82","62.82","51.08","51.08","51.08","23.23","23.23","23.23","72.94","72.94","72.94","69.61","69.61","69.61","72.95","72.95","72.95","71.83","71.83","71.83","70.83","70.83","70.83","69.43","69.43","69.43"
"100","60.84","60.84","60.84","63.31","63.31","63.31","56.93","56.93","56.93","14.54","14.54","14.54","71.97","71.97","71.97","69.85","69.85","69.85","69.4","69.4","69.4","67.14","67.14","67.14","72.98","72.98","72.98","71.77","71.77","71.77"
