"Step","MTL[T=60]-Resnet101-CIFAR10 - val_accuracy","MTL[T=60]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=60]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=1]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=1]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=1]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=400]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=400]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=400]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=200]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=200]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=200]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=100]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=100]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=100]-Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=45]-Resnet101-CIFAR10 - val_accuracy","MTL[T=45]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=45]-Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=30]-Resnet101-CIFAR10 - val_accuracy","MTL[T=30]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=30]-Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=15]-Resnet101-CIFAR10 - val_accuracy","MTL[T=15]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=15]-Resnet101-CIFAR10 - val_accuracy__MAX","Resnet101-CIFAR10 - val_accuracy","Resnet101-CIFAR10 - val_accuracy__MIN","Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=3]-Resnet101-CIFAR10 - val_accuracy","MTL[T=3]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=3]-Resnet101-CIFAR10 - val_accuracy__MAX"
"19","65.95","65.95","65.95","25.97","25.97","25.97","47.93","47.93","47.93","53.21","53.21","53.21","62.8","62.8","62.8","64.58","64.58","64.58","69.47","69.47","69.47","70.48","70.48","70.48","68.11","68.11","68.11","66.64","66.64","66.64"
"20","71.61","71.61","71.61","26.77","26.77","26.77","62.44","62.44","62.44","60.18","60.18","60.18","55.39","55.39","55.39","65.2","65.2","65.2","68.56","68.56","68.56","70.79","70.79","70.79","65.29","65.29","65.29","61.69","61.69","61.69"
"21","72.74","72.74","72.74","22.26","22.26","22.26","58.39","58.39","58.39","57.74","57.74","57.74","66.02","66.02","66.02","68.48","68.48","68.48","66.48","66.48","66.48","68.23","68.23","68.23","69.29","69.29","69.29","67.22","67.22","67.22"
"22","70.6","70.6","70.6","25.99","25.99","25.99","59.79","59.79","59.79","60.74","60.74","60.74","64.8","64.8","64.8","71.99","71.99","71.99","72.03","72.03","72.03","71.17","71.17","71.17","69.48","69.48","69.48","67.73","67.73","67.73"
"23","73.41","73.41","73.41","21.76","21.76","21.76","35.43","35.43","35.43","55.2","55.2","55.2","63.5","63.5","63.5","71.86","71.86","71.86","67.95","67.95","67.95","65.55","65.55","65.55","70.92","70.92","70.92","67.87","67.87","67.87"
"24","70.85","70.85","70.85","24.47","24.47","24.47","58.38","58.38","58.38","56.35","56.35","56.35","63.39","63.39","63.39","70.71","70.71","70.71","72.1","72.1","72.1","71.34","71.34","71.34","70.95","70.95","70.95","68.22","68.22","68.22"
"25","67","67","67","21.21","21.21","21.21","65.85","65.85","65.85","60.23","60.23","60.23","64.67","64.67","64.67","70.73","70.73","70.73","71.81","71.81","71.81","70.8","70.8","70.8","71.62","71.62","71.62","71.01","71.01","71.01"
"26","70.98","70.98","70.98","24.03","24.03","24.03","51.34","51.34","51.34","65.55","65.55","65.55","63.17","63.17","63.17","65.08","65.08","65.08","70.83","70.83","70.83","68.71","68.71","68.71","68.88","68.88","68.88","64.79","64.79","64.79"
"27","72.21","72.21","72.21","25.45","25.45","25.45","64.83","64.83","64.83","64.33","64.33","64.33","67.71","67.71","67.71","71.96","71.96","71.96","70.77","70.77","70.77","72.45","72.45","72.45","71.35","71.35","71.35","71.87","71.87","71.87"
"28","73.18","73.18","73.18","17.83","17.83","17.83","49.21","49.21","49.21","49.84","49.84","49.84","54.75","54.75","54.75","68.92","68.92","68.92","73.57","73.57","73.57","72.51","72.51","72.51","70.13","70.13","70.13","66.25","66.25","66.25"
