"Step","MTL[T=60]-Resnet101-CIFAR10 - val_accuracy","MTL[T=60]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=60]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=1]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=1]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=1]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=400]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=400]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=400]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=200]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=200]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=200]-Resnet101-CIFAR10 - val_accuracy__MAX","MLConv[R=100]-Resnet101-CIFAR10 - val_accuracy","MLConv[R=100]-Resnet101-CIFAR10 - val_accuracy__MIN","MLConv[R=100]-Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=45]-Resnet101-CIFAR10 - val_accuracy","MTL[T=45]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=45]-Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=30]-Resnet101-CIFAR10 - val_accuracy","MTL[T=30]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=30]-Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=15]-Resnet101-CIFAR10 - val_accuracy","MTL[T=15]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=15]-Resnet101-CIFAR10 - val_accuracy__MAX","Resnet101-CIFAR10 - val_accuracy","Resnet101-CIFAR10 - val_accuracy__MIN","Resnet101-CIFAR10 - val_accuracy__MAX","MTL[T=3]-Resnet101-CIFAR10 - val_accuracy","MTL[T=3]-Resnet101-CIFAR10 - val_accuracy__MIN","MTL[T=3]-Resnet101-CIFAR10 - val_accuracy__MAX"
"79","67.75","67.75","67.75","25.06","25.06","25.06","61.85","61.85","61.85","68.02","68.02","68.02","67.29","67.29","67.29","68.13","68.13","68.13","69.12","69.12","69.12","74.61","74.61","74.61","71.18","71.18","71.18","72.21","72.21","72.21"
"80","72.45","72.45","72.45","29.09","29.09","29.09","60.25","60.25","60.25","67.93","67.93","67.93","65.36","65.36","65.36","73.15","73.15","73.15","70.97","70.97","70.97","73.83","73.83","73.83","73.13","73.13","73.13","70.08","70.08","70.08"
"81","69.57","69.57","69.57","18.53","18.53","18.53","72.62","72.62","72.62","66.69","66.69","66.69","72.89","72.89","72.89","71.4","71.4","71.4","70.58","70.58","70.58","71.75","71.75","71.75","59.92","59.92","59.92","71.61","71.61","71.61"
"82","73.87","73.87","73.87","28.93","28.93","28.93","33.25","33.25","33.25","62.1","62.1","62.1","72.17","72.17","72.17","70.07","70.07","70.07","73.35","73.35","73.35","70.85","70.85","70.85","71.3","71.3","71.3","72.4","72.4","72.4"
"83","73.71","73.71","73.71","28.09","28.09","28.09","28.44","28.44","28.44","66.95","66.95","66.95","65.16","65.16","65.16","73.15","73.15","73.15","69.45","69.45","69.45","74.74","74.74","74.74","69.29","69.29","69.29","57.97","57.97","57.97"
"84","71.67","71.67","71.67","26.94","26.94","26.94","60.59","60.59","60.59","34.99","34.99","34.99","68.66","68.66","68.66","74.07","74.07","74.07","71.01","71.01","71.01","64.1","64.1","64.1","72.12","72.12","72.12","68.34","68.34","68.34"
"85","71.04","71.04","71.04","20.12","20.12","20.12","31.1","31.1","31.1","67.29","67.29","67.29","68.18","68.18","68.18","73.54","73.54","73.54","74.27","74.27","74.27","72.93","72.93","72.93","66.01","66.01","66.01","51.99","51.99","51.99"
"86","73.06","73.06","73.06","26.21","26.21","26.21","58.88","58.88","58.88","59.31","59.31","59.31","43.1","43.1","43.1","74.67","74.67","74.67","72.87","72.87","72.87","67.85","67.85","67.85","73.31","73.31","73.31","69.97","69.97","69.97"
"87","63.94","63.94","63.94","18.29","18.29","18.29","45.68","45.68","45.68","53.01","53.01","53.01","62.25","62.25","62.25","73.4","73.4","73.4","71.02","71.02","71.02","71.87","71.87","71.87","71.29","71.29","71.29","70.54","70.54","70.54"
"88","72.81","72.81","72.81","22.52","22.52","22.52","45","45","45","59.83","59.83","59.83","64.76","64.76","64.76","71.69","71.69","71.69","72.73","72.73","72.73","72.75","72.75","72.75","69.66","69.66","69.66","74.46","74.46","74.46"
"89","66.19","66.19","66.19","26.45","26.45","26.45","38.89","38.89","38.89","19.35","19.35","19.35","62.29","62.29","62.29","72.58","72.58","72.58","71.46","71.46","71.46","72.08","72.08","72.08","72.31","72.31","72.31","73.45","73.45","73.45"
"90","72.97","72.97","72.97","17.77","17.77","17.77","38.31","38.31","38.31","58.65","58.65","58.65","63.6","63.6","63.6","69.92","69.92","69.92","72.62","72.62","72.62","70.9","70.9","70.9","74","74","74","74.28","74.28","74.28"
"91","73.8","73.8","73.8","20.34","20.34","20.34","64.55","64.55","64.55","57.79","57.79","57.79","61.96","61.96","61.96","66.58","66.58","66.58","71.81","71.81","71.81","69.28","69.28","69.28","66.83","66.83","66.83","74.26","74.26","74.26"
"92","72.5","72.5","72.5","29.19","29.19","29.19","49.25","49.25","49.25","65.65","65.65","65.65","61.97","61.97","61.97","72.65","72.65","72.65","73.82","73.82","73.82","74.91","74.91","74.91","74.13","74.13","74.13","73.63","73.63","73.63"
"93","67.62","67.62","67.62","24.95","24.95","24.95","60.05","60.05","60.05","63.16","63.16","63.16","70.02","70.02","70.02","74.08","74.08","74.08","74.89","74.89","74.89","73.17","73.17","73.17","72.36","72.36","72.36","70.79","70.79","70.79"
"94","73.34","73.34","73.34","20.33","20.33","20.33","37.84","37.84","37.84","16.23","16.23","16.23","35.39","35.39","35.39","74.09","74.09","74.09","71.85","71.85","71.85","69.4","69.4","69.4","71.28","71.28","71.28","72.21","72.21","72.21"
"95","70.56","70.56","70.56","21.09","21.09","21.09","46.89","46.89","46.89","70.1","70.1","70.1","64.02","64.02","64.02","73.8","73.8","73.8","73.67","73.67","73.67","67.18","67.18","67.18","68.16","68.16","68.16","70.08","70.08","70.08"
"96","73.92","73.92","73.92","19.93","19.93","19.93","27.8","27.8","27.8","64.56","64.56","64.56","47.88","47.88","47.88","73.25","73.25","73.25","71.4","71.4","71.4","74.04","74.04","74.04","71.16","71.16","71.16","69.62","69.62","69.62"
"97","73.26","73.26","73.26","23.12","23.12","23.12","42.92","42.92","42.92","60.85","60.85","60.85","68.37","68.37","68.37","68.83","68.83","68.83","72.9","72.9","72.9","66","66","66","63.34","63.34","63.34","55.8","55.8","55.8"
"98","71.62","71.62","71.62","25.81","25.81","25.81","14.86","14.86","14.86","52.56","52.56","52.56","72.38","72.38","72.38","72.27","72.27","72.27","75.08","75.08","75.08","73.28","73.28","73.28","68.18","68.18","68.18","71.82","71.82","71.82"
"99","70.56","70.56","70.56","23.19","23.19","23.19","65","65","65","63.76","63.76","63.76","56.06","56.06","56.06","73.96","73.96","73.96","75.42","75.42","75.42","76.92","76.92","76.92","73.63","73.63","73.63","73.4","73.4","73.4"
"100","73.25","73.25","73.25","25.63","25.63","25.63","66.61","66.61","66.61","47.58","47.58","47.58","63.59","63.59","63.59","66.31","66.31","66.31","70.54","70.54","70.54","66.68","66.68","66.68","70.46","70.46","70.46","70.81","70.81","70.81"
