"Step","MLConv[R=10]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=10]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=10]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1 - metrics/mAP50(B)","YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX"
"15","0.07375","0.07375","0.07375","0.20197","0.20197","0.20197","0","0","0","0.00712","0.00712","0.00712","0.00309","0.00309","0.00309","0.30124","0.30124","0.30124","0.29273","0.29273","0.29273","0.27451","0.27451","0.27451","0.28592","0.28592","0.28592","0.27435","0.27435","0.27435"
"16","0.1043","0.1043","0.1043","0.17927","0.17927","0.17927","0","0","0","0.00111","0.00111","0.00111","0","0","0","0.26291","0.26291","0.26291","0.22624","0.22624","0.22624","0.27327","0.27327","0.27327","0.28187","0.28187","0.28187","0.3421","0.3421","0.3421"
"17","0.0898","0.0898","0.0898","0.21087","0.21087","0.21087","0","0","0","0","0","0","0.00311","0.00311","0.00311","0.28992","0.28992","0.28992","0.31505","0.31505","0.31505","0.26685","0.26685","0.26685","0.35056","0.35056","0.35056","0.3514","0.3514","0.3514"
"18","0.15129","0.15129","0.15129","0.2404","0.2404","0.2404","0","0","0","0","0","0","0","0","0","0.34478","0.34478","0.34478","0.36425","0.36425","0.36425","0.32995","0.32995","0.32995","0.35979","0.35979","0.35979","0.36352","0.36352","0.36352"
"19","0.07769","0.07769","0.07769","0.20774","0.20774","0.20774","0.03335","0.03335","0.03335","0.01113","0.01113","0.01113","0.0352","0.0352","0.0352","0.31807","0.31807","0.31807","0.28564","0.28564","0.28564","0.27359","0.27359","0.27359","0.34512","0.34512","0.34512","0.3526","0.3526","0.3526"
"20","0.12789","0.12789","0.12789","0.28875","0.28875","0.28875","0","0","0","0","0","0","0.01117","0.01117","0.01117","0.34011","0.34011","0.34011","0.37362","0.37362","0.37362","0.37309","0.37309","0.37309","0.34181","0.34181","0.34181","0.38984","0.38984","0.38984"
"21","0.1307","0.1307","0.1307","0.33224","0.33224","0.33224","0.02226","0.02226","0.02226","0.0134","0.0134","0.0134","0","0","0","0.31589","0.31589","0.31589","0.34561","0.34561","0.34561","0.32988","0.32988","0.32988","0.29507","0.29507","0.29507","0.33027","0.33027","0.33027"
"22","0.14336","0.14336","0.14336","0.2685","0.2685","0.2685","0","0","0","0","0","0","0","0","0","0.35727","0.35727","0.35727","0.36198","0.36198","0.36198","0.34469","0.34469","0.34469","0.35165","0.35165","0.35165","0.39291","0.39291","0.39291"
"23","0.12261","0.12261","0.12261","0.25641","0.25641","0.25641","0","0","0","0","0","0","0","0","0","0.33523","0.33523","0.33523","0.37222","0.37222","0.37222","0.37043","0.37043","0.37043","0.38033","0.38033","0.38033","0.38372","0.38372","0.38372"
"24","0.1883","0.1883","0.1883","0.27358","0.27358","0.27358","0","0","0","0","0","0","0","0","0","0.37525","0.37525","0.37525","0.4042","0.4042","0.4042","0.29914","0.29914","0.29914","0.32583","0.32583","0.32583","0.3836","0.3836","0.3836"
