"Name","num_params","best_val_accuracy","_wandb"
"MLConv[R=400]-Resnet101-CIFAR10-25","40818234","69.9",""
"MLConv[R=200]-Resnet101-CIFAR10-25","20472034","70.79",""
"MLConv[R=100]-Resnet101-CIFAR10-25","10298934","71.49",""
"MTL[T=60]-Resnet101-CIFAR10-25","27316298","74.15",""
"MTL[T=45]-Resnet101-CIFAR10-25","29937738","73.97",""
"MTL[T=30]-Resnet101-CIFAR10-25","32559178","74.9",""
"MTL[T=15]-Resnet101-CIFAR10-25","35180618","75.16",""
"MTL[T=3]-Resnet101-CIFAR10-25","40423498","72.98",""
"Resnet101-CIFAR10-25","42520650","73.35",""
