"Step","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX"
"60","0.43845","0.43845","0.43845","0.43844","0.43844","0.43844","0.39815","0.39815","0.39815","0.36274","0.36274","0.36274","0.41335","0.41335","0.41335","0.39218","0.39218","0.39218","0.06979","0.06979","0.06979","0.09357","0.09357","0.09357","0","0","0","0.45383","0.45383","0.45383"
"61","0.45135","0.45135","0.45135","0.40597","0.40597","0.40597","0.40238","0.40238","0.40238","0.4012","0.4012","0.4012","0.43463","0.43463","0.43463","0.39863","0.39863","0.39863","0.02687","0.02687","0.02687","0.10038","0.10038","0.10038","0","0","0","0.47873","0.47873","0.47873"
"62","0.46593","0.46593","0.46593","0.44396","0.44396","0.44396","0.38898","0.38898","0.38898","0.3747","0.3747","0.3747","0.4495","0.4495","0.4495","0.38898","0.38898","0.38898","0.06527","0.06527","0.06527","0.06725","0.06725","0.06725","0.03346","0.03346","0.03346","0.4681","0.4681","0.4681"
"63","0.47302","0.47302","0.47302","0.46509","0.46509","0.46509","0.394","0.394","0.394","0.42305","0.42305","0.42305","0.44926","0.44926","0.44926","0.41038","0.41038","0.41038","0.03102","0.03102","0.03102","0.0515","0.0515","0.0515","0.06407","0.06407","0.06407","0.4926","0.4926","0.4926"
"64","0.46013","0.46013","0.46013","0.42087","0.42087","0.42087","0.39845","0.39845","0.39845","0.35748","0.35748","0.35748","0.42205","0.42205","0.42205","0.40119","0.40119","0.40119","0.06218","0.06218","0.06218","0.09523","0.09523","0.09523","0.0644","0.0644","0.0644","0.44613","0.44613","0.44613"
"65","0.45359","0.45359","0.45359","0.45076","0.45076","0.45076","0.42019","0.42019","0.42019","0.38686","0.38686","0.38686","0.44958","0.44958","0.44958","0.40279","0.40279","0.40279","0.06571","0.06571","0.06571","0.12357","0.12357","0.12357","0.08793","0.08793","0.08793","0.43852","0.43852","0.43852"
"66","0.47852","0.47852","0.47852","0.51006","0.51006","0.51006","0.39753","0.39753","0.39753","0.4487","0.4487","0.4487","0.42146","0.42146","0.42146","0.39925","0.39925","0.39925","0.08996","0.08996","0.08996","0.09762","0.09762","0.09762","0.0954","0.0954","0.0954","0.49918","0.49918","0.49918"
"67","0.47685","0.47685","0.47685","0.42785","0.42785","0.42785","0.37557","0.37557","0.37557","0.41023","0.41023","0.41023","0.4421","0.4421","0.4421","0.40796","0.40796","0.40796","0.06142","0.06142","0.06142","0.11785","0.11785","0.11785","0.09823","0.09823","0.09823","0.4582","0.4582","0.4582"
"68","0.45506","0.45506","0.45506","0.50518","0.50518","0.50518","0.4006","0.4006","0.4006","0.39823","0.39823","0.39823","0.47157","0.47157","0.47157","0.40563","0.40563","0.40563","0.08959","0.08959","0.08959","0.1532","0.1532","0.1532","0.09177","0.09177","0.09177","0.42615","0.42615","0.42615"
"69","0.42918","0.42918","0.42918","0.46076","0.46076","0.46076","0.41122","0.41122","0.41122","0.38627","0.38627","0.38627","0.45468","0.45468","0.45468","0.44513","0.44513","0.44513","0.03251","0.03251","0.03251","0.10274","0.10274","0.10274","0.06648","0.06648","0.06648","0.44227","0.44227","0.44227"
"70","0.45558","0.45558","0.45558","0.48278","0.48278","0.48278","0.40461","0.40461","0.40461","0.39086","0.39086","0.39086","0.45767","0.45767","0.45767","0.40033","0.40033","0.40033","0.0322","0.0322","0.0322","0.15273","0.15273","0.15273","0.1025","0.1025","0.1025","0.49519","0.49519","0.49519"
"71","0.45544","0.45544","0.45544","0.47452","0.47452","0.47452","0.40548","0.40548","0.40548","0.42522","0.42522","0.42522","0.48023","0.48023","0.48023","0.43449","0.43449","0.43449","0.02943","0.02943","0.02943","0.16864","0.16864","0.16864","0.09954","0.09954","0.09954","0.4729","0.4729","0.4729"
"72","0.49251","0.49251","0.49251","0.43767","0.43767","0.43767","0.40883","0.40883","0.40883","0.40226","0.40226","0.40226","0.49213","0.49213","0.49213","0.39821","0.39821","0.39821","0.06437","0.06437","0.06437","0.19994","0.19994","0.19994","0.08138","0.08138","0.08138","0.47739","0.47739","0.47739"
"73","0.4898","0.4898","0.4898","0.48417","0.48417","0.48417","0.43386","0.43386","0.43386","0.38777","0.38777","0.38777","0.50959","0.50959","0.50959","0.40643","0.40643","0.40643","0.05505","0.05505","0.05505","0.17128","0.17128","0.17128","0.13553","0.13553","0.13553","0.49548","0.49548","0.49548"
"74","0.51125","0.51125","0.51125","0.4508","0.4508","0.4508","0.42142","0.42142","0.42142","0.43264","0.43264","0.43264","0.51796","0.51796","0.51796","0.43866","0.43866","0.43866","0.06515","0.06515","0.06515","0.10669","0.10669","0.10669","0.18646","0.18646","0.18646","0.49286","0.49286","0.49286"
"75","0.47808","0.47808","0.47808","0.46174","0.46174","0.46174","0.41213","0.41213","0.41213","0.41117","0.41117","0.41117","0.45656","0.45656","0.45656","0.43526","0.43526","0.43526","0.03121","0.03121","0.03121","0.20444","0.20444","0.20444","0.13299","0.13299","0.13299","0.47133","0.47133","0.47133"
"76","0.47146","0.47146","0.47146","0.48378","0.48378","0.48378","0.45665","0.45665","0.45665","0.39684","0.39684","0.39684","0.46004","0.46004","0.46004","0.42922","0.42922","0.42922","0.06347","0.06347","0.06347","0.23584","0.23584","0.23584","0.10465","0.10465","0.10465","0.43474","0.43474","0.43474"
"77","0.48279","0.48279","0.48279","0.4813","0.4813","0.4813","0.3938","0.3938","0.3938","0.3774","0.3774","0.3774","0.47168","0.47168","0.47168","0.4309","0.4309","0.4309","0.06658","0.06658","0.06658","0.20744","0.20744","0.20744","0.14245","0.14245","0.14245","0.46912","0.46912","0.46912"
"78","0.45337","0.45337","0.45337","0.47179","0.47179","0.47179","0.41511","0.41511","0.41511","0.42245","0.42245","0.42245","0.47444","0.47444","0.47444","0.44499","0.44499","0.44499","0.06121","0.06121","0.06121","0.2897","0.2897","0.2897","0.20947","0.20947","0.20947","0.49693","0.49693","0.49693"
"79","0.50498","0.50498","0.50498","0.49126","0.49126","0.49126","0.39272","0.39272","0.39272","0.44401","0.44401","0.44401","0.46874","0.46874","0.46874","0.38641","0.38641","0.38641","0.06381","0.06381","0.06381","0.30927","0.30927","0.30927","0.21056","0.21056","0.21056","0.47899","0.47899","0.47899"
"80","0.47721","0.47721","0.47721","0.47683","0.47683","0.47683","0.39648","0.39648","0.39648","0.39129","0.39129","0.39129","0.48531","0.48531","0.48531","0.44583","0.44583","0.44583","0.03305","0.03305","0.03305","0.23791","0.23791","0.23791","0.23019","0.23019","0.23019","0.49915","0.49915","0.49915"
"81","0.50334","0.50334","0.50334","0.49504","0.49504","0.49504","0.39864","0.39864","0.39864","0.41259","0.41259","0.41259","0.45637","0.45637","0.45637","0.43616","0.43616","0.43616","0.06425","0.06425","0.06425","0.26306","0.26306","0.26306","0.19261","0.19261","0.19261","0.49955","0.49955","0.49955"
"82","0.47993","0.47993","0.47993","0.47889","0.47889","0.47889","0.40521","0.40521","0.40521","0.39745","0.39745","0.39745","0.50159","0.50159","0.50159","0.41514","0.41514","0.41514","0.05374","0.05374","0.05374","0.26307","0.26307","0.26307","0.19752","0.19752","0.19752","0.46359","0.46359","0.46359"
"83","0.49553","0.49553","0.49553","0.51951","0.51951","0.51951","0.39967","0.39967","0.39967","0.4338","0.4338","0.4338","0.48734","0.48734","0.48734","0.45505","0.45505","0.45505","0.05517","0.05517","0.05517","0.27331","0.27331","0.27331","0.21029","0.21029","0.21029","0.50204","0.50204","0.50204"
"84","0.48909","0.48909","0.48909","0.53707","0.53707","0.53707","0.3957","0.3957","0.3957","0.39553","0.39553","0.39553","0.45974","0.45974","0.45974","0.43719","0.43719","0.43719","0.03169","0.03169","0.03169","0.29534","0.29534","0.29534","0.14266","0.14266","0.14266","0.50194","0.50194","0.50194"
"85","0.47893","0.47893","0.47893","0.49394","0.49394","0.49394","0.42796","0.42796","0.42796","0.38814","0.38814","0.38814","0.48382","0.48382","0.48382","0.43972","0.43972","0.43972","0.06414","0.06414","0.06414","0.3152","0.3152","0.3152","0.21271","0.21271","0.21271","0.48489","0.48489","0.48489"
"86","0.47869","0.47869","0.47869","0.49362","0.49362","0.49362","0.42728","0.42728","0.42728","0.38842","0.38842","0.38842","0.50189","0.50189","0.50189","0.46694","0.46694","0.46694","0.06345","0.06345","0.06345","0.27015","0.27015","0.27015","0.17889","0.17889","0.17889","0.48831","0.48831","0.48831"
"87","0.48194","0.48194","0.48194","0.47169","0.47169","0.47169","0.40697","0.40697","0.40697","0.44425","0.44425","0.44425","0.49118","0.49118","0.49118","0.4833","0.4833","0.4833","0.02884","0.02884","0.02884","0.29861","0.29861","0.29861","0.25073","0.25073","0.25073","0.48256","0.48256","0.48256"
"88","0.50196","0.50196","0.50196","0.49835","0.49835","0.49835","0.42648","0.42648","0.42648","0.40126","0.40126","0.40126","0.47885","0.47885","0.47885","0.41129","0.41129","0.41129","0.06038","0.06038","0.06038","0.33551","0.33551","0.33551","0.28477","0.28477","0.28477","0.47901","0.47901","0.47901"
"89","0.48729","0.48729","0.48729","0.48499","0.48499","0.48499","0.40378","0.40378","0.40378","0.39075","0.39075","0.39075","0.4779","0.4779","0.4779","0.48198","0.48198","0.48198","0.03098","0.03098","0.03098","0.32455","0.32455","0.32455","0.25121","0.25121","0.25121","0.48362","0.48362","0.48362"
"90","0.47696","0.47696","0.47696","0.46744","0.46744","0.46744","0.42932","0.42932","0.42932","0.39287","0.39287","0.39287","0.47974","0.47974","0.47974","0.41765","0.41765","0.41765","0.06606","0.06606","0.06606","0.3048","0.3048","0.3048","0.30434","0.30434","0.30434","0.47631","0.47631","0.47631"
"91","0.50446","0.50446","0.50446","0.49197","0.49197","0.49197","0.43446","0.43446","0.43446","0.42202","0.42202","0.42202","0.46761","0.46761","0.46761","0.44536","0.44536","0.44536","0.05816","0.05816","0.05816","0.31211","0.31211","0.31211","0.25631","0.25631","0.25631","0.50114","0.50114","0.50114"
"92","0.49708","0.49708","0.49708","0.49838","0.49838","0.49838","0.40689","0.40689","0.40689","0.42905","0.42905","0.42905","0.48865","0.48865","0.48865","0.48056","0.48056","0.48056","0.09143","0.09143","0.09143","0.31246","0.31246","0.31246","0.29074","0.29074","0.29074","0.48943","0.48943","0.48943"
"93","0.49497","0.49497","0.49497","0.50739","0.50739","0.50739","0.48394","0.48394","0.48394","0.43131","0.43131","0.43131","0.50186","0.50186","0.50186","0.47947","0.47947","0.47947","0.03023","0.03023","0.03023","0.33451","0.33451","0.33451","0.3347","0.3347","0.3347","0.48424","0.48424","0.48424"
"94","0.51514","0.51514","0.51514","0.51286","0.51286","0.51286","0.43663","0.43663","0.43663","0.41083","0.41083","0.41083","0.48507","0.48507","0.48507","0.48215","0.48215","0.48215","0.03198","0.03198","0.03198","0.37442","0.37442","0.37442","0.24916","0.24916","0.24916","0.50586","0.50586","0.50586"
"95","0.49361","0.49361","0.49361","0.49087","0.49087","0.49087","0.43663","0.43663","0.43663","0.43657","0.43657","0.43657","0.49476","0.49476","0.49476","0.47515","0.47515","0.47515","0.06243","0.06243","0.06243","0.33789","0.33789","0.33789","0.33976","0.33976","0.33976","0.47857","0.47857","0.47857"
"96","0.49806","0.49806","0.49806","0.4819","0.4819","0.4819","0.43517","0.43517","0.43517","0.39631","0.39631","0.39631","0.49226","0.49226","0.49226","0.42947","0.42947","0.42947","0.05701","0.05701","0.05701","0.35564","0.35564","0.35564","0.31175","0.31175","0.31175","0.48833","0.48833","0.48833"
"97","0.4847","0.4847","0.4847","0.47187","0.47187","0.47187","0.46552","0.46552","0.46552","0.46448","0.46448","0.46448","0.48485","0.48485","0.48485","0.47572","0.47572","0.47572","0.10509","0.10509","0.10509","0.33541","0.33541","0.33541","0.26563","0.26563","0.26563","0.48236","0.48236","0.48236"
"98","0.5263","0.5263","0.5263","0.50312","0.50312","0.50312","0.40279","0.40279","0.40279","0.41382","0.41382","0.41382","0.49282","0.49282","0.49282","0.43848","0.43848","0.43848","0.04827","0.04827","0.04827","0.3489","0.3489","0.3489","0.32655","0.32655","0.32655","0.49571","0.49571","0.49571"
"99","0.49995","0.49995","0.49995","0.49756","0.49756","0.49756","0.46363","0.46363","0.46363","0.46368","0.46368","0.46368","0.47115","0.47115","0.47115","0.41351","0.41351","0.41351","0.06554","0.06554","0.06554","0.36678","0.36678","0.36678","0.33549","0.33549","0.33549","0.48288","0.48288","0.48288"
"100","0.48203","0.48203","0.48203","0.51116","0.51116","0.51116","0.43548","0.43548","0.43548","0.41702","0.41702","0.41702","0.48739","0.48739","0.48739","0.48419","0.48419","0.48419","0.08926","0.08926","0.08926","0.38473","0.38473","0.38473","0.31235","0.31235","0.31235","0.48841","0.48841","0.48841"
"101","0.48481","0.48481","0.48481","0.49147","0.49147","0.49147","0.47538","0.47538","0.47538","0.46495","0.46495","0.46495","0.50081","0.50081","0.50081","0.48694","0.48694","0.48694","0.0477","0.0477","0.0477","0.37005","0.37005","0.37005","0.32127","0.32127","0.32127","0.48116","0.48116","0.48116"
"102","0.49645","0.49645","0.49645","0.50047","0.50047","0.50047","0.43678","0.43678","0.43678","0.44326","0.44326","0.44326","0.51925","0.51925","0.51925","0.48421","0.48421","0.48421","0.02743","0.02743","0.02743","0.33627","0.33627","0.33627","0.31592","0.31592","0.31592","0.52201","0.52201","0.52201"
"103","0.48807","0.48807","0.48807","0.50592","0.50592","0.50592","0.47389","0.47389","0.47389","0.42969","0.42969","0.42969","0.48807","0.48807","0.48807","0.47923","0.47923","0.47923","0.06553","0.06553","0.06553","0.36688","0.36688","0.36688","0.36565","0.36565","0.36565","0.49417","0.49417","0.49417"
"104","0.5028","0.5028","0.5028","0.51139","0.51139","0.51139","0.42923","0.42923","0.42923","0.42286","0.42286","0.42286","0.48164","0.48164","0.48164","0.4842","0.4842","0.4842","0.06285","0.06285","0.06285","0.36882","0.36882","0.36882","0.31634","0.31634","0.31634","0.48873","0.48873","0.48873"
"105","0.49783","0.49783","0.49783","0.48679","0.48679","0.48679","0.41054","0.41054","0.41054","0.42881","0.42881","0.42881","0.47625","0.47625","0.47625","0.45817","0.45817","0.45817","0.09829","0.09829","0.09829","0.38667","0.38667","0.38667","0.36182","0.36182","0.36182","0.4845","0.4845","0.4845"
"106","0.48922","0.48922","0.48922","0.49976","0.49976","0.49976","0.47386","0.47386","0.47386","0.42896","0.42896","0.42896","0.50852","0.50852","0.50852","0.4894","0.4894","0.4894","0.06679","0.06679","0.06679","0.3934","0.3934","0.3934","0.37991","0.37991","0.37991","0.50151","0.50151","0.50151"
"107","0.50644","0.50644","0.50644","0.50251","0.50251","0.50251","0.42976","0.42976","0.42976","0.42464","0.42464","0.42464","0.52264","0.52264","0.52264","0.49751","0.49751","0.49751","0.09429","0.09429","0.09429","0.36614","0.36614","0.36614","0.38788","0.38788","0.38788","0.49942","0.49942","0.49942"
"108","0.50477","0.50477","0.50477","0.50695","0.50695","0.50695","0.43063","0.43063","0.43063","0.46357","0.46357","0.46357","0.48045","0.48045","0.48045","0.48698","0.48698","0.48698","0.03142","0.03142","0.03142","0.3772","0.3772","0.3772","0.39005","0.39005","0.39005","0.4882","0.4882","0.4882"
"109","0.48493","0.48493","0.48493","0.47648","0.47648","0.47648","0.483","0.483","0.483","0.48239","0.48239","0.48239","0.51188","0.51188","0.51188","0.4525","0.4525","0.4525","0.07399","0.07399","0.07399","0.35901","0.35901","0.35901","0.3767","0.3767","0.3767","0.49214","0.49214","0.49214"
"110","0.50088","0.50088","0.50088","0.51286","0.51286","0.51286","0.46337","0.46337","0.46337","0.41575","0.41575","0.41575","0.48619","0.48619","0.48619","0.4893","0.4893","0.4893","0.09893","0.09893","0.09893","0.39213","0.39213","0.39213","0.36075","0.36075","0.36075","0.50836","0.50836","0.50836"
"111","0.49198","0.49198","0.49198","0.4938","0.4938","0.4938","0.42473","0.42473","0.42473","0.43445","0.43445","0.43445","0.49044","0.49044","0.49044","0.48792","0.48792","0.48792","0.06649","0.06649","0.06649","0.39141","0.39141","0.39141","0.35358","0.35358","0.35358","0.49266","0.49266","0.49266"
"112","0.49391","0.49391","0.49391","0.47364","0.47364","0.47364","0.45167","0.45167","0.45167","0.4417","0.4417","0.4417","0.48359","0.48359","0.48359","0.47591","0.47591","0.47591","0.06471","0.06471","0.06471","0.39705","0.39705","0.39705","0.34821","0.34821","0.34821","0.48357","0.48357","0.48357"
"113","0.49914","0.49914","0.49914","0.49614","0.49614","0.49614","0.45619","0.45619","0.45619","0.49354","0.49354","0.49354","0.49307","0.49307","0.49307","0.49805","0.49805","0.49805","0.09392","0.09392","0.09392","0.38125","0.38125","0.38125","0.35156","0.35156","0.35156","0.50054","0.50054","0.50054"
"114","0.48929","0.48929","0.48929","0.4974","0.4974","0.4974","0.46925","0.46925","0.46925","0.4386","0.4386","0.4386","0.48159","0.48159","0.48159","0.48347","0.48347","0.48347","0.09868","0.09868","0.09868","0.4035","0.4035","0.4035","0.37267","0.37267","0.37267","0.49557","0.49557","0.49557"
"115","0.48329","0.48329","0.48329","0.49557","0.49557","0.49557","0.44873","0.44873","0.44873","0.4838","0.4838","0.4838","0.4876","0.4876","0.4876","0.48807","0.48807","0.48807","0.08047","0.08047","0.08047","0.39443","0.39443","0.39443","0.34371","0.34371","0.34371","0.47617","0.47617","0.47617"
"116","0.48959","0.48959","0.48959","0.49616","0.49616","0.49616","0.44674","0.44674","0.44674","0.45599","0.45599","0.45599","0.47777","0.47777","0.47777","0.48869","0.48869","0.48869","0.09018","0.09018","0.09018","0.39368","0.39368","0.39368","0.33367","0.33367","0.33367","0.49834","0.49834","0.49834"
"117","0.49887","0.49887","0.49887","0.5103","0.5103","0.5103","0.44331","0.44331","0.44331","0.47171","0.47171","0.47171","0.48117","0.48117","0.48117","0.49303","0.49303","0.49303","0.03302","0.03302","0.03302","0.39494","0.39494","0.39494","0.36142","0.36142","0.36142","0.50056","0.50056","0.50056"
"118","0.5332","0.5332","0.5332","0.51173","0.51173","0.51173","0.45841","0.45841","0.45841","0.44461","0.44461","0.44461","0.47954","0.47954","0.47954","0.48543","0.48543","0.48543","0.03005","0.03005","0.03005","0.40304","0.40304","0.40304","0.36962","0.36962","0.36962","0.48289","0.48289","0.48289"
"119","0.5044","0.5044","0.5044","0.4923","0.4923","0.4923","0.48706","0.48706","0.48706","0.43395","0.43395","0.43395","0.47461","0.47461","0.47461","0.47454","0.47454","0.47454","0.05066","0.05066","0.05066","0.39769","0.39769","0.39769","0.36608","0.36608","0.36608","0.49017","0.49017","0.49017"
"120","0.51823","0.51823","0.51823","0.48959","0.48959","0.48959","0.45535","0.45535","0.45535","0.43411","0.43411","0.43411","0.50917","0.50917","0.50917","0.48679","0.48679","0.48679","0.03237","0.03237","0.03237","0.35834","0.35834","0.35834","0.33251","0.33251","0.33251","0.48076","0.48076","0.48076"
"121","0.47467","0.47467","0.47467","0.48398","0.48398","0.48398","0.47958","0.47958","0.47958","0.41992","0.41992","0.41992","0.46008","0.46008","0.46008","0.4834","0.4834","0.4834","0.06751","0.06751","0.06751","0.3817","0.3817","0.3817","0.3652","0.3652","0.3652","0.4804","0.4804","0.4804"
"122","0.49424","0.49424","0.49424","0.50785","0.50785","0.50785","0.47451","0.47451","0.47451","0.49009","0.49009","0.49009","0.46175","0.46175","0.46175","0.4842","0.4842","0.4842","0.06309","0.06309","0.06309","0.407","0.407","0.407","0.38181","0.38181","0.38181","0.478","0.478","0.478"
"123","0.51332","0.51332","0.51332","0.50203","0.50203","0.50203","0.49001","0.49001","0.49001","0.44142","0.44142","0.44142","0.49747","0.49747","0.49747","0.49207","0.49207","0.49207","0.09699","0.09699","0.09699","0.38697","0.38697","0.38697","0.3659","0.3659","0.3659","0.49231","0.49231","0.49231"
"124","0.51881","0.51881","0.51881","0.50494","0.50494","0.50494","0.48533","0.48533","0.48533","0.44749","0.44749","0.44749","0.49954","0.49954","0.49954","0.49458","0.49458","0.49458","0.09728","0.09728","0.09728","0.39288","0.39288","0.39288","0.37173","0.37173","0.37173","0.49512","0.49512","0.49512"
"125","0.50642","0.50642","0.50642","0.49908","0.49908","0.49908","0.48178","0.48178","0.48178","0.43758","0.43758","0.43758","0.49548","0.49548","0.49548","0.49354","0.49354","0.49354","0.1243","0.1243","0.1243","0.4309","0.4309","0.4309","0.35774","0.35774","0.35774","0.49294","0.49294","0.49294"
"126","0.50523","0.50523","0.50523","0.51173","0.51173","0.51173","0.48324","0.48324","0.48324","0.45975","0.45975","0.45975","0.47815","0.47815","0.47815","0.49194","0.49194","0.49194","0.12978","0.12978","0.12978","0.40606","0.40606","0.40606","0.39562","0.39562","0.39562","0.50028","0.50028","0.50028"
"127","0.50565","0.50565","0.50565","0.50018","0.50018","0.50018","0.4924","0.4924","0.4924","0.45731","0.45731","0.45731","0.4955","0.4955","0.4955","0.50058","0.50058","0.50058","0.09814","0.09814","0.09814","0.3895","0.3895","0.3895","0.37631","0.37631","0.37631","0.50366","0.50366","0.50366"
"128","0.47845","0.47845","0.47845","0.49481","0.49481","0.49481","0.4924","0.4924","0.4924","0.43003","0.43003","0.43003","0.48078","0.48078","0.48078","0.48648","0.48648","0.48648","0.09833","0.09833","0.09833","0.39355","0.39355","0.39355","0.39396","0.39396","0.39396","0.48529","0.48529","0.48529"
"129","0.51651","0.51651","0.51651","0.49552","0.49552","0.49552","0.47758","0.47758","0.47758","0.50507","0.50507","0.50507","0.48127","0.48127","0.48127","0.47259","0.47259","0.47259","0.05563","0.05563","0.05563","0.39656","0.39656","0.39656","0.36183","0.36183","0.36183","0.48941","0.48941","0.48941"
"130","0.51376","0.51376","0.51376","0.49034","0.49034","0.49034","0.46503","0.46503","0.46503","0.45055","0.45055","0.45055","0.49967","0.49967","0.49967","0.47789","0.47789","0.47789","0.07978","0.07978","0.07978","0.38676","0.38676","0.38676","0.35951","0.35951","0.35951","0.49463","0.49463","0.49463"
"131","0.4916","0.4916","0.4916","0.51218","0.51218","0.51218","0.48462","0.48462","0.48462","0.41965","0.41965","0.41965","0.47872","0.47872","0.47872","0.48019","0.48019","0.48019","0.06498","0.06498","0.06498","0.38249","0.38249","0.38249","0.37352","0.37352","0.37352","0.48704","0.48704","0.48704"
"132","0.5132","0.5132","0.5132","0.50376","0.50376","0.50376","0.46624","0.46624","0.46624","0.44186","0.44186","0.44186","0.49388","0.49388","0.49388","0.49117","0.49117","0.49117","0.11283","0.11283","0.11283","0.38527","0.38527","0.38527","0.37654","0.37654","0.37654","0.48084","0.48084","0.48084"
"133","0.51002","0.51002","0.51002","0.51482","0.51482","0.51482","0.4857","0.4857","0.4857","0.46373","0.46373","0.46373","0.47818","0.47818","0.47818","0.48271","0.48271","0.48271","0.09659","0.09659","0.09659","0.42117","0.42117","0.42117","0.3765","0.3765","0.3765","0.49511","0.49511","0.49511"
"134","0.49472","0.49472","0.49472","0.50325","0.50325","0.50325","0.48186","0.48186","0.48186","0.43492","0.43492","0.43492","0.50788","0.50788","0.50788","0.47848","0.47848","0.47848","0.09197","0.09197","0.09197","0.39354","0.39354","0.39354","0.38052","0.38052","0.38052","0.51268","0.51268","0.51268"
"135","0.50363","0.50363","0.50363","0.50816","0.50816","0.50816","0.44721","0.44721","0.44721","0.44761","0.44761","0.44761","0.4988","0.4988","0.4988","0.48991","0.48991","0.48991","0.05678","0.05678","0.05678","0.38738","0.38738","0.38738","0.38573","0.38573","0.38573","0.50106","0.50106","0.50106"
"136","0.50871","0.50871","0.50871","0.51543","0.51543","0.51543","0.49055","0.49055","0.49055","0.47858","0.47858","0.47858","0.49845","0.49845","0.49845","0.50968","0.50968","0.50968","0.06515","0.06515","0.06515","0.39207","0.39207","0.39207","0.39331","0.39331","0.39331","0.51029","0.51029","0.51029"
"137","0.51975","0.51975","0.51975","0.52358","0.52358","0.52358","0.47842","0.47842","0.47842","0.45164","0.45164","0.45164","0.50206","0.50206","0.50206","0.50564","0.50564","0.50564","0.11501","0.11501","0.11501","0.43099","0.43099","0.43099","0.38956","0.38956","0.38956","0.51147","0.51147","0.51147"
"138","0.50862","0.50862","0.50862","0.49782","0.49782","0.49782","0.46815","0.46815","0.46815","0.46639","0.46639","0.46639","0.49147","0.49147","0.49147","0.53049","0.53049","0.53049","0.09925","0.09925","0.09925","0.39158","0.39158","0.39158","0.3713","0.3713","0.3713","0.47675","0.47675","0.47675"
"139","0.52182","0.52182","0.52182","0.50113","0.50113","0.50113","0.47436","0.47436","0.47436","0.49156","0.49156","0.49156","0.49192","0.49192","0.49192","0.53259","0.53259","0.53259","0.06442","0.06442","0.06442","0.44057","0.44057","0.44057","0.36757","0.36757","0.36757","0.48887","0.48887","0.48887"
"140","0.50121","0.50121","0.50121","0.50216","0.50216","0.50216","0.49798","0.49798","0.49798","0.46934","0.46934","0.46934","0.47934","0.47934","0.47934","0.49384","0.49384","0.49384","0.11604","0.11604","0.11604","0.4218","0.4218","0.4218","0.38302","0.38302","0.38302","0.48494","0.48494","0.48494"
"141","0.51769","0.51769","0.51769","0.50191","0.50191","0.50191","0.46319","0.46319","0.46319","0.47117","0.47117","0.47117","0.48633","0.48633","0.48633","0.48343","0.48343","0.48343","0.12383","0.12383","0.12383","0.3896","0.3896","0.3896","0.37583","0.37583","0.37583","0.50609","0.50609","0.50609"
"142","0.5057","0.5057","0.5057","0.50202","0.50202","0.50202","0.47906","0.47906","0.47906","0.43976","0.43976","0.43976","0.48687","0.48687","0.48687","0.48875","0.48875","0.48875","0.12797","0.12797","0.12797","0.43706","0.43706","0.43706","0.3942","0.3942","0.3942","0.49411","0.49411","0.49411"
