"Step","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=17]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=100]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=50]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=23]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MLConv[R=1]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=30]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=36]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MIN","MTL[t=16]-YOLO11x-DOTAv1 - metrics/mAP50(B)__MAX"
"15","0.29278","0.29278","0.29278","0.29719","0.29719","0.29719","0.20602","0.20602","0.20602","0.14381","0.14381","0.14381","0.30439","0.30439","0.30439","0.20197","0.20197","0.20197","0","0","0","0.00712","0.00712","0.00712","0.00309","0.00309","0.00309","0.30124","0.30124","0.30124"
"16","0.29715","0.29715","0.29715","0.2271","0.2271","0.2271","0.23922","0.23922","0.23922","0.19628","0.19628","0.19628","0.32368","0.32368","0.32368","0.17927","0.17927","0.17927","0","0","0","0.00111","0.00111","0.00111","0","0","0","0.26291","0.26291","0.26291"
"17","0.33369","0.33369","0.33369","0.25148","0.25148","0.25148","0.21264","0.21264","0.21264","0.21906","0.21906","0.21906","0.27917","0.27917","0.27917","0.21087","0.21087","0.21087","0","0","0","0","0","0","0.00311","0.00311","0.00311","0.28992","0.28992","0.28992"
"18","0.36473","0.36473","0.36473","0.37527","0.37527","0.37527","0.28074","0.28074","0.28074","0.22118","0.22118","0.22118","0.36348","0.36348","0.36348","0.2404","0.2404","0.2404","0","0","0","0","0","0","0","0","0","0.34478","0.34478","0.34478"
"19","0.28275","0.28275","0.28275","0.29704","0.29704","0.29704","0.23669","0.23669","0.23669","0.23044","0.23044","0.23044","0.34828","0.34828","0.34828","0.20774","0.20774","0.20774","0.03335","0.03335","0.03335","0.01113","0.01113","0.01113","0.0352","0.0352","0.0352","0.31807","0.31807","0.31807"
"20","0.36392","0.36392","0.36392","0.31702","0.31702","0.31702","0.24521","0.24521","0.24521","0.26223","0.26223","0.26223","0.37729","0.37729","0.37729","0.28875","0.28875","0.28875","0","0","0","0","0","0","0.01117","0.01117","0.01117","0.34011","0.34011","0.34011"
"21","0.32729","0.32729","0.32729","0.26676","0.26676","0.26676","0.25097","0.25097","0.25097","0.22717","0.22717","0.22717","0.34648","0.34648","0.34648","0.33224","0.33224","0.33224","0.02226","0.02226","0.02226","0.0134","0.0134","0.0134","0","0","0","0.31589","0.31589","0.31589"
"22","0.35686","0.35686","0.35686","0.33899","0.33899","0.33899","0.25725","0.25725","0.25725","0.2324","0.2324","0.2324","0.35647","0.35647","0.35647","0.2685","0.2685","0.2685","0","0","0","0","0","0","0","0","0","0.35727","0.35727","0.35727"
"23","0.3743","0.3743","0.3743","0.38746","0.38746","0.38746","0.32797","0.32797","0.32797","0.22735","0.22735","0.22735","0.3525","0.3525","0.3525","0.25641","0.25641","0.25641","0","0","0","0","0","0","0","0","0","0.33523","0.33523","0.33523"
"24","0.33147","0.33147","0.33147","0.35652","0.35652","0.35652","0.29149","0.29149","0.29149","0.28963","0.28963","0.28963","0.31798","0.31798","0.31798","0.27358","0.27358","0.27358","0","0","0","0","0","0","0","0","0","0.37525","0.37525","0.37525"
