"Step","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1-23 - metrics/mAP50(B)","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX"
"16","0.16608","0.16608","0.16608","0.12799","0.12799","0.12799","0.24518","0.24518","0.24518","0.27881","0.27881","0.27881","0.10003","0.10003","0.10003","0.25044","0.25044","0.25044","0.21166","0.21166","0.21166","0.00106","0.00106","0.00106","0.24643","0.24643","0.24643","0","0","0"
"17","0.14312","0.14312","0.14312","0.08686","0.08686","0.08686","0.23563","0.23563","0.23563","0.21843","0.21843","0.21843","0.15948","0.15948","0.15948","0.29555","0.29555","0.29555","0.27208","0.27208","0.27208","0","0","0","0.26926","0.26926","0.26926","0","0","0"
"18","0.10952","0.10952","0.10952","0.13431","0.13431","0.13431","0.27824","0.27824","0.27824","0.27042","0.27042","0.27042","0.08828","0.08828","0.08828","0.22768","0.22768","0.22768","0.24778","0.24778","0.24778","0","0","0","0.23914","0.23914","0.23914","0","0","0"
"19","0.08083","0.08083","0.08083","0.22456","0.22456","0.22456","0.25575","0.25575","0.25575","0.26547","0.26547","0.26547","0.12684","0.12684","0.12684","0.24696","0.24696","0.24696","0.24373","0.24373","0.24373","0","0","0","0.23928","0.23928","0.23928","0","0","0"
"20","0.18437","0.18437","0.18437","0.19563","0.19563","0.19563","0.23515","0.23515","0.23515","0.24568","0.24568","0.24568","0.15828","0.15828","0.15828","0.2721","0.2721","0.2721","0.23723","0.23723","0.23723","0.00266","0.00266","0.00266","0.30889","0.30889","0.30889","0","0","0"
"21","0.12363","0.12363","0.12363","0.18499","0.18499","0.18499","0.2926","0.2926","0.2926","0.27079","0.27079","0.27079","0.12718","0.12718","0.12718","0.25107","0.25107","0.25107","0.24703","0.24703","0.24703","0","0","0","0.24158","0.24158","0.24158","0","0","0"
"22","0.14118","0.14118","0.14118","0.17017","0.17017","0.17017","0.29466","0.29466","0.29466","0.25874","0.25874","0.25874","0.15211","0.15211","0.15211","0.26353","0.26353","0.26353","0.28329","0.28329","0.28329","0","0","0","0.30834","0.30834","0.30834","0.0015","0.0015","0.0015"
"23","0.16185","0.16185","0.16185","0.20064","0.20064","0.20064","0.29155","0.29155","0.29155","0.2715","0.2715","0.2715","0.27188","0.27188","0.27188","0.27619","0.27619","0.27619","0.26904","0.26904","0.26904","0","0","0","0.29711","0.29711","0.29711","0","0","0"
"24","0.18831","0.18831","0.18831","0.16339","0.16339","0.16339","0.37793","0.37793","0.37793","0.33552","0.33552","0.33552","0.19808","0.19808","0.19808","0.32611","0.32611","0.32611","0.34444","0.34444","0.34444","0","0","0","0.3385","0.3385","0.3385","0","0","0"
"25","0.18525","0.18525","0.18525","0.18625","0.18625","0.18625","0.31523","0.31523","0.31523","0.30428","0.30428","0.30428","0.18474","0.18474","0.18474","0.26816","0.26816","0.26816","0.27586","0.27586","0.27586","0","0","0","0.35491","0.35491","0.35491","0","0","0"
