"Step","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=50]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=150]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=17]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=23]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MLConv[R=100]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=16]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=24]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=30]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","YOLO11x-DOTAv1-23 - metrics/mAP50(B)","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MIN","MTL[T=36]-YOLO11x-DOTAv1-23 - metrics/mAP50(B)__MAX"
"53","0.31568","0.31568","0.31568","0.32802","0.32802","0.32802","0.37486","0.37486","0.37486","0.39585","0.39585","0.39585","0.32038","0.32038","0.32038","0.39716","0.39716","0.39716","0.4177","0.4177","0.4177","0","0","0","0.39489","0.39489","0.39489","0","0","0"
"54","0.31805","0.31805","0.31805","0.35548","0.35548","0.35548","0.40151","0.40151","0.40151","0.36744","0.36744","0.36744","0.36644","0.36644","0.36644","0.38996","0.38996","0.38996","0.40026","0.40026","0.40026","0","0","0","0.3914","0.3914","0.3914","0","0","0"
"55","0.34812","0.34812","0.34812","0.31776","0.31776","0.31776","0.39931","0.39931","0.39931","0.38366","0.38366","0.38366","0.37754","0.37754","0.37754","0.44632","0.44632","0.44632","0.39956","0.39956","0.39956","0","0","0","0.40626","0.40626","0.40626","0","0","0"
"56","0.3667","0.3667","0.3667","0.36864","0.36864","0.36864","0.3964","0.3964","0.3964","0.40231","0.40231","0.40231","0.38333","0.38333","0.38333","0.39966","0.39966","0.39966","0.39311","0.39311","0.39311","0","0","0","0.39725","0.39725","0.39725","0","0","0"
"57","0.331","0.331","0.331","0.36252","0.36252","0.36252","0.40016","0.40016","0.40016","0.3355","0.3355","0.3355","0.32124","0.32124","0.32124","0.39688","0.39688","0.39688","0.36973","0.36973","0.36973","0","0","0","0.37767","0.37767","0.37767","0","0","0"
"58","0.38103","0.38103","0.38103","0.35165","0.35165","0.35165","0.36213","0.36213","0.36213","0.35825","0.35825","0.35825","0.35394","0.35394","0.35394","0.39092","0.39092","0.39092","0.40685","0.40685","0.40685","0","0","0","0.37074","0.37074","0.37074","0","0","0"
"59","0.378","0.378","0.378","0.3933","0.3933","0.3933","0.39284","0.39284","0.39284","0.38638","0.38638","0.38638","0.36903","0.36903","0.36903","0.38227","0.38227","0.38227","0.40081","0.40081","0.40081","0","0","0","0.40285","0.40285","0.40285","0","0","0"
"60","0.36182","0.36182","0.36182","0.37025","0.37025","0.37025","0.40881","0.40881","0.40881","0.39952","0.39952","0.39952","0.33961","0.33961","0.33961","0.40105","0.40105","0.40105","0.40003","0.40003","0.40003","0","0","0","0.43743","0.43743","0.43743","0","0","0"
"61","0.34348","0.34348","0.34348","0.38755","0.38755","0.38755","0.39238","0.39238","0.39238","0.39939","0.39939","0.39939","0.37864","0.37864","0.37864","0.39883","0.39883","0.39883","0.44386","0.44386","0.44386","0","0","0","0.41516","0.41516","0.41516","0","0","0"
"62","0.38542","0.38542","0.38542","0.38449","0.38449","0.38449","0.39176","0.39176","0.39176","0.39459","0.39459","0.39459","0.38278","0.38278","0.38278","0.38266","0.38266","0.38266","0.40203","0.40203","0.40203","0","0","0","0.38166","0.38166","0.38166","0","0","0"
"63","0.33616","0.33616","0.33616","0.34932","0.34932","0.34932","0.40886","0.40886","0.40886","0.42416","0.42416","0.42416","0.35642","0.35642","0.35642","0.38001","0.38001","0.38001","0.41726","0.41726","0.41726","0","0","0","0.39737","0.39737","0.39737","0","0","0"
"64","0.31203","0.31203","0.31203","0.34027","0.34027","0.34027","0.39613","0.39613","0.39613","0.39443","0.39443","0.39443","0.40397","0.40397","0.40397","0.39263","0.39263","0.39263","0.4401","0.4401","0.4401","0","0","0","0.43721","0.43721","0.43721","0","0","0"
"65","0.3732","0.3732","0.3732","0.37707","0.37707","0.37707","0.39154","0.39154","0.39154","0.39198","0.39198","0.39198","0.34768","0.34768","0.34768","0.40079","0.40079","0.40079","0.44298","0.44298","0.44298","0","0","0","0.43537","0.43537","0.43537","0","0","0"
"66","0.37862","0.37862","0.37862","0.39011","0.39011","0.39011","0.39758","0.39758","0.39758","0.40892","0.40892","0.40892","0.35281","0.35281","0.35281","0.39452","0.39452","0.39452","0.40841","0.40841","0.40841","0","0","0","0.40426","0.40426","0.40426","0","0","0"
"67","0.32238","0.32238","0.32238","0.28425","0.28425","0.28425","0.40563","0.40563","0.40563","0.41675","0.41675","0.41675","0.35546","0.35546","0.35546","0.40092","0.40092","0.40092","0.45164","0.45164","0.45164","0","0","0","0.42066","0.42066","0.42066","0","0","0"
"68","0.34189","0.34189","0.34189","0.39024","0.39024","0.39024","0.41126","0.41126","0.41126","0.41048","0.41048","0.41048","0.37393","0.37393","0.37393","0.43176","0.43176","0.43176","0.41126","0.41126","0.41126","0","0","0","0.44381","0.44381","0.44381","0","0","0"
"69","0.35963","0.35963","0.35963","0.39642","0.39642","0.39642","0.4067","0.4067","0.4067","0.44561","0.44561","0.44561","0.37076","0.37076","0.37076","0.40898","0.40898","0.40898","0.41595","0.41595","0.41595","0","0","0","0.4033","0.4033","0.4033","0","0","0"
"70","0.3582","0.3582","0.3582","0.38864","0.38864","0.38864","0.41359","0.41359","0.41359","0.38203","0.38203","0.38203","0.37834","0.37834","0.37834","0.40794","0.40794","0.40794","0.43738","0.43738","0.43738","0","0","0","0.43925","0.43925","0.43925","0","0","0"
"71","0.35717","0.35717","0.35717","0.34849","0.34849","0.34849","0.44699","0.44699","0.44699","0.38681","0.38681","0.38681","0.37732","0.37732","0.37732","0.40131","0.40131","0.40131","0.44318","0.44318","0.44318","0","0","0","0.44783","0.44783","0.44783","0","0","0"
"72","0.37854","0.37854","0.37854","0.40941","0.40941","0.40941","0.42601","0.42601","0.42601","0.42714","0.42714","0.42714","0.38706","0.38706","0.38706","0.46015","0.46015","0.46015","0.48552","0.48552","0.48552","0","0","0","0.43186","0.43186","0.43186","0","0","0"
"73","0.33992","0.33992","0.33992","0.41067","0.41067","0.41067","0.40722","0.40722","0.40722","0.43943","0.43943","0.43943","0.39568","0.39568","0.39568","0.3899","0.3899","0.3899","0.44482","0.44482","0.44482","0","0","0","0.45155","0.45155","0.45155","0","0","0"
"74","0.33839","0.33839","0.33839","0.37601","0.37601","0.37601","0.4085","0.4085","0.4085","0.42518","0.42518","0.42518","0.38801","0.38801","0.38801","0.42288","0.42288","0.42288","0.44369","0.44369","0.44369","0","0","0","0.44219","0.44219","0.44219","0","0","0"
"75","0.36251","0.36251","0.36251","0.38325","0.38325","0.38325","0.40531","0.40531","0.40531","0.43649","0.43649","0.43649","0.39778","0.39778","0.39778","0.4257","0.4257","0.4257","0.44392","0.44392","0.44392","0","0","0","0.44241","0.44241","0.44241","0","0","0"
"76","0.36532","0.36532","0.36532","0.39294","0.39294","0.39294","0.42767","0.42767","0.42767","0.40094","0.40094","0.40094","0.37703","0.37703","0.37703","0.43334","0.43334","0.43334","0.44455","0.44455","0.44455","0","0","0","0.42522","0.42522","0.42522","0","0","0"
"77","0.39817","0.39817","0.39817","0.38308","0.38308","0.38308","0.41683","0.41683","0.41683","0.40389","0.40389","0.40389","0.40936","0.40936","0.40936","0.43333","0.43333","0.43333","0.4767","0.4767","0.4767","0","0","0","0.4462","0.4462","0.4462","0","0","0"
"78","0.34856","0.34856","0.34856","0.39479","0.39479","0.39479","0.40989","0.40989","0.40989","0.43147","0.43147","0.43147","0.36621","0.36621","0.36621","0.40379","0.40379","0.40379","0.4798","0.4798","0.4798","0","0","0","0.45098","0.45098","0.45098","0","0","0"
"79","0.3252","0.3252","0.3252","0.39605","0.39605","0.39605","0.45191","0.45191","0.45191","0.48671","0.48671","0.48671","0.37666","0.37666","0.37666","0.41501","0.41501","0.41501","0.45414","0.45414","0.45414","0","0","0","0.45644","0.45644","0.45644","0","0","0"
"80","0.38088","0.38088","0.38088","0.39065","0.39065","0.39065","0.43812","0.43812","0.43812","0.47495","0.47495","0.47495","0.37773","0.37773","0.37773","0.44339","0.44339","0.44339","0.48915","0.48915","0.48915","0","0","0","0.46446","0.46446","0.46446","0","0","0"
"81","0.37915","0.37915","0.37915","0.37737","0.37737","0.37737","0.40214","0.40214","0.40214","0.42558","0.42558","0.42558","0.38012","0.38012","0.38012","0.4059","0.4059","0.4059","0.46802","0.46802","0.46802","0","0","0","0.44896","0.44896","0.44896","0","0","0"
"82","0.38362","0.38362","0.38362","0.39455","0.39455","0.39455","0.45161","0.45161","0.45161","0.44396","0.44396","0.44396","0.40206","0.40206","0.40206","0.45595","0.45595","0.45595","0.44247","0.44247","0.44247","0","0","0","0.45394","0.45394","0.45394","0","0","0"
"83","0.41208","0.41208","0.41208","0.39765","0.39765","0.39765","0.46738","0.46738","0.46738","0.41118","0.41118","0.41118","0.38968","0.38968","0.38968","0.4495","0.4495","0.4495","0.45528","0.45528","0.45528","0","0","0","0.48381","0.48381","0.48381","0","0","0"
"84","0.37303","0.37303","0.37303","0.38924","0.38924","0.38924","0.45662","0.45662","0.45662","0.40582","0.40582","0.40582","0.37945","0.37945","0.37945","0.42691","0.42691","0.42691","0.42661","0.42661","0.42661","0","0","0","0.43357","0.43357","0.43357","0","0","0"
"85","0.36651","0.36651","0.36651","0.39237","0.39237","0.39237","0.4702","0.4702","0.4702","0.42375","0.42375","0.42375","0.39278","0.39278","0.39278","0.44135","0.44135","0.44135","0.44061","0.44061","0.44061","0","0","0","0.44052","0.44052","0.44052","0","0","0"
"86","0.40761","0.40761","0.40761","0.41066","0.41066","0.41066","0.44601","0.44601","0.44601","0.48487","0.48487","0.48487","0.40117","0.40117","0.40117","0.48736","0.48736","0.48736","0.44685","0.44685","0.44685","0","0","0","0.44884","0.44884","0.44884","0","0","0"
"87","0.40535","0.40535","0.40535","0.43141","0.43141","0.43141","0.44614","0.44614","0.44614","0.45186","0.45186","0.45186","0.39524","0.39524","0.39524","0.46575","0.46575","0.46575","0.44955","0.44955","0.44955","0","0","0","0.49339","0.49339","0.49339","0","0","0"
"88","0.36244","0.36244","0.36244","0.40584","0.40584","0.40584","0.4751","0.4751","0.4751","0.44847","0.44847","0.44847","0.37733","0.37733","0.37733","0.46452","0.46452","0.46452","0.47221","0.47221","0.47221","0","0","0","0.44859","0.44859","0.44859","0","0","0"
"89","0.38329","0.38329","0.38329","0.39488","0.39488","0.39488","0.4718","0.4718","0.4718","0.42232","0.42232","0.42232","0.40042","0.40042","0.40042","0.42177","0.42177","0.42177","0.45127","0.45127","0.45127","0","0","0","0.44898","0.44898","0.44898","0","0","0"
"90","0.40474","0.40474","0.40474","0.3916","0.3916","0.3916","0.45237","0.45237","0.45237","0.46397","0.46397","0.46397","0.40283","0.40283","0.40283","0.46536","0.46536","0.46536","0.46669","0.46669","0.46669","0","0","0","0.4601","0.4601","0.4601","0","0","0"
"91","0.41416","0.41416","0.41416","0.40861","0.40861","0.40861","0.43721","0.43721","0.43721","0.4087","0.4087","0.4087","0.42449","0.42449","0.42449","0.47658","0.47658","0.47658","0.4735","0.4735","0.4735","0","0","0","0.44442","0.44442","0.44442","0","0","0"
"92","0.42073","0.42073","0.42073","0.40012","0.40012","0.40012","0.44301","0.44301","0.44301","0.482","0.482","0.482","0.40247","0.40247","0.40247","0.45599","0.45599","0.45599","0.47404","0.47404","0.47404","0","0","0","0.47591","0.47591","0.47591","0","0","0"
"93","0.4097","0.4097","0.4097","0.40395","0.40395","0.40395","0.4729","0.4729","0.4729","0.42149","0.42149","0.42149","0.40452","0.40452","0.40452","0.47304","0.47304","0.47304","0.47966","0.47966","0.47966","0","0","0","0.44892","0.44892","0.44892","0","0","0"
"94","0.43091","0.43091","0.43091","0.44479","0.44479","0.44479","0.4532","0.4532","0.4532","0.45715","0.45715","0.45715","0.41088","0.41088","0.41088","0.49623","0.49623","0.49623","0.48654","0.48654","0.48654","0","0","0","0.46244","0.46244","0.46244","0","0","0"
"95","0.411","0.411","0.411","0.40174","0.40174","0.40174","0.4636","0.4636","0.4636","0.46422","0.46422","0.46422","0.40149","0.40149","0.40149","0.46875","0.46875","0.46875","0.48509","0.48509","0.48509","0","0","0","0.44379","0.44379","0.44379","0","0","0"
"96","0.40404","0.40404","0.40404","0.41075","0.41075","0.41075","0.47183","0.47183","0.47183","0.42912","0.42912","0.42912","0.4156","0.4156","0.4156","0.47277","0.47277","0.47277","0.4704","0.4704","0.4704","0","0","0","0.48624","0.48624","0.48624","0","0","0"
"97","0.40836","0.40836","0.40836","0.4337","0.4337","0.4337","0.46137","0.46137","0.46137","0.46069","0.46069","0.46069","0.40991","0.40991","0.40991","0.47886","0.47886","0.47886","0.47422","0.47422","0.47422","0","0","0","0.46202","0.46202","0.46202","0","0","0"
"98","0.42284","0.42284","0.42284","0.39783","0.39783","0.39783","0.47301","0.47301","0.47301","0.44739","0.44739","0.44739","0.3959","0.3959","0.3959","0.462","0.462","0.462","0.49103","0.49103","0.49103","0","0","0","0.46322","0.46322","0.46322","0","0","0"
"99","0.42783","0.42783","0.42783","0.39519","0.39519","0.39519","0.47378","0.47378","0.47378","0.46549","0.46549","0.46549","0.38884","0.38884","0.38884","0.45786","0.45786","0.45786","0.48555","0.48555","0.48555","0","0","0","0.47687","0.47687","0.47687","0","0","0"
"100","0.42246","0.42246","0.42246","0.40702","0.40702","0.40702","0.46834","0.46834","0.46834","0.42377","0.42377","0.42377","0.39203","0.39203","0.39203","0.4753","0.4753","0.4753","0.46399","0.46399","0.46399","0.03338","0.03338","0.03338","0.4816","0.4816","0.4816","0","0","0"
"101","0.42887","0.42887","0.42887","0.38797","0.38797","0.38797","0.46631","0.46631","0.46631","0.45651","0.45651","0.45651","0.38606","0.38606","0.38606","0.47407","0.47407","0.47407","0.47828","0.47828","0.47828","0.03338","0.03338","0.03338","0.45474","0.45474","0.45474","0","0","0"
"102","0.40155","0.40155","0.40155","0.45058","0.45058","0.45058","0.47268","0.47268","0.47268","0.47413","0.47413","0.47413","0.39979","0.39979","0.39979","0.4747","0.4747","0.4747","0.48343","0.48343","0.48343","0","0","0","0.44202","0.44202","0.44202","0","0","0"
"103","0.39643","0.39643","0.39643","0.39658","0.39658","0.39658","0.46745","0.46745","0.46745","0.47643","0.47643","0.47643","0.43675","0.43675","0.43675","0.46841","0.46841","0.46841","0.47863","0.47863","0.47863","0.08362","0.08362","0.08362","0.46658","0.46658","0.46658","0","0","0"
"104","0.3997","0.3997","0.3997","0.43851","0.43851","0.43851","0.45728","0.45728","0.45728","0.44214","0.44214","0.44214","0.39759","0.39759","0.39759","0.45309","0.45309","0.45309","0.47711","0.47711","0.47711","0.06676","0.06676","0.06676","0.47409","0.47409","0.47409","0","0","0"
"105","0.40908","0.40908","0.40908","0.43873","0.43873","0.43873","0.46166","0.46166","0.46166","0.4575","0.4575","0.4575","0.38628","0.38628","0.38628","0.46504","0.46504","0.46504","0.47078","0.47078","0.47078","0.03342","0.03342","0.03342","0.48152","0.48152","0.48152","0.03346","0.03346","0.03346"
"106","0.39514","0.39514","0.39514","0.43885","0.43885","0.43885","0.46856","0.46856","0.46856","0.44633","0.44633","0.44633","0.38574","0.38574","0.38574","0.46962","0.46962","0.46962","0.48027","0.48027","0.48027","0.03351","0.03351","0.03351","0.46471","0.46471","0.46471","0.03338","0.03338","0.03338"
"107","0.40308","0.40308","0.40308","0.41108","0.41108","0.41108","0.46962","0.46962","0.46962","0.44115","0.44115","0.44115","0.39763","0.39763","0.39763","0.4713","0.4713","0.4713","0.48473","0.48473","0.48473","0.03128","0.03128","0.03128","0.4725","0.4725","0.4725","0","0","0"
"108","0.42162","0.42162","0.42162","0.40099","0.40099","0.40099","0.46117","0.46117","0.46117","0.41595","0.41595","0.41595","0.40109","0.40109","0.40109","0.46722","0.46722","0.46722","0.48134","0.48134","0.48134","0.03465","0.03465","0.03465","0.47046","0.47046","0.47046","0.03351","0.03351","0.03351"
"109","0.41872","0.41872","0.41872","0.41984","0.41984","0.41984","0.48004","0.48004","0.48004","0.46252","0.46252","0.46252","0.44242","0.44242","0.44242","0.45918","0.45918","0.45918","0.4958","0.4958","0.4958","0.06713","0.06713","0.06713","0.49046","0.49046","0.49046","0.06687","0.06687","0.06687"
"110","0.41836","0.41836","0.41836","0.44095","0.44095","0.44095","0.48332","0.48332","0.48332","0.47624","0.47624","0.47624","0.40639","0.40639","0.40639","0.45385","0.45385","0.45385","0.4867","0.4867","0.4867","0.06695","0.06695","0.06695","0.47758","0.47758","0.47758","0.06722","0.06722","0.06722"
"111","0.38995","0.38995","0.38995","0.41454","0.41454","0.41454","0.46746","0.46746","0.46746","0.46245","0.46245","0.46245","0.40147","0.40147","0.40147","0.4829","0.4829","0.4829","0.48501","0.48501","0.48501","0.03482","0.03482","0.03482","0.4733","0.4733","0.4733","0.10054","0.10054","0.10054"
"112","0.42721","0.42721","0.42721","0.44931","0.44931","0.44931","0.46232","0.46232","0.46232","0.47901","0.47901","0.47901","0.41251","0.41251","0.41251","0.4617","0.4617","0.4617","0.48628","0.48628","0.48628","0.06406","0.06406","0.06406","0.47599","0.47599","0.47599","0.06699","0.06699","0.06699"
"113","0.39726","0.39726","0.39726","0.41187","0.41187","0.41187","0.46717","0.46717","0.46717","0.47241","0.47241","0.47241","0.40384","0.40384","0.40384","0.47171","0.47171","0.47171","0.47386","0.47386","0.47386","0.05394","0.05394","0.05394","0.46948","0.46948","0.46948","0.0493","0.0493","0.0493"
"114","0.43117","0.43117","0.43117","0.3853","0.3853","0.3853","0.47492","0.47492","0.47492","0.45083","0.45083","0.45083","0.40802","0.40802","0.40802","0.48289","0.48289","0.48289","0.47913","0.47913","0.47913","0.08462","0.08462","0.08462","0.47589","0.47589","0.47589","0.07497","0.07497","0.07497"
"115","0.43602","0.43602","0.43602","0.44467","0.44467","0.44467","0.46661","0.46661","0.46661","0.46918","0.46918","0.46918","0.39516","0.39516","0.39516","0.48243","0.48243","0.48243","0.48688","0.48688","0.48688","0.1301","0.1301","0.1301","0.48058","0.48058","0.48058","0.03321","0.03321","0.03321"
"116","0.42072","0.42072","0.42072","0.40816","0.40816","0.40816","0.46619","0.46619","0.46619","0.45572","0.45572","0.45572","0.44566","0.44566","0.44566","0.48516","0.48516","0.48516","0.46155","0.46155","0.46155","0.09811","0.09811","0.09811","0.48001","0.48001","0.48001","0.06695","0.06695","0.06695"
"117","0.45711","0.45711","0.45711","0.42891","0.42891","0.42891","0.48387","0.48387","0.48387","0.46584","0.46584","0.46584","0.44052","0.44052","0.44052","0.47077","0.47077","0.47077","0.47235","0.47235","0.47235","0.09852","0.09852","0.09852","0.47429","0.47429","0.47429","0.13271","0.13271","0.13271"
"118","0.43339","0.43339","0.43339","0.44819","0.44819","0.44819","0.44857","0.44857","0.44857","0.47358","0.47358","0.47358","0.39021","0.39021","0.39021","0.46967","0.46967","0.46967","0.4842","0.4842","0.4842","0.16603","0.16603","0.16603","0.47334","0.47334","0.47334","0.09307","0.09307","0.09307"
"119","0.4678","0.4678","0.4678","0.41222","0.41222","0.41222","0.47529","0.47529","0.47529","0.479","0.479","0.479","0.40494","0.40494","0.40494","0.47337","0.47337","0.47337","0.48881","0.48881","0.48881","0.09783","0.09783","0.09783","0.48263","0.48263","0.48263","0.09589","0.09589","0.09589"
"120","0.42367","0.42367","0.42367","0.43776","0.43776","0.43776","0.46944","0.46944","0.46944","0.47563","0.47563","0.47563","0.4397","0.4397","0.4397","0.4642","0.4642","0.4642","0.48128","0.48128","0.48128","0.12659","0.12659","0.12659","0.49294","0.49294","0.49294","0.16713","0.16713","0.16713"
"121","0.41733","0.41733","0.41733","0.40505","0.40505","0.40505","0.46902","0.46902","0.46902","0.46922","0.46922","0.46922","0.41929","0.41929","0.41929","0.47279","0.47279","0.47279","0.47907","0.47907","0.47907","0.13064","0.13064","0.13064","0.4874","0.4874","0.4874","0.13608","0.13608","0.13608"
"122","0.47044","0.47044","0.47044","0.44729","0.44729","0.44729","0.45854","0.45854","0.45854","0.46047","0.46047","0.46047","0.44262","0.44262","0.44262","0.47363","0.47363","0.47363","0.48429","0.48429","0.48429","0.09856","0.09856","0.09856","0.4876","0.4876","0.4876","0.10569","0.10569","0.10569"
"123","0.46641","0.46641","0.46641","0.4093","0.4093","0.4093","0.46221","0.46221","0.46221","0.46434","0.46434","0.46434","0.43801","0.43801","0.43801","0.47541","0.47541","0.47541","0.48407","0.48407","0.48407","0.0678","0.0678","0.0678","0.48099","0.48099","0.48099","0.11913","0.11913","0.11913"
"124","0.43635","0.43635","0.43635","0.42889","0.42889","0.42889","0.46858","0.46858","0.46858","0.44119","0.44119","0.44119","0.41932","0.41932","0.41932","0.48314","0.48314","0.48314","0.48477","0.48477","0.48477","0.17161","0.17161","0.17161","0.47268","0.47268","0.47268","0.11845","0.11845","0.11845"
"125","0.46602","0.46602","0.46602","0.43537","0.43537","0.43537","0.47188","0.47188","0.47188","0.47365","0.47365","0.47365","0.44373","0.44373","0.44373","0.47497","0.47497","0.47497","0.47629","0.47629","0.47629","0.16982","0.16982","0.16982","0.46307","0.46307","0.46307","0.10077","0.10077","0.10077"
"126","0.42479","0.42479","0.42479","0.40301","0.40301","0.40301","0.47918","0.47918","0.47918","0.47072","0.47072","0.47072","0.40277","0.40277","0.40277","0.47779","0.47779","0.47779","0.48895","0.48895","0.48895","0.16432","0.16432","0.16432","0.47545","0.47545","0.47545","0.13978","0.13978","0.13978"
"127","0.46889","0.46889","0.46889","0.43886","0.43886","0.43886","0.48135","0.48135","0.48135","0.45554","0.45554","0.45554","0.44093","0.44093","0.44093","0.46341","0.46341","0.46341","0.48216","0.48216","0.48216","0.09634","0.09634","0.09634","0.47207","0.47207","0.47207","0.10002","0.10002","0.10002"
"128","0.44377","0.44377","0.44377","0.4643","0.4643","0.4643","0.4734","0.4734","0.4734","0.48219","0.48219","0.48219","0.44002","0.44002","0.44002","0.47712","0.47712","0.47712","0.48723","0.48723","0.48723","0.13394","0.13394","0.13394","0.47391","0.47391","0.47391","0.1383","0.1383","0.1383"
"129","0.45192","0.45192","0.45192","0.41413","0.41413","0.41413","0.474","0.474","0.474","0.46835","0.46835","0.46835","0.41079","0.41079","0.41079","0.47901","0.47901","0.47901","0.47096","0.47096","0.47096","0.10116","0.10116","0.10116","0.47955","0.47955","0.47955","0.10025","0.10025","0.10025"
"130","0.44936","0.44936","0.44936","0.42795","0.42795","0.42795","0.49208","0.49208","0.49208","0.47043","0.47043","0.47043","0.43736","0.43736","0.43736","0.47596","0.47596","0.47596","0.48316","0.48316","0.48316","0.24726","0.24726","0.24726","0.47705","0.47705","0.47705","0.13785","0.13785","0.13785"
"131","0.43247","0.43247","0.43247","0.44762","0.44762","0.44762","0.47644","0.47644","0.47644","0.46417","0.46417","0.46417","0.43106","0.43106","0.43106","0.4796","0.4796","0.4796","0.46869","0.46869","0.46869","0.25693","0.25693","0.25693","0.48208","0.48208","0.48208","0.13841","0.13841","0.13841"
"132","0.4485","0.4485","0.4485","0.44097","0.44097","0.44097","0.47957","0.47957","0.47957","0.47712","0.47712","0.47712","0.41108","0.41108","0.41108","0.47445","0.47445","0.47445","0.47414","0.47414","0.47414","0.15285","0.15285","0.15285","0.47873","0.47873","0.47873","0.10223","0.10223","0.10223"
"133","0.46881","0.46881","0.46881","0.44852","0.44852","0.44852","0.47342","0.47342","0.47342","0.45851","0.45851","0.45851","0.41823","0.41823","0.41823","0.47236","0.47236","0.47236","0.47713","0.47713","0.47713","0.25812","0.25812","0.25812","0.47749","0.47749","0.47749","0.09809","0.09809","0.09809"
"134","0.47136","0.47136","0.47136","0.45026","0.45026","0.45026","0.4686","0.4686","0.4686","0.45574","0.45574","0.45574","0.45946","0.45946","0.45946","0.47458","0.47458","0.47458","0.484","0.484","0.484","0.15321","0.15321","0.15321","0.47549","0.47549","0.47549","0.13948","0.13948","0.13948"
"135","0.4402","0.4402","0.4402","0.47107","0.47107","0.47107","0.46627","0.46627","0.46627","0.45369","0.45369","0.45369","0.44386","0.44386","0.44386","0.47569","0.47569","0.47569","0.48089","0.48089","0.48089","0.16629","0.16629","0.16629","0.48132","0.48132","0.48132","0.10419","0.10419","0.10419"
"136","0.46602","0.46602","0.46602","0.4412","0.4412","0.4412","0.46789","0.46789","0.46789","0.47913","0.47913","0.47913","0.41053","0.41053","0.41053","0.48125","0.48125","0.48125","0.4741","0.4741","0.4741","0.19285","0.19285","0.19285","0.48809","0.48809","0.48809","0.13685","0.13685","0.13685"
"137","0.47608","0.47608","0.47608","0.40585","0.40585","0.40585","0.488","0.488","0.488","0.45219","0.45219","0.45219","0.43581","0.43581","0.43581","0.47071","0.47071","0.47071","0.47399","0.47399","0.47399","0.24391","0.24391","0.24391","0.48123","0.48123","0.48123","0.13439","0.13439","0.13439"
"138","0.47477","0.47477","0.47477","0.48732","0.48732","0.48732","0.47713","0.47713","0.47713","0.47944","0.47944","0.47944","0.4331","0.4331","0.4331","0.48584","0.48584","0.48584","0.48535","0.48535","0.48535","0.22345","0.22345","0.22345","0.48095","0.48095","0.48095","0.17153","0.17153","0.17153"
"139","0.42622","0.42622","0.42622","0.45794","0.45794","0.45794","0.47159","0.47159","0.47159","0.46588","0.46588","0.46588","0.43143","0.43143","0.43143","0.49405","0.49405","0.49405","0.49141","0.49141","0.49141","0.23064","0.23064","0.23064","0.50347","0.50347","0.50347","0.17583","0.17583","0.17583"
"140","0.45237","0.45237","0.45237","0.45237","0.45237","0.45237","0.4733","0.4733","0.4733","0.47338","0.47338","0.47338","0.43782","0.43782","0.43782","0.47548","0.47548","0.47548","0.47776","0.47776","0.47776","0.33457","0.33457","0.33457","0.47685","0.47685","0.47685","0.11602","0.11602","0.11602"
"141","0.45431","0.45431","0.45431","0.47721","0.47721","0.47721","0.45581","0.45581","0.45581","0.44578","0.44578","0.44578","0.43284","0.43284","0.43284","0.49992","0.49992","0.49992","0.47169","0.47169","0.47169","0.33966","0.33966","0.33966","0.48912","0.48912","0.48912","0.25372","0.25372","0.25372"
